,ID,Group,Sex,Age,Age_cat,r_to_all_adults,s_to_all_adults,r_to_group,r_to_adults,r_to_children,N_camps_w_kin,s_to_group,s_to_adults,N_camps_w_con_or_aff_kin
1,1,a,F,57.130667,ADULT,0.009259259,0.012962963,0.123310811,0.140625,0.110119048,2,0.148648649,0.21875,NA
2,2,a,M,19.641556,ADULT,0.008333333,0.012962963,0.115709459,0.1328125,0.102678571,2,0.148648649,0.21875,NA
3,3,a,M,34.97183,ADULT,0,0.003703704,0.067567568,0,0.119047619,1,0.081081081,0.0625,2
4,4,a,F,32.578833,ADULT,0.004513889,0.003703704,0.099662162,0.068359375,0.123511905,2,0.081081081,0.0625,2
5,5,a,F,10.5,CHILD,0.005938653,0.007380074,0.097128378,0.090992647,0.10234375,1,0.094594595,0.117647059,NA
6,6,a,M,7.5,CHILD,0.005938653,0.007380074,0.097128378,0.090992647,0.10234375,1,0.094594595,0.117647059,NA
7,7,a,M,4.5,CHILD,0.005938653,0.007380074,0.097128378,0.090992647,0.10234375,1,0.094594595,0.117647059,NA
8,8,a,M,1.5,CHILD,0.005938653,0.007380074,0.097128378,0.090992647,0.10234375,1,0.094594595,0.117647059,NA
9,9,a,F,17.957313,CHILD,0.000922509,0.003690037,0.033783784,0.014705882,0.05,1,0.027027027,0.058823529,2
10,10,a,M,23.006507,ADULT,0.004513889,0,0.072635135,0.068359375,0.075892857,2,0.027027027,0,2
11,11,a,F,78.583794,ADULT,0.005555556,0.005555556,0.055743243,0.0625,0.050595238,3,0.050675676,0.09375,NA
12,12,a,M,NA,ADULT,0.00462963,0.007407407,0.054054054,0.03125,0.071428571,4,0.074324324,0.125,5
13,13,a,F,NA,ADULT,0.006018519,0.009259259,0.075168919,0.0703125,0.078869048,3,0.087837838,0.15625,5
14,14,a,M,7.75,CHILD,0.011646679,0.012626845,0.072846284,0.068014706,0.076953125,11,0.030405405,0.029411765,NA
15,15,a,M,5.410426,CHILD,0.011646679,0.012626845,0.072846284,0.068014706,0.076953125,11,0.030405405,0.029411765,NA
16,16,a,F,8.388157,CHILD,0.011646679,0.012626845,0.072846284,0.068014706,0.076953125,11,0.030405405,0.029411765,NA
17,17,a,M,26,ADULT,0,0.003703704,0.040540541,0,0.071428571,1,0.067567568,0.0625,5
18,18,a,F,24.641336,ADULT,0.007175926,0.012037037,0.09839527,0.08203125,0.110863095,5,0.128378378,0.203125,5
19,19,a,M,5.573551,CHILD,0.00726476,0.011531365,0.082981419,0.097426471,0.070703125,3,0.111486486,0.183823529,NA
20,20,a,F,3,CHILD,0.00726476,0.011531365,0.082981419,0.097426471,0.070703125,3,0.111486486,0.183823529,NA
21,21,a,M,0.750143,CHILD,0.00726476,0.011531365,0.082981419,0.097426471,0.070703125,3,0.111486486,0.183823529,NA
22,22,a,F,34.097308,ADULT,0.008333333,0.014814815,0.15625,0.1328125,0.174107143,2,0.202702703,0.25,2
23,23,a,M,45,ADULT,0,0.003703704,0.081081081,0,0.142857143,1,0.108108108,0.0625,2
24,24,a,M,15.282543,CHILD,0.007841328,0.012915129,0.132179054,0.121323529,0.14140625,2,0.168918919,0.205882353,NA
25,25,a,F,13.090137,CHILD,0.007841328,0.012915129,0.132179054,0.121323529,0.14140625,2,0.168918919,0.205882353,NA
26,26,a,M,9.379651,CHILD,0.007841328,0.012915129,0.132179054,0.121323529,0.14140625,2,0.168918919,0.205882353,NA
27,27,a,M,7,CHILD,0.007841328,0.012915129,0.132179054,0.121323529,0.14140625,2,0.168918919,0.205882353,NA
28,28,a,M,5,CHILD,0.007841328,0.012915129,0.132179054,0.121323529,0.14140625,2,0.168918919,0.205882353,NA
29,29,a,F,2.57,CHILD,0.007841328,0.012915129,0.132179054,0.121323529,0.14140625,2,0.168918919,0.205882353,NA
30,30,a,M,24.442436,ADULT,0.008333333,0.014814815,0.122466216,0.1328125,0.114583333,2,0.168918919,0.25,11
31,31,a,F,20.750066,ADULT,0.0125,0.025347222,0.033783784,0,0.05952381,10,0.060810811,0.0625,11
32,32,a,M,2.71,CHILD,0.014068266,0.023696956,0.091638514,0.121323529,0.06640625,10,0.128378378,0.205882353,NA
33,33,a,M,28.553197,ADULT,0.008333333,0.014814815,0.122466216,0.1328125,0.114583333,2,0.168918919,0.25,3
34,34,a,F,32.6,ADULT,0.001967593,0.007407407,0.013513514,0,0.023809524,2,0.040540541,0.0625,3
35,35,a,F,0.08,CHILD,0.008821494,0.014760148,0.081503378,0.121323529,0.04765625,3,0.118243243,0.205882353,NA
36,36,a,F,12.055856,CHILD,0.000922509,0,0.033783784,0.014705882,0.05,1,0,0,NA
37,37,a,M,21,ADULT,0.003645833,0,0,0,0,2,0.027027027,0,NA
38,38,a,F,14.48049281,CHILD,0.004554889,0.003690037,0.039695946,0.046875,0.03359375,2,0.027027027,0.058823529,NA
39,39,b,F,16.80492813,CHILD,0.005650369,0.003690037,0.028301887,0.020833333,0.034482759,6,0.018867925,0.041666667,NA
40,40,b,M,11,CHILD,0.005650369,0,0.028301887,0.020833333,0.034482759,6,0,0,NA
41,41,b,M,0.361396304,CHILD,0.012107934,0.014760148,0.072818396,0.09765625,0.052262931,5,0.080778302,0.135416667,NA
42,42,b,M,31.30629,ADULT,0.004296875,0.003703704,0.028301887,0,0.05,4,0.047169811,0.043478261,6
43,43,b,M,3.927864,CHILD,0.012403425,0.014760148,0.079893868,0.09765625,0.065193966,5,0.089033019,0.135416667,NA
