"","i","avg_r","age","sex","primary","secondary","born"
"1","AZ511",0.0115207373271889,63,1,6,8,1
"2","AZ512",0,51,2,0,0,0
"3","AZ515",0.00460829493087558,46,1,3,2,1
"4","AZ516",0.00230414746543779,44,2,2,0,0
"5","AZ517",0.00460829493087558,27,1,2,3,1
"6","AZ518",0.00172811059907834,38,2,1,1,0
"7","AZ521",0.00331221198156682,56,1,2,0,1
"8","AZ522",0.00115207373271889,46,2,1,0,0
"9","AZ523",0.00338421658986175,28,2,2,1,1
"10","AZ524",0,30,1,0,0,0
"11","AZ525",0.00374423963133641,76,2,1,4,1
"12","AZ528",0.00864055299539171,41,1,5,3,1
"13","AZ529",0.00230414746543779,35,2,2,0,0
"14","AZ530",0.00662442396313364,23,1,3,3,1
"15","AZ532",0.00662442396313364,19,2,3,3,1
"16","AZ534",0.00748847926267281,41,1,3,5,1
"17","AZ535",0.00216013824884793,36,2,1,0,1
"18","AZ538",0.00518433179723502,56,2,3,3,0
"19","AZ539",0.00806451612903226,36,2,4,4,1
"20","AZ542",0.00460829493087558,19,2,1,3,0
"21","AZ544",0,56,1,0,0,0
"22","AZ545",0.00144009216589862,46,2,1,0,1
"23","AZ546",0,37,1,0,0,0
"24","AZ547",0.00316820276497696,35,2,1,2,1
"25","AZ551",0,49,1,0,0,0
"26","AZ552",0,44,2,0,0,0
"27","AZ555",0.00115207373271889,55,2,1,0,1
"28","AZ559",0.00115207373271889,39,2,1,0,1
"29","AZ560",0.00115207373271889,19,2,1,0,1
"30","AZ562",0.00777649769585253,56,1,4,4,1
"31","AZ563",0.00345622119815668,46,2,3,0,0
"32","AZ564",0.0067684331797235,27,2,4,1,1
"33","AZ568",0.0067684331797235,33,1,4,1,1
"34","AZ569",0.00115207373271889,31,2,1,0,0
"35","AZ572",0.00172811059907834,66,1,0,1,1
"36","AZ573",0,50,2,0,0,0
"37","AZ575",0,36,2,0,0,1
"38","AZ577",0,56,2,0,0,0
"39","AZ583",0.00115207373271889,54,2,1,0,1
"40","AZ584",0.00446428571428571,41,1,1,2,1
"41","AZ585",0,31,2,0,0,0
"42","AZ588",0.00835253456221198,76,1,3,7,1
"43","AZ589",0.00345622119815668,71,2,2,2,0
"44","AZ590",0.00705645161290323,46,1,3,3,1
"45","AZ591",0,44,2,0,0,0
"46","AZ592",0.00748847926267281,52,1,6,1,1
"47","AZ593",0.00921658986175115,44,2,3,3,1
"48","AZ596",0,28,2,0,0,0
"49","AZ598",0.00518433179723502,56,2,4,1,0
"50","AZ599",0.00403225806451613,46,2,2,3,0
"51","AZ600",0.00316820276497696,36,2,1,3,1
"52","AZ601",0.00374423963133641,26,1,1,3,1
"53","AZ605",0,19,2,0,0,0
"54","AZ606",0.00432027649769585,29,1,2,3,1
"55","AZ607",0,29,2,0,0,0
"56","AZ611",0.00432027649769585,33,1,2,3,1
"57","AZ612",0,26,2,0,0,0
"58","AZ613",0.00201612903225806,76,1,1,1,1
"59","AZ614",0.00158410138248848,42,1,1,0,1
"60","AZ615",0,39,2,0,0,0
"61","AZ619",0.00115207373271889,42,1,1,0,0
"62","AZ620",0.00316820276497696,36,2,2,1,1
"63","AZ621",0.00331221198156682,20,2,2,1,1
"64","AZ625",0.00172811059907834,56,2,1,1,0
"65","AZ632",0.00115207373271889,56,1,1,0,1
"66","AZ633",0.00115207373271889,46,2,1,0,0
"67","AZ635",0.00230414746543779,20,2,2,0,1
"68","AZ636",0.00288018433179724,67,2,1,3,0
"69","AZ637",0.000576036866359447,51,2,0,1,0
"70","AZ639",0.00172811059907834,25,2,0,2,0
"71","AZ649",0.00230414746543779,29,1,0,3,1
"72","AZ650",0.00172811059907834,26,2,0,2,0
"73","AZ653",0.00115207373271889,75,1,1,0,1
"74","AZ654",0.00115207373271889,47,1,1,0,1
"75","AZ655",0,46,2,0,0,0
"76","AZ657",0.00115207373271889,43,1,1,0,0
"77","AZ658",0.00288018433179724,40,2,1,3,1
"78","AZ660",0.00115207373271889,76,2,1,0,1
"79","AZ662",0.00115207373271889,68,1,1,0,1
"80","AZ663",0.00115207373271889,66,2,1,0,0
"81","AZ664",0.00230414746543779,42,1,2,0,1
"82","AZ665",0,63,2,0,0,0
"83","AZ666",0.00230414746543779,62,1,2,0,0
"84","AZ667",0.00230414746543779,51,2,2,0,1
"85","AZ668",0.00345622119815668,31,1,3,0,1
"86","AZ669",0,29,2,0,0,0
"87","AZ671",0,54,1,0,0,1
"88","AZ672",0,52,2,0,0,0
"89","AZ673",0,64,1,0,0,1
"90","AZ674",0,59,2,0,0,1
"91","AZ678",0,37,1,0,0,0
"92","AZ679",0.00345622119815668,36,2,3,0,1
"93","AZ682",0.00345622119815668,61,1,3,0,0
"94","AZ683",0.00748847926267281,46,2,5,3,1
"95","AZ684",0.00662442396313364,35,2,4,2,1
"96","AZ685",0.00662442396313364,30,1,4,2,1
"97","AZ686",0.00662442396313364,33,2,4,2,1
"98","AZ690",0.000864055299539171,46,1,0,1,1
"99","AZ691",0,41,2,0,0,0
"100","AZ694",0.00115207373271889,51,2,1,0,0
"101","AZ695",0.00230414746543779,30,1,1,0,1
"102","AZ697",0.00115207373271889,66,1,1,0,1
"103","AZ698",0.00115207373271889,53,2,1,0,0
"104","AZ699",0.00230414746543779,33,1,2,0,1
"105","AZ701",0,58,1,0,0,1
"106","AZ702",0,55,2,0,0,0
"107","AZ705",0.00403225806451613,56,1,3,1,1
"108","AZ707",0.00316820276497696,32,1,2,1,1
"109","AZ708",0.00316820276497696,41,2,2,1,1
"110","AZ709",0,44,1,0,0,0
"111","AZ711",0,31,2,0,0,0
"112","AZ717",0.00345622119815668,56,1,3,0,1
"113","AZ718",0.00345622119815668,54,2,3,0,0
"114","AZ719",0.00460829493087558,31,1,4,0,1
"115","AZ720",0,29,2,0,0,0
"116","AZ722",0.00460829493087558,41,1,4,0,1
"117","AZ723",0,38,2,0,0,0
"118","AZ726",0.00460829493087558,34,2,4,0,1
"119","AZ729",0.00230414746543779,29,1,2,0,1
"120","AZ730",0,30,2,0,0,0
"121","AZ732",0.00230414746543779,66,2,2,0,1
"122","AZ733",0,40,2,0,0,0
"123","AZ738",0,66,2,0,0,0
"124","AZ739",0.00619239631336406,58,1,2,1,1
"125","AZ740",0.00230414746543779,54,2,2,0,0
"126","AZ741",0.00540034562211982,22,2,3,0,1
"127","AZ742",0.00540034562211982,22,2,3,0,1
"128","AZ743",0.00172811059907834,51,1,1,1,0
"129","AZ744",0,41,2,0,0,0
"130","AZ745",0.00216013824884793,46,1,1,0,1
"131","AZ746",0.00532834101382489,42,2,2,1,1
"132","AZ750",0.00172811059907834,76,2,1,1,1
"133","AZ752",0.00244815668202765,36,2,1,0,1
"134","AZ753",0.00115207373271889,50,1,1,0,0
"135","AZ754",0.00115207373271889,48,2,1,0,1
"136","AZ755",0.00230414746543779,28,2,2,0,1
"137","AZ756",0,32,1,0,0,0
"138","AZ759",0.00115207373271889,44,1,1,0,1
"139","AZ760",0.00115207373271889,41,2,1,0,0
"140","AZ761",0.00230414746543779,25,1,2,0,1
"141","AZ762",0,76,1,0,0,1
"142","AZ763",0.00115207373271889,61,2,1,0,0
"143","AZ765",0,33,2,0,0,0
"144","AZ767",0.00590437788018433,51,1,1,1,1
"145","AZ768",0.0067684331797235,41,2,2,1,0
"146","AZ769",0.00734447004608295,21,2,2,2,1
"147","AZ772",0.0115207373271889,48,1,6,8,1
"148","AZ773",0,38,2,0,0,0
"149","AZ777",0.0126728110599078,58,1,8,6,1
"150","AZ778",0.00230414746543779,51,2,2,0,0
"151","AZ779",0.00864055299539171,30,1,3,6,1
"152","AZ780",0,24,2,0,0,0
"153","AZ783",0.0126728110599078,62,1,8,6,1
"154","AZ784",0.00691244239631336,53,2,4,4,1
"155","AZ785",0.0109447004608295,40,1,3,8,1
"156","AZ786",0.00864055299539171,35,2,1,8,1
"157","AZ790",0.0120967741935484,64,2,7,7,1
"158","AZ792",0.00547235023041475,39,1,1,2,1
"159","AZ793",0,28,2,0,0,0
"160","AZ796",0.00662442396313364,41,1,3,0,1
"161","AZ797",0,36,2,0,0,1
"162","AZ798",0.00504032258064516,26,1,2,2,1
"163","AZ799",0.00504032258064516,25,1,2,2,1
"164","AZ802",0,25,2,0,0,0
"165","AZ805",0.00849654377880184,46,1,3,5,1
"166","AZ806",0,38,2,0,0,0
"167","AZ807",0.00691244239631336,51,1,3,0,1
"168","AZ808",0.00230414746543779,43,2,2,0,0
"169","AZ809",0.00576036866359447,26,2,3,1,1
"170","AZ810",0.00576036866359447,24,2,3,1,1
"171","AZ813",0.00230414746543779,71,2,1,2,0
"172","AZ815",0.00115207373271889,50,2,1,0,0
"173","AZ818",0.00705645161290323,35,2,2,4,1
"174","AZ822",0,30,2,0,0,0
"175","AZ824",0.00172811059907834,29,1,1,0,1
"176","AZ825",0,29,2,0,0,0
"177","AZ829",0.00230414746543779,51,2,1,0,0
"178","AZ830",0.00453629032258065,26,2,1,1,1
"179","AZ831",0.00115207373271889,55,2,1,0,0
