"","i","avg_r","age","sex","born"
"1","AZ511",0.0128676470588235,63,1,1
"2","AZ512",0.000408496732026144,51,2,0
"3","AZ514",0.00980392156862745,0.01,2,1
"4","AZ515",0.00367647058823529,46,1,1
"5","AZ516",0.00204248366013072,44,2,0
"6","AZ517",0.00367647058823529,27,1,1
"7","AZ518",0.00204248366013072,38,2,0
"8","AZ520",0.0014297385620915,9,1,0
"9","AZ521",0.00316584967320261,56,1,1
"10","AZ522",0.00163398692810458,46,2,0
"11","AZ523",0.00403390522875817,28,2,1
"12","AZ524",0.00163398692810458,30,1,0
"13","AZ525",0.00306372549019608,76,2,1
"14","AZ526",0.00365093954248366,5,1,1
"15","AZ527",0.00365093954248366,1,2,1
"16","AZ528",0.00980392156862745,41,1,1
"17","AZ529",0.00326797385620915,35,2,0
"18","AZ530",0.00735294117647059,23,1,1
"19","AZ531",0.00735294117647059,21,1,1
"20","AZ532",0.00735294117647059,19,2,1
"21","AZ533",0.00735294117647059,16,1,1
"22","AZ534",0.00857843137254902,41,1,1
"23","AZ535",0.00377859477124183,36,2,1
"24","AZ536",0.00699550653594771,13,1,1
"25","AZ538",0.00571895424836601,56,2,0
"26","AZ539",0.00939542483660131,36,2,1
"27","AZ541",0.00592320261437908,21,1,0
"28","AZ542",0.00592320261437908,19,2,0
"29","AZ543",0.00592320261437908,16,2,0
"30","AZ544",0,56,1,0
"31","AZ545",0.00153186274509804,46,2,1
"32","AZ546",0.00163398692810458,37,1,0
"33","AZ547",0.00439133986928105,35,2,1
"34","AZ548",0.0038296568627451,14,1,1
"35","AZ549",0.0038296568627451,9,1,1
"36","AZ551",0.000816993464052288,49,1,0
"37","AZ552",0.000816993464052288,44,2,0
"38","AZ553",0.00163398692810458,17,2,0
"39","AZ555",0.000816993464052288,55,2,1
"40","AZ559",0.00163398692810458,39,2,1
"41","AZ560",0.00163398692810458,19,2,1
"42","AZ561",0.00163398692810458,17,2,1
"43","AZ562",0.00939542483660131,56,1,1
"44","AZ563",0.00490196078431373,46,2,0
"45","AZ564",0.00878267973856209,27,2,1
"46","AZ566",0.00520833333333333,4,2,0
"47","AZ567",0.00520833333333333,0.5,2,0
"48","AZ568",0.00878267973856209,33,1,1
"49","AZ569",0.00326797385620915,31,2,0
"50","AZ570",0.00684232026143791,10.5,1,1
"51","AZ571",0.00684232026143791,8,1,1
"52","AZ572",0.00132761437908497,66,1,1
"53","AZ573",0,50,2,0
"54","AZ575",0.000816993464052288,36,2,1
"55","AZ576",0.00163398692810458,21,1,1
"56","AZ577",0.000816993464052288,56,2,0
"57","AZ581",0.000816993464052288,0.33,2,1
"58","AZ583",0.00163398692810458,54,2,1
"59","AZ584",0.00592320261437908,41,1,1
"60","AZ585",0.00163398692810458,31,2,0
"61","AZ586",0.00459558823529412,13,2,1
"62","AZ587",0.00459558823529412,10,2,1
"63","AZ588",0.00694444444444444,76,1,1
"64","AZ589",0.00265522875816993,71,2,0
"65","AZ590",0.00561683006535948,46,1,1
"66","AZ591",0,44,2,0
"67","AZ592",0.00776143790849673,52,1,1
"68","AZ593",0.00975285947712418,44,2,1
"69","AZ596",0.000816993464052288,28,2,0
"70","AZ597",0.00145526960784314,2,2,1
"71","AZ598",0.00490196078431373,56,2,0
"72","AZ599",0.00347222222222222,46,2,0
"73","AZ600",0.00285947712418301,36,2,1
"74","AZ601",0.00357434640522876,26,1,1
"75","AZ605",0,19,2,0
"76","AZ606",0.00551470588235294,29,1,1
"77","AZ607",0.00245098039215686,29,2,0
"78","AZ608",0.00479983660130719,9.5,1,1
"79","AZ609",0.00479983660130719,8.5,2,1
"80","AZ610",0.00479983660130719,7.5,2,1
"81","AZ611",0.00428921568627451,33,1,1
"82","AZ612",0,26,2,0
"83","AZ613",0.00326797385620915,76,1,1
"84","AZ614",0.00326797385620915,42,1,1
"85","AZ615",0.00163398692810458,39,2,0
"86","AZ616",0.00326797385620915,16,1,1
"87","AZ617",0.00326797385620915,17,2,1
"88","AZ619",0.00326797385620915,42,1,0
"89","AZ620",0.00571895424836601,36,2,1
"90","AZ621",0.00531045751633987,20,2,1
"91","AZ622",0.00531045751633987,16,2,1
"92","AZ623",0.00531045751633987,14,1,1
"93","AZ624",0.00531045751633987,14,1,1
"94","AZ625",0.00326797385620915,56,2,0
"95","AZ630",0.00285947712418301,11,2,0
"96","AZ631",0.00285947712418301,8,1,0
"97","AZ632",0.00163398692810458,56,1,1
"98","AZ633",0.00163398692810458,46,2,0
"99","AZ634",0.00245098039215686,20,1,1
"100","AZ635",0.00245098039215686,20,2,1
"101","AZ636",0.00367647058823529,67,2,0
"102","AZ637",0.00122549019607843,51,2,0
"103","AZ639",0.00275735294117647,25,2,0
"104","AZ640",0.00337009803921569,6,1,1
"105","AZ649",0.0039828431372549,29,1,1
"106","AZ650",0.00347222222222222,26,2,0
"107","AZ651",0.00444240196078431,7,1,1
"108","AZ652",0.00444240196078431,3,1,1
"109","AZ653",0.000816993464052288,75,1,1
"110","AZ654",0.000816993464052288,47,1,1
"111","AZ655",0,46,2,0
"112","AZ657",0.00163398692810458,43,1,0
"113","AZ658",0.00408496732026144,40,2,1
"114","AZ659",0.00367647058823529,14,1,1
"115","AZ660",0.00122549019607843,76,2,1
"116","AZ662",0.000816993464052288,68,1,1
"117","AZ663",0.000816993464052288,66,2,0
"118","AZ664",0.00163398692810458,42,1,1
"119","AZ665",0,63,2,0
"120","AZ666",0.00285947712418301,62,1,0
"121","AZ667",0.00285947712418301,51,2,1
"122","AZ668",0.00408496732026144,31,1,1
"123","AZ669",0.000816993464052288,29,2,0
"124","AZ670",0.00326797385620915,2,2,1
"125","AZ671",0,54,1,1
"126","AZ672",0,52,2,0
"127","AZ673",0.000408496732026144,64,1,1
"128","AZ674",0.000408496732026144,59,2,1
"129","AZ677",0.000816993464052288,1.5,2,0
"130","AZ678",0.00163398692810458,37,1,0
"131","AZ679",0.00449346405228758,36,2,1
"132","AZ680",0.00388071895424837,18,1,1
"133","AZ681",0.00388071895424837,10,1,1
"134","AZ682",0.00326797385620915,61,1,0
"135","AZ683",0.00714869281045752,46,2,1
"136","AZ684",0.00602532679738562,35,2,1
"137","AZ685",0.00602532679738562,30,1,1
"138","AZ686",0.00684232026143791,33,2,1
"139","AZ688",0.00423815359477124,8.5,1,0
"140","AZ689",0.00423815359477124,6,2,0
"141","AZ690",0.00234885620915033,46,1,1
"142","AZ691",0.00163398692810458,41,2,0
"143","AZ692",0.00280841503267974,17,1,1
"144","AZ693",0.00280841503267974,13,1,1
"145","AZ694",0.00122549019607843,51,2,0
"146","AZ695",0.00245098039215686,30,1,1
"147","AZ697",0.000816993464052288,66,1,1
"148","AZ698",0.000816993464052288,53,2,0
"149","AZ699",0.00163398692810458,33,1,1
"150","AZ701",0,58,1,1
"151","AZ702",0,55,2,0
"152","AZ705",0.00326797385620915,56,1,1
"153","AZ707",0.00245098039215686,32,1,1
"154","AZ708",0.00245098039215686,41,2,1
"155","AZ709",0,44,1,0
"156","AZ711",0.00245098039215686,31,2,0
"157","AZ712",0.00245098039215686,16,2,1
"158","AZ713",0.00245098039215686,11,2,1
"159","AZ714",0.00245098039215686,6.5,1,1
"160","AZ717",0.00408496732026144,56,1,1
"161","AZ718",0.00408496732026144,54,2,0
"162","AZ719",0.00531045751633987,31,1,1
"163","AZ720",0.000816993464052288,29,2,0
"164","AZ721",0.00388071895424837,6,1,1
"165","AZ722",0.00531045751633987,41,1,1
"166","AZ723",0.000816993464052288,38,2,0
"167","AZ724",0.00388071895424837,17,1,1
"168","AZ726",0.00571895424836601,34,2,1
"169","AZ727",0.00367647058823529,17,1,0
"170","AZ728",0.00367647058823529,13,1,0
"171","AZ729",0.00245098039215686,29,1,1
"172","AZ730",0.000816993464052288,30,2,0
"173","AZ731",0.00245098039215686,9,2,1
"174","AZ732",0.00204248366013072,66,2,1
"175","AZ733",0.00163398692810458,40,2,0
"176","AZ734",0.00163398692810458,18,1,1
"177","AZ735",0.00163398692810458,13,1,1
"178","AZ738",0,66,2,0
"179","AZ739",0.0051062091503268,58,1,1
"180","AZ740",0.00163398692810458,54,2,0
"181","AZ741",0.00418709150326797,22,2,1
"182","AZ742",0.00418709150326797,22,2,1
"183","AZ743",0.00122549019607843,51,1,0
"184","AZ744",0,41,2,0
"185","AZ745",0.00377859477124183,46,1,1
"186","AZ746",0.00495302287581699,42,2,1
"187","AZ747",0.0051828022875817,15,1,1
"188","AZ750",0.00122549019607843,76,2,1
"189","AZ752",0.00245098039215686,36,2,1
"190","AZ753",0.00163398692810458,50,1,0
"191","AZ754",0.00163398692810458,48,2,1
"192","AZ755",0.00326797385620915,28,2,1
"193","AZ756",0.00163398692810458,32,1,0
"194","AZ757",0.00326797385620915,4,1,0
"195","AZ758",0.00326797385620915,2,1,0
"196","AZ759",0.000816993464052288,44,1,1
"197","AZ760",0.000816993464052288,41,2,0
"198","AZ761",0.00163398692810458,25,1,1
"199","AZ762",0.000408496732026144,76,1,1
"200","AZ763",0.000816993464052288,61,2,0
"201","AZ765",0.000816993464052288,33,2,0
"202","AZ766",0.00224673202614379,8,2,1
"203","AZ767",0.00719975490196078,51,1,1
"204","AZ768",0.00842524509803922,41,2,0
"205","AZ769",0.00852736928104575,21,2,1
"206","AZ770",0.00852736928104575,19,1,1
"207","AZ771",0.00852736928104575,17,1,1
"208","AZ772",0.0138888888888889,48,1,1
"209","AZ773",0.00245098039215686,38,2,0
"210","AZ774",0.00898692810457516,17,2,1
"211","AZ775",0.00898692810457516,14,2,1
"212","AZ776",0.00898692810457516,11,2,1
"213","AZ777",0.014297385620915,58,1,1
"214","AZ778",0.00326797385620915,51,2,0
"215","AZ779",0.0104166666666667,30,1,1
"216","AZ780",0.00163398692810458,24,2,0
"217","AZ781",0.00684232026143791,9,1,1
"218","AZ782",0.00684232026143791,6,2,1
"219","AZ783",0.0145016339869281,62,1,1
"220","AZ784",0.00735294117647059,53,2,1
"221","AZ785",0.0129697712418301,40,1,1
"222","AZ786",0.0108251633986928,35,2,1
"223","AZ787",0.0126123366013072,16,2,1
"224","AZ788",0.0126123366013072,14,1,1
"225","AZ789",0.0126123366013072,12,2,1
"226","AZ790",0.0136846405228758,64,2,1
"227","AZ792",0.00622957516339869,39,1,1
"228","AZ793",0.000816993464052288,28,2,0
"229","AZ795",0.00434027777777778,3,2,1
"230","AZ796",0.00786356209150327,41,1,1
"231","AZ797",0.00163398692810458,36,2,1
"232","AZ798",0.0063827614379085,26,1,1
"233","AZ799",0.00556576797385621,25,1,1
"234","AZ800",0.00556576797385621,10,1,1
"235","AZ801",0.00556576797385621,9,2,1
"236","AZ802",0.00163398692810458,25,2,0
"237","AZ803",0.00482536764705882,2,1,1
"238","AZ804",0.00482536764705882,1,2,1
"239","AZ805",0.00735294117647059,46,1,1
"240","AZ806",0,38,2,0
"241","AZ807",0.00633169934640523,51,1,1
"242","AZ808",0.00245098039215686,43,2,0
"243","AZ809",0.00520833333333333,26,2,1
"244","AZ810",0.00520833333333333,24,2,1
