"","i","avg_r","age","sex","primary","secondary","born"
"1","CA3",0.0109223300970874,30.3333333333333,2,2,0,0
"2","CA9",0.0266990291262136,37.5,1,4,3,NA
"3","CA15",0.00970873786407767,40.4166666666667,2,1,2,1
"4","CA18",0.0242718446601942,43.9166666666667,2,5,0,1
"5","CA21",0,33.5,1,0,0,1
"6","CA23",0.00728155339805825,18.5,2,1,0,0
"7","CA25",0.00485436893203883,38.25,1,1,0,0
"8","CA32",0.0218446601941748,82.75,2,3,3,1
"9","CA37",0.029126213592233,43.3333333333333,2,6,0,1
"10","CA66",0.00485436893203883,31.4166666666667,1,1,0,0
"11","CA78",0,23.5,1,0,0,0
"12","CA85",0.0218446601941748,20.6666666666667,2,2,5,0
"13","CA99",0.0218446601941748,46.1666666666667,2,3,3,1
"14","CA101",0,36.1666666666667,1,0,0,1
"15","CA106",0,29.9166666666667,1,0,0,0
"16","CA108",0.0218446601941748,40.9166666666667,2,3,3,1
"17","CA123",0.00728155339805825,67.0833333333333,1,1,1,1
"18","CA125",0.00485436893203883,53.5833333333333,2,1,0,0
"19","CA134",0.0242718446601942,49.5833333333333,1,5,0,1
"20","CA137",0,51.5,1,0,0,0
"21","CA139",0.00606796116504854,31.8333333333333,2,0,2,1
"22","CA144",0.0339805825242718,40.75,2,7,0,0
"23","CA145",0,33.6666666666667,2,0,0,0
"24","CA147",0,23,2,0,0,0
"25","CA150",0.00970873786407767,52.5833333333333,1,2,0,1
"26","CA160",0,35.9166666666667,2,0,0,1
"27","CA163",0.00485436893203883,22.75,1,1,0,0
"28","CA168",0.00606796116504854,39.75,2,0,2,0
"29","CA171",0.0145631067961165,70,1,2,2,0
"30","CA193",0,68.0833333333333,1,0,0,0
"31","CA197",0,33.4166666666667,1,0,0,0
"32","CA200",0,25.6666666666667,1,0,0,0
"33","CA201",0,47.75,1,0,0,0
"34","CA215",0.0121359223300971,23.8333333333333,2,2,1,1
"35","CA224",0.0145631067961165,68.75,2,2,2,0
"36","CA227",0,33.75,2,0,0,0
"37","CA231",0.00485436893203883,62.4166666666667,2,1,0,0
"38","CA239",0.0315533980582524,45.4166666666667,2,6,1,1
"39","CA249",0.0254854368932039,19.3333333333333,2,3,4,1
"40","CA252",0.00242718446601942,45.6666666666667,1,0,1,1
"41","CA264",0.00970873786407767,30.1666666666667,2,1,2,1
"42","CA268",0,33.25,2,0,0,0
"43","CA276",0.0218446601941748,60,2,3,3,1
"44","CA287",0.0242718446601942,50.5833333333333,1,5,0,1
"45","CA289",0.0145631067961165,23.0833333333333,1,3,0,0
"46","CA297",0.0266990291262136,36.6666666666667,1,4,3,0
"47","CA298",0,45.9166666666667,1,0,0,1
"48","CA300",0.0182038834951456,32.0833333333333,2,1,5,1
"49","CA306",0.00242718446601942,35.75,2,0,1,0
"50","CA312",0.0169902912621359,24.5833333333333,1,1,5,1
"51","CA313",0.0242718446601942,41.4166666666667,1,5,0,1
"52","CA318",0.00485436893203883,39.75,2,1,0,0
"53","CA325",0,24.3333333333333,2,0,0,0
"54","CA328",0,19,2,0,0,1
"55","CA340",0.0254854368932039,25.25,1,3,4,1
"56","CA341",0,33.9166666666667,2,0,0,1
"57","CA352",0.00485436893203883,52.8333333333333,2,1,0,0
"58","CA363",0.0157766990291262,22.5,1,1,3,1
"59","CA365",0.0194174757281553,80.3333333333333,2,2,4,1
"60","CA375",0.00485436893203883,59.9166666666667,1,1,0,0
"61","CA386",0,56.5,1,0,0,0
"62","CA387",0.00364077669902913,55.1666666666667,1,0,1,0
"63","CA390",0.0315533980582524,19.3333333333333,2,3,7,1
"64","CA396",0.00728155339805825,27.5,1,1,1,1
"65","CA403",0,36.5833333333333,2,0,0,0
"66","CA415",0.0194174757281553,34.4166666666667,2,3,2,1
"67","CA419",0,41,1,0,0,1
"68","CA421",0,45.3333333333333,1,0,0,0
"69","CA426",0.0218446601941748,18.25,2,2,5,0
"70","CA434",0.0194174757281553,78.75,1,4,0,0
"71","CA439",0,44.5,1,0,0,1
"72","CA444",0,65.75,2,0,0,0
"73","CA450",0.0121359223300971,22.5833333333333,1,2,1,1
"74","CA460",0,34.1666666666667,1,0,0,0
"75","CA466",0.00485436893203883,33.5833333333333,2,1,0,0
"76","CA467",0.00970873786407767,45.3333333333333,2,2,0,0
"77","CA468",0,29.3333333333333,1,0,0,0
"78","CA526",0,54.6666666666667,2,0,0,1
"79","CA534",0,31.4166666666667,1,0,0,0
"80","CA537",0.0194174757281553,22.5,1,1,6,0
"81","CA554",0.0315533980582524,22.1666666666667,1,3,7,1
"82","CA555",0,43.25,1,0,0,0
"83","CA559",0,45.5,2,0,0,NA
"84","CA565",0.0194174757281553,82.75,2,4,0,0
"85","CA567",0.00970873786407767,34.0833333333333,2,2,0,0
"86","CA568",0,41,1,0,0,1
"87","CA569",0,19.5833333333333,2,0,0,0
"88","CA577",0.00485436893203883,19.8333333333333,2,1,0,0
"89","CA590",0,58.1666666666667,1,0,0,1
"90","CA594",0.00242718446601942,87.8333333333333,2,0,1,0
"91","CA595",0.0194174757281553,86.5833333333333,1,2,4,0
"92","CA599",0,19.0833333333333,2,0,0,1
"93","CA600",0.0218446601941748,64,1,3,3,0
"94","CA602",0,49.3333333333333,2,0,0,1
"95","CA606",0.00970873786407767,64.6666666666667,1,2,0,0
"96","CA615",0,36.5,1,0,0,1
"97","CA621",0.0266990291262136,48,2,4,3,1
"98","CA622",0.0242718446601942,44.3333333333333,1,5,0,1
"99","CA623",0,60.0833333333333,1,0,0,1
"100","CA627",0.0145631067961165,56.6666666666667,2,3,0,1
"101","CA631",0.0145631067961165,20.25,2,3,0,0
"102","CA637",0,31.8333333333333,2,0,0,1
"103","CA638",0,55.1666666666667,2,0,0,0
"104","CA643",0,23.3333333333333,2,0,0,1
