"","i","avg_r","age","sex","born"
"1","CA3",0.00902406417112299,30.3333333333333,2,0
"2","CA7",0.0053475935828877,6.83333333333333,1,1
"3","CA8",0.0053475935828877,10.8333333333333,1,0
"4","CA9",0.0414438502673797,37.5,1,NA
"5","CA15",0.00935828877005348,40.4166666666667,2,1
"6","CA18",0.0147058823529412,43.9166666666667,2,1
"7","CA19",0.00668449197860963,9.58333333333333,2,1
"8","CA21",0.00267379679144385,33.5,1,1
"9","CA23",0.00601604278074866,18.5,2,0
"10","CA25",0.0053475935828877,38.25,1,0
"11","CA32",0.018716577540107,82.75,2,1
"12","CA34",0.0307486631016043,4,1,1
"13","CA37",0.0254010695187166,43.3333333333333,2,1
"14","CA50",0.0110294117647059,5.08333333333333,1,1
"15","CA66",0.00401069518716578,31.4166666666667,1,0
"16","CA69",0.00601604278074866,10.4166666666667,1,1
"17","CA78",0,23.5,1,0
"18","CA79",0.0247326203208556,7.33333333333333,2,1
"19","CA85",0.035427807486631,20.6666666666667,2,0
"20","CA89",0.0207219251336898,12.75,1,0
"21","CA99",0.018716577540107,46.1666666666667,2,1
"22","CA101",0,36.1666666666667,1,1
"23","CA106",0,29.9166666666667,1,0
"24","CA108",0.0227272727272727,40.9166666666667,2,1
"25","CA109",0.0200534759358289,2.83333333333333,1,1
"26","CA120",0.0274064171122995,13.0833333333333,1,0
"27","CA123",0.00735294117647059,67.0833333333333,1,1
"28","CA125",0.0053475935828877,53.5833333333333,2,0
"29","CA128",0.0274064171122995,16.4166666666667,1,0
"30","CA134",0.0147058823529412,49.5833333333333,1,1
"31","CA137",0.0053475935828877,51.5,1,0
"32","CA139",0.00735294117647059,31.8333333333333,2,1
"33","CA143",0.0053475935828877,9.91666666666667,1,1
"34","CA144",0.0508021390374332,40.75,2,0
"35","CA145",0.00802139037433155,33.6666666666667,2,0
"36","CA146",0.00802139037433155,13,1,1
"37","CA147",0,23,2,0
"38","CA150",0.00802139037433155,52.5833333333333,1,1
"39","CA157",0.00401069518716578,13.3333333333333,2,1
"40","CA160",0.00802139037433155,35.9166666666667,2,1
"41","CA162",0.0280748663101604,10.8333333333333,1,1
"42","CA163",0.0053475935828877,22.75,1,0
"43","CA167",0.0053475935828877,17.4166666666667,2,0
"44","CA168",0.00735294117647059,39.75,2,0
"45","CA170",0.0053475935828877,14.6666666666667,1,0
"46","CA171",0.017379679144385,70,1,0
"47","CA172",0.0133689839572193,10,1,0
"48","CA181",0.0106951871657754,5.33333333333333,1,1
"49","CA187",0.00501336898395722,13.0833333333333,1,0
"50","CA188",0.0106951871657754,15.3333333333333,2,0
"51","CA192",0.0127005347593583,14,1,1
"52","CA193",0,68.0833333333333,1,0
"53","CA197",0,33.4166666666667,1,0
"54","CA200",0,25.6666666666667,1,0
"55","CA201",0,47.75,1,0
"56","CA215",0.0106951871657754,23.8333333333333,2,1
"57","CA218",0.0053475935828877,12.75,2,1
"58","CA222",0.0150401069518717,12.5833333333333,1,1
"59","CA224",0.017379679144385,68.75,2,0
"60","CA226",0.00401069518716578,1.16666666666667,1,0
"61","CA227",0.0106951871657754,33.75,2,0
"62","CA231",0.00668449197860963,62.4166666666667,2,0
"63","CA239",0.0240641711229947,45.4166666666667,2,1
"64","CA242",0.0340909090909091,11.9166666666667,2,1
"65","CA249",0.0200534759358289,19.3333333333333,2,1
"66","CA252",0.00133689839572193,45.6666666666667,1,1
"67","CA254",0.00467914438502674,18.8333333333333,1,0
"68","CA259",0.00935828877005348,17.0833333333333,2,1
"69","CA264",0.0106951871657754,30.1666666666667,2,1
"70","CA268",0.00802139037433155,33.25,2,0
"71","CA269",0.00802139037433155,12.9166666666667,2,1
"72","CA273",0.00868983957219251,NA,2,0
"73","CA274",0.00668449197860963,4.41666666666667,2,1
"74","CA276",0.0347593582887701,60,2,1
"75","CA279",0.018716577540107,4.75,1,1
"76","CA287",0.0147058823529412,50.5833333333333,1,1
"77","CA289",0.0106951871657754,23.0833333333333,1,0
"78","CA295",0.00935828877005348,13.5,2,1
"79","CA297",0.0387700534759358,36.6666666666667,1,0
"80","CA298",0,45.9166666666667,1,1
"81","CA299",0.0106951871657754,19.5833333333333,1,0
"82","CA300",0.0193850267379679,32.0833333333333,2,1
"83","CA302",0.0106951871657754,13.1666666666667,1,1
"84","CA306",0.00668449197860963,35.75,2,0
"85","CA312",0.0140374331550802,24.5833333333333,1,1
"86","CA313",0.0254010695187166,41.4166666666667,1,1
"87","CA318",0.0147058823529412,39.75,2,0
"88","CA325",0.00802139037433155,24.3333333333333,2,0
"89","CA328",0.00267379679144385,19,2,1
"90","CA340",0.0200534759358289,25.25,1,1
"91","CA341",0.00802139037433155,33.9166666666667,2,1
"92","CA345",0.0053475935828877,16.8333333333333,2,1
"93","CA347",0.0053475935828877,9.75,2,1
"94","CA352",0.00267379679144385,52.8333333333333,2,0
"95","CA354",0.00601604278074866,16.0833333333333,1,1
"96","CA357",0.0113636363636364,2.33333333333333,2,1
"97","CA363",0.0103609625668449,22.5,1,1
"98","CA365",0.0140374331550802,80.3333333333333,2,1
"99","CA366",0.0274064171122995,14.75,1,0
"100","CA375",0.00668449197860963,59.9166666666667,1,0
"101","CA383",0,15.4166666666667,1,1
"102","CA386",0,56.5,1,0
"103","CA387",0.0053475935828877,55.1666666666667,1,0
"104","CA389",0.0106951871657754,13.3333333333333,1,0
"105","CA390",0.0280748663101604,19.3333333333333,2,1
"106","CA396",0.00401069518716578,27.5,1,1
"107","CA399",0.0147058823529412,8.83333333333333,2,0
"108","CA402",0.0140374331550802,14.3333333333333,1,0
"109","CA403",0.00267379679144385,36.5833333333333,2,0
"110","CA406",0,10.1666666666667,2,0
"111","CA415",0.0267379679144385,34.4166666666667,2,1
"112","CA416",0.0247326203208556,3.08333333333333,2,1
"113","CA417",0.00802139037433155,1.75,2,1
"114","CA419",0.0053475935828877,41,1,1
"115","CA421",0.00267379679144385,45.3333333333333,1,0
"116","CA426",0.0340909090909091,18.25,2,0
"117","CA429",0.0340909090909091,16.0833333333333,1,0
"118","CA431",0.0133689839572193,12.5,2,0
"119","CA433",0.0190508021390374,0,2,1
"120","CA434",0.0120320855614973,78.75,1,0
"121","CA436",0.0387700534759358,20.5,1,0
"122","CA437",0.00518048128342246,4.75,1,0
"123","CA438",0.0106951871657754,11.1666666666667,2,1
"124","CA439",0,44.5,1,1
"125","CA444",0,65.75,2,0
"126","CA449",0.0053475935828877,8.83333333333333,1,0
"127","CA450",0.0106951871657754,22.5833333333333,1,1
"128","CA460",0,34.1666666666667,1,0
"129","CA466",0.00802139037433155,33.5833333333333,2,0
"130","CA467",0.00802139037433155,45.3333333333333,2,0
"131","CA468",0.0053475935828877,29.3333333333333,1,0
"132","CA473",0.0240641711229947,6.75,1,0
"133","CA474",0.0110294117647059,14.5833333333333,2,1
"134","CA476",0,NA,1,NA
"135","CA478",0.00902406417112299,5.83333333333333,1,0
"136","CA480",0.0240641711229947,4.83333333333333,2,1
"137","CA485",0.00267379679144385,2.58333333333333,2,0
"138","CA492",0.0183823529411765,1,1,0
"139","CA502",0.00802139037433155,14.3333333333333,2,1
"140","CA505",0.0053475935828877,NA,2,0
"141","CA506",0.0160427807486631,14.3333333333333,2,1
"142","CA510",0,17.9166666666667,2,0
"143","CA521",0.0106951871657754,8.41666666666667,2,1
"144","CA524",0.0106951871657754,17.0833333333333,1,0
"145","CA526",0.00668449197860963,54.6666666666667,2,1
"146","CA532",0,20.6666666666667,1,1
"147","CA533",0.0340909090909091,10.3333333333333,1,1
"148","CA534",0,31.4166666666667,1,0
"149","CA537",0.0287433155080214,22.5,1,0
"150","CA539",0.0133689839572193,16.5833333333333,1,0
"151","CA542",0.0160427807486631,17.1666666666667,2,1
"152","CA543",0.0307486631016043,5.58333333333333,1,1
"153","CA547",0.0053475935828877,13.3333333333333,2,0
"154","CA554",0.0280748663101604,22.1666666666667,1,1
"155","CA555",0,43.25,1,0
"156","CA557",0.00518048128342246,10.3333333333333,1,1
"157","CA559",0,45.5,2,NA
"158","CA565",0.0120320855614973,82.75,2,0
"159","CA566",0,18.4166666666667,1,1
"160","CA567",0.0133689839572193,34.0833333333333,2,0
"161","CA568",0,41,1,1
"162","CA569",0.00267379679144385,19.5833333333333,2,0
"163","CA570",0.0053475935828877,15.1666666666667,2,1
"164","CA577",0.0147058823529412,19.8333333333333,2,0
"165","CA578",0.0280748663101604,6.66666666666667,2,1
