"","i","avg_r","age","sex","primary","secondary","born"
"1","CE11",0,28.25,1,0,0,0
"2","CE17",0.0390625,34,2,2,1,1
"3","CE19",0,29.8333333333333,1,0,0,0
"4","CE28",0,35.8333333333333,1,0,0,0
"5","CE29",0.1640625,39.5,2,10,1,0
"6","CE45",0,23.9166666666667,1,0,0,0
"7","CE48",0,30.8333333333333,2,0,0,1
"8","CE51",0.1484375,31.6666666666667,1,8,3,0
"9","CE61",0.03125,40.0833333333333,1,2,0,0
"10","CE62",0,59.75,2,0,0,0
"11","CE64",0,28,1,0,0,0
"12","CE75",0.1484375,42.8333333333333,2,8,3,0
"13","CE80",0.11328125,22.3333333333333,2,3,8,0
"14","CE83",0.1171875,19.4166666666667,2,2,10,0
"15","CE84",0,26.4166666666667,1,0,0,1
"16","CE91",0.0390625,40.4166666666667,1,2,1,0
"17","CE92",0.1484375,21.5833333333333,2,8,3,0
"18","CE98",0,26.6666666666667,2,0,0,0
"19","CE101",0,22.9166666666667,1,0,0,1
"20","CE104",0.15625,38.5833333333333,1,9,2,0
"21","CE111",0,28.3333333333333,2,0,0,0
"22","CE113",0.1328125,62.3333333333333,1,7,3,0
"23","CE116",0.046875,39.5833333333333,2,3,0,0
"24","CE118",0.1484375,29.8333333333333,1,8,3,0
"25","CE121",0.11328125,19.6666666666667,2,3,8,0
"26","CE130",0,24,2,0,0,0
"27","CE132",0,27.75,2,0,0,0
"28","CE140",0,52.9166666666667,1,0,0,0
"29","CE145",0.1484375,23.9166666666667,2,8,3,0
"30","CE157",0,22.3333333333333,2,0,0,0
"31","CE161",0.1328125,62.9166666666667,2,7,3,0
"32","CE169",0,28.8333333333333,1,0,0,0
"33","CE170",0,27.5,1,0,0,NA
