"","i","avg_r","age","sex","born"
"1","CE4",0.136764705882353,10.4166666666667,2,1
"2","CE5",0,NA,2,NA
"3","CE7",0.111029411764706,13.0833333333333,2,1
"4","CE9",0.0147058823529412,9.41666666666667,1,1
"5","CE11",0.00588235294117647,28.25,1,0
"6","CE14",0.0897058823529412,0.833333333333333,1,0
"7","CE15",0.15,5.5,1,1
"8","CE17",0.0955882352941176,34,2,1
"9","CE19",0.0176470588235294,29.8333333333333,1,0
"10","CE22",0.0176470588235294,12.1666666666667,1,1
"11","CE23",0.142647058823529,12.0833333333333,2,1
"12","CE27",0.15,13.0833333333333,2,0
"13","CE28",0.00588235294117647,35.8333333333333,1,0
"14","CE29",0.180882352941176,39.5,2,0
"15","CE32",0.119852941176471,13.25,1,1
"16","CE34",0.15,4.08333333333333,2,1
"17","CE35",0.0702205882352941,0.583333333333333,2,0
"18","CE37",0.111029411764706,1.41666666666667,1,1
"19","CE38",0.142647058823529,4.25,2,1
"20","CE41",0.0323529411764706,2.75,1,1
"21","CE42",0.119852941176471,7.25,1,1
"22","CE43",0.142647058823529,0.25,1,1
"23","CE45",0.00588235294117647,23.9166666666667,1,0
"24","CE46",0.0235294117647059,17.0833333333333,1,0
"25","CE48",0.0352941176470588,30.8333333333333,2,1
"26","CE49",0.0323529411764706,0.833333333333333,1,1
"27","CE50",0.142647058823529,6.25,1,1
"28","CE51",0.177941176470588,31.6666666666667,1,0
"29","CE54",0.136764705882353,12.5,1,1
"30","CE56",0.136764705882353,15.1666666666667,2,0
"31","CE61",0.0470588235294118,40.0833333333333,1,0
"32","CE62",0.00294117647058824,59.75,2,0
"33","CE63",0.0897058823529412,1.66666666666667,1,1
"34","CE64",0.0117647058823529,28,1,0
"35","CE66",0.0323529411764706,8.08333333333333,1,1
"36","CE68",0.119852941176471,10.25,1,1
"37","CE70",0.136764705882353,19.25,1,0
"38","CE74",0.111029411764706,9.83333333333333,2,1
"39","CE75",0.172058823529412,42.8333333333333,2,0
"40","CE80",0.122794117647059,22.3333333333333,2,0
"41","CE83",0.155882352941176,19.4166666666667,2,0
"42","CE84",0.0117647058823529,26.4166666666667,1,1
"43","CE85",0.0235294117647059,6.5,2,0
"44","CE86",0.111029411764706,10.9166666666667,1,1
"45","CE87",0.0117647058823529,3.33333333333333,1,1
"46","CE88",0.119852941176471,4.58333333333333,1,1
"47","CE89",0.157352941176471,8.58333333333333,2,1
"48","CE91",0.0897058823529412,40.4166666666667,1,0
"49","CE92",0.157352941176471,21.5833333333333,2,0
"50","CE96",0.142647058823529,8.58333333333333,2,1
"51","CE97",0.0176470588235294,1.75,2,0
"52","CE98",0.0117647058823529,26.6666666666667,2,0
"53","CE100",0.0176470588235294,0.5,1,0
"54","CE101",0.0117647058823529,22.9166666666667,1,1
"55","CE104",0.185294117647059,38.5833333333333,1,0
"56","CE105",0.0176470588235294,3.91666666666667,1,0
"57","CE109",0.15,11.1666666666667,2,1
"58","CE111",0.0294117647058824,28.3333333333333,2,0
"59","CE113",0.151470588235294,62.3333333333333,1,0
"60","CE116",0.102941176470588,39.5833333333333,2,0
"61","CE118",0.175,29.8333333333333,1,0
"62","CE121",0.122794117647059,19.6666666666667,2,0
"63","CE124",0.0323529411764706,5.75,1,1
"64","CE125",0.136764705882353,8.25,2,1
"65","CE128",0.15,8.91666666666667,1,1
"66","CE129",0.15,15.4166666666667,1,1
"67","CE130",0.0117647058823529,24,2,0
"68","CE132",0.0176470588235294,27.75,2,0
"69","CE133",0.142647058823529,13.75,2,1
"70","CE137",0.00588235294117647,5.75,2,0
"71","CE138",0.0702205882352941,2.41666666666667,1,1
"72","CE140",0.00294117647058824,52.9166666666667,1,0
"73","CE141",0.142647058823529,2.16666666666667,1,1
"74","CE142",0.0147058823529412,7.41666666666667,2,1
"75","CE143",0.111029411764706,7.58333333333333,1,1
"76","CE145",0.157352941176471,23.9166666666667,2,0
"77","CE149",0.111029411764706,5.33333333333333,2,1
"78","CE154",0.0176470588235294,4.41666666666667,2,0
"79","CE155",0.0235294117647059,3.41666666666667,2,0
"80","CE157",0.0176470588235294,22.3333333333333,2,0
"81","CE158",0.119852941176471,1.25,2,1
"82","CE159",0.152941176470588,17.4166666666667,2,0
"83","CE161",0.151470588235294,62.9166666666667,2,0
"84","CE167",0.0852941176470588,1,1,1
"85","CE169",0,28.8333333333333,1,0
"86","CE170",0.0235294117647059,27.5,1,NA
