"","i","avg_r","age","sex","primary","secondary","born"
"1","DM993",0.0347603462837838,34,2,6,9,1
"2","DM2669",0.00873627533783784,42,1,1,1,1
"3","DM418",0.00484940812394426,25,1,1,1,1
"4","DM1274",0.0252982474662162,63,1,3,7,1
"5","DM1336",0.0211742504222973,27,1,2,4,1
"6","DM2057",0.0137774493243243,57,2,2,3,1
"7","DM2278",0.0137774493243243,52,2,2,3,1
"8","DM2388",0.0217549092060811,42,2,1,3,1
"9","DM2648",0.0252982474662162,65,1,3,7,1
"10","DM2659",0.0211742504222973,22,1,2,4,1
"11","DM3885",0.0198215793918919,63,2,2,4,1
"12","DM4105",0.0252982474662162,57,1,3,7,1
"13","DM4280",0.00390625,38,1,1,0,1
"14","DM4385",0.00612331081081081,70,2,1,1,1
"15","DM3",0.0185150971283784,25,1,3,5,1
"16","DM58",0.0185150971283784,27,1,3,5,1
"17","DM68",0.0073902027027027,49,1,2,1,1
"18","DM101",0.0262616131756757,48,2,7,2,1
"19","DM112",0.00358952702702703,44,1,1,1,1
"20","DM134",0.00518633868243243,34,2,1,0,1
"21","DM144",0.00518633868243243,37,1,1,0,1
"22","DM242",0.0177694784628378,37,1,0,3,1
"23","DM638",0.00282411317567568,96,1,0,1,1
"24","DM723",0.0261296452702703,71,2,4,7,1
"25","DM807",0.0197489970439189,34,1,2,4,1
"26","DM880",0.00998997043918919,79,1,1,2,1
"27","DM893",0.0224213471283784,57,2,3,4,1
"28","DM950",0.0178024704391892,30,2,0,4,1
"29","DM971",0.00337837837837838,48,2,2,0,0
"30","DM1004",0.0240841427364865,24,1,3,3,1
"31","DM1015",0.021900073902027,51,2,5,1,1
"32","DM1076",0.0241105363175676,54,2,5,2,1
"33","DM1084",0.0191089527027027,90,1,2,10,1
"34","DM1092",0.0240841427364865,33,2,3,3,1
"35","DM1237",0.0180993982263514,27,2,0,4,1
"36","DM1245",0.0202108847128378,49,1,3,3,1
"37","DM1260",0.0134838207347973,21,2,2,3,1
"38","DM1265",0.0103660789695946,23,2,1,4,1
"39","DM1267",0.0171822212837838,84,2,0,7,1
"40","DM1271",0.0178684543918919,38,1,4,2,1
"41","DM1272",0.0178684543918919,34,1,4,2,1
"42","DM1273",0.0131176097972973,39,1,2,2,1
"43","DM1279",0.0131176097972973,38,1,2,2,1
"44","DM1282",0.0194784628378378,68,1,1,5,1
"45","DM1284",0.0103462837837838,61,2,4,2,0
"46","DM1285",0.00337837837837838,63,2,2,0,0
"47","DM1286",0.0220122466216216,71,1,4,2,1
"48","DM1287",0.0178684543918919,35,1,4,2,1
"49","DM1288",0.0143976984797297,68,2,1,5,1
"50","DM1292",0.0165883657094595,55,1,1,3,1
"51","DM1304",0.00190033783783784,57,1,0,0,1
"52","DM1306",0.00918496621621622,51,2,0,1,1
"53","DM1311",0.00168918918918919,23,2,1,0,1
"54","DM1312",0.0188450168918919,76,1,4,5,1
"55","DM1316",0.0131703969594595,37,1,0,4,1
"56","DM1317",0.023120777027027,56,1,1,4,1
"57","DM1319",0.0373865076013514,35,2,4,8,1
"58","DM1321",0.0324608055320946,28,1,7,7,1
"59","DM1323",0.0116395692567568,24,1,1,2,0
"60","DM1325",0.0324608055320946,37,2,7,7,1
"61","DM1328",0.0338893581081081,26,2,8,6,1
"62","DM1330",0.0262220228040541,79,2,7,11,1
"63","DM1334",0.0180004222972973,60,1,3,6,1
"64","DM1337",0.00828098606418919,40,2,1,1,1
"65","DM1340",0.0270138302364865,61,1,7,1,1
"66","DM1342",0.0324608055320946,35,2,7,7,1
"67","DM1348",0.0324608055320946,33,1,7,7,1
"68","DM1349",0.015625,65,2,0,1,1
"69","DM1355",0.0373865076013514,37,2,4,8,1
"70","DM1362",0.0185546875,57,1,1,1,1
"71","DM1363",0.0237278293918919,30,1,4,5,1
"72","DM1365",0,40,2,0,0,0
"73","DM1371",0.0134079391891892,48,2,3,5,1
"74","DM1380",0.0337837837837838,61,1,7,3,1
"75","DM1473",0.0338893581081081,29,2,8,6,1
"76","DM1484",0.0127217060810811,66,2,2,1,1
"77","DM1495",0.0218538851351351,45,2,2,5,1
"78","DM1570",0.0311048353040541,24,2,2,10,1
"79","DM1689",0.0294882284628378,59,1,6,8,1
"80","DM1851",0.0338893581081081,23,2,8,6,1
"81","DM1862",0.0303328230574324,36,2,7,7,1
"82","DM1894",0.0100295608108108,52,2,1,2,1
"83","DM1937",0.0292440878378378,84,1,4,4,1
"84","DM2034",0.0345755912162162,79,1,5,7,1
"85","DM2045",0.0346943623310811,56,1,2,7,1
"86","DM2068",0.01953125,54,1,1,4,1
"87","DM2079",0,38,2,0,0,1
"88","DM2112",0.0306165540540541,53,2,13,5,1
"89","DM2134",0.0188450168918919,59,1,4,5,1
"90","DM2156",0.0299303209459459,57,1,1,8,1
"91","DM2190",0.0373865076013514,39,2,4,8,1
"92","DM2201",0.0237278293918919,39,1,4,5,1
"93","DM2212",0.0346943623310811,44,2,2,7,1
"94","DM2223",0.0135663006756757,56,2,3,0,1
