"","i","avg_r","age","sex","born"
"1","DM1",0.0275264205388955,8,1,1
"2","DM993",0.0380783987158551,34,2,1
"3","DM1335",0.0275264205388955,15,1,1
"4","DM2669",0.0146548164711995,42,1,1
"5","DM3774",0.0275264205388955,12,1,1
"6","DM4418",0.0151981888361045,13,1,1
"7","DM418",0.00639183787438762,25,1,1
"8","DM1274",0.022550823003266,63,1,1
"9","DM1336",0.017900263045576,27,1,1
"10","DM2057",0.0109486342042755,57,2,1
"11","DM2278",0.0109486342042755,52,2,1
"12","DM2388",0.020618864589519,42,2,1
"13","DM2499",0.0263068772268409,17,1,1
"14","DM2648",0.0231446472312945,65,1,1
"15","DM2659",0.017900263045576,22,1,1
"16","DM3885",0.0178396628191805,63,2,1
"17","DM4105",0.022550823003266,57,1,1
"18","DM4280",0.00335881828978622,38,1,1
"19","DM4385",0.00552998812351544,70,2,1
"20","DM4494",0.024935398418943,16,1,1
"21","DM4505",0.024935398418943,10,1,1
"22","DM3",0.024935398418943,25,1,1
"23","DM47",0.024935398418943,18,2,1
"24","DM58",0.024935398418943,27,1,1
"25","DM68",0.0155878859857482,49,1,1
"26","DM79",0.024935398418943,11,2,1
"27","DM101",0.0319076139400238,48,2,1
"28","DM112",0.0025979809976247,44,1,1
"29","DM123",0.02428010410481,13,1,1
"30","DM134",0.00624443289786223,34,2,1
"31","DM144",0.00802590558194774,37,1,1
"32","DM242",0.0175656570108373,37,1,1
"33","DM347",0.000593824228028504,18,1,1
"34","DM638",0.00218972684085511,96,1,1
"35","DM668",0.00401527241686461,18,2,1
"36","DM723",0.0235940747476247,71,2,1
"37","DM807",0.0176285768631235,34,1,1
"38","DM880",0.00928778206650831,79,1,1
"39","DM893",0.0199951751781473,57,2,1
"40","DM950",0.0152002185087589,30,2,1
"41","DM971",0.00593824228028504,48,2,0
"42","DM995",0.0219436609263658,16,2,1
"43","DM1004",0.0219436609263658,24,1,1
"44","DM1015",0.021317361935867,51,2,1
"45","DM1076",0.0217766478622328,54,2,1
"46","DM1084",0.017146674584323,90,1,1
"47","DM1092",0.0219436609263658,33,2,1
"48","DM1101",0.014815450564133,17,1,1
"49","DM1142",0.014815450564133,19,1,1
"50","DM1172",0.0183621585510689,NA,2,1
