"","i","avg_r","age","sex","primary","secondary","born"
"1","GA40",0.00820623342175066,19,2,9,6,1
"2","GA303",0.00520142572944297,19,2,2,4,1
"3","GA1043",0.00596816976127321,19,2,2,4,1
"4","GA3539",0.00646551724137931,19,2,4,3,1
"5","GA2733",0.00619612068965517,19,2,2,4,1
"6","GA1001",0.00505636604774536,20,2,1,6,1
"7","GA1748",0.00563660477453581,20,2,4,4,1
"8","GA2799",0.00306697612732095,20,2,3,2,1
"9","GA2567",0.00779177718832891,20,2,1,4,1
"10","GA1008",0.00621684350132626,20,2,3,12,1
"11","GA3174",0.00373010610079576,20,2,0,8,1
"12","GA632",0.00600961538461538,21,2,2,5,1
"13","GA2610",0.00795755968169761,21,2,2,2,1
"14","GA2789",0.00547082228116711,21,2,3,8,1
"15","GA2204",0.00414456233421751,21,2,1,5,1
"16","GA3476",0.00629973474801061,21,2,2,5,1
"17","GA1562",0.00455901856763926,21,2,4,3,1
"18","GA3599",0.00513925729442971,21,2,1,9,1
"19","GA2905",0.0029840848806366,21,2,4,1,1
"20","GA1308",0.00737732095490716,25,1,3,5,1
"21","GA3519",0.0058231100795756,22,1,3,1,1
"22","GA2109",0.0026525198938992,22,1,4,0,1
"23","GA855",0.00547082228116711,22,1,3,6,1
"24","GA1539",0.00768816312997348,22,2,2,8,1
"25","GA2028",0.00551226790450928,22,2,2,5,1
"26","GA2968",0.00903514588859416,22,2,2,8,1
"27","GA2554",0.00290119363395225,22,2,4,0,1
"28","GA3186",0.00306697612732095,22,2,1,5,1
"29","GA3484",0.00397877984084881,22,2,3,3,1
"30","GA2950",0.00339854111405836,22,2,3,0,1
"31","GA1697",0.00505636604774536,22,2,3,6,1
"32","GA754",0.00364721485411141,22,1,4,3,1
"33","GA1973",0.00907659151193634,22,1,2,17,1
"34","GA419",0.00470407824933687,22,1,2,3,1
"35","GA2582",0.00679708222811671,22,2,1,8,1
"36","GA520",0.010879476127321,22,2,4,7,1
"37","GA1401",0.00770888594164456,22,1,2,9,1
"38","GA2174",0.00580238726790451,22,2,2,3,1
"39","GA197",0.00240384615384615,22,2,1,4,1
"40","GA1759",0.00646551724137931,22,1,4,3,1
"41","GA3003",0.00596816976127321,22,1,2,5,1
"42","GA3314",0.00397877984084881,22,2,2,2,1
"43","GA1138",0.00770888594164456,23,2,3,6,1
"44","GA1454",0.00397877984084881,23,2,1,8,1
"45","GA811",0.00756382625994695,23,1,3,6,1
"46","GA2875",0.001657824933687,23,2,2,1,0
"47","GA738",0.00331564986737401,23,2,4,2,1
"48","GA2959",0.0023209549071618,23,2,2,3,1
"49","GA956",0.00820623342175066,23,1,9,6,1
"50","GA3249",0.0019893899204244,23,1,2,2,1
"51","GA2593",0.00194794429708223,23,1,1,0,1
"52","GA1286",0.00638262599469496,23,2,1,5,1
"53","GA216",0.00509781167108753,23,2,2,6,1
"54","GA2446",0.00949104774535809,23,1,5,6,1
"55","GA2869",0.0026525198938992,24,2,4,0,1
"56","GA1857",0.00571949602122016,24,1,3,4,1
"57","GA1166",0.00331564986737401,24,1,2,3,1
"58","GA763",0.001657824933687,24,1,1,3,1
"59","GA2478",0.00447612732095491,24,1,3,4,1
"60","GA830",0.00621684350132626,24,1,3,12,1
"61","GA21",0.0019893899204244,24,2,2,2,0
"62","GA130",0.00397877984084881,24,1,3,3,1
"63","GA831",0.00547082228116711,24,1,2,4,1
"64","GA2029",0.00273541114058355,24,1,2,2,1
"65","GA397",0.00339854111405836,24,2,3,0,1
"66","GA2711",0.00373010610079576,24,2,1,6,1
"67","GA3601",0.0013262599469496,24,1,1,2,NA
"68","GA378",0.00547082228116711,24,2,3,8,1
"69","GA1603",0.00584383289124668,24,2,1,9,1
"70","GA204",0.00364721485411141,24,2,2,3,1
"71","GA1525",0.00671419098143236,24,1,2,8,1
"72","GA1774",0.00455901856763926,24,1,3,2,1
"73","GA304",0.0058231100795756,24,1,3,1,1
"74","GA2535",0.00990550397877984,24,1,2,8,1
"75","GA3272",0.00770888594164456,24,2,2,8,0
"76","GA3435",0.00625828912466843,25,2,4,5,1
"77","GA447",0.0018236074270557,25,1,1,1,1
"78","GA2631",0.00820623342175066,25,1,2,9,1
"79","GA2436",0.00422745358090186,25,2,1,3,1
"80","GA2951",0.00563660477453581,25,2,4,4,1
"81","GA3240",0.00839273872679045,25,1,2,10,1
"82","GA3481",0.00559515915119363,25,2,2,7,1
"83","GA326",0.001657824933687,25,2,2,1,1
"84","GA1830",0.00505636604774536,25,1,3,6,1
"85","GA2931",0.00547082228116711,25,1,3,6,1
"86","GA83",0.00364721485411141,25,2,4,3,1
