"","i","avg_r","age","sex","born"
"1","GA24",0.00511006289308176,18,1,1
"2","GA2225",0.0091282320055905,18,2,1
"3","GA2679",0.00194357092941999,18,2,1
"4","GA1976",0.0051974143955276,18,1,1
"5","GA29",0.0108315863032844,18,1,1
"6","GA222",0.00834206848357792,18,1,1
"7","GA1004",0.00955407058001398,18,1,1
"8","GA1551",0.00604909154437456,18,2,1
"9","GA1501",0.00618011879804333,18,1,1
"10","GA691",0.00627292976939203,18,1,1
"11","GA2780",0.00454227812718379,18,2,1
"12","GA2209",0.00482617051013277,18,1,1
"13","GA2551",0.00960866526904263,18,2,1
"14","GA434",0.00419287211740042,18,2,1
"15","GA1394",0.00495719776380154,18,1,1
"16","GA1258",0.00513190076869322,18,1,1
"17","GA938",0.0105094776380154,18,1,1
"18","GA984",0.00902996156533892,17,1,1
"19","GA3326",0.006638714185884,17,1,1
"20","GA1212",0.00227113906359189,17,2,1
"21","GA3331",0.006638714185884,17,1,1
"22","GA443",0.00279524807826695,17,2,1
"23","GA1825",0.00667693046820405,17,1,1
"24","GA3428",0.0043675751222921,17,2,1
"25","GA731",0.00288259958071279,17,2,1
"26","GA878",0.00419287211740042,17,1,1
"27","GA1396",0.00528476589797345,17,1,1
"28","GA2977",0.00708093116701607,17,1,1
"29","GA3631",0.00606001048218029,16,2,1
"30","GA3032",0.00471698113207547,16,1,1
"31","GA3251",0.00517557651991614,16,2,1
"32","GA1045",0.00511006289308176,16,2,1
"33","GA228",0.0117051013277428,16,1,1
"34","GA1863",0.00672606568832984,16,1,1
"35","GA1359",0.00565055031446541,16,1,1
"36","GA3492",0.0100454227812718,16,2,1
"37","GA2067",0.0106132075471698,16,1,1
"38","GA2841",0.0118033717679944,16,2,1
"39","GA463",0.00790531097134871,16,2,1
"40","GA3280",0.00126659678546471,16,1,1
"41","GA1877",0.00541579315164221,16,2,1
"42","GA209",0.00618011879804333,16,1,1
"43","GA1024",0.00513190076869322,16,1,1
"44","GA1085",0.00454227812718379,16,1,1
"45","GA59",0.00587438853948288,16,1,1
"46","GA3412",0.00430206149545772,16,2,0
"47","GA649",0.00943396226415094,15,2,1
"48","GA870",0.00607092941998602,15,1,1
"49","GA2641",0.00775244584206848,15,2,1
"50","GA1065",0.00764325646401118,15,1,1
"51","GA231",0.00484800838574424,15,1,1
"52","GA2782",0.00631114605171209,15,1,1
"53","GA82",0.00373154699510832,15,2,1
"54","GA32",0.00496811670160727,15,2,1
"55","GA3152",0.00604909154437456,15,2,1
"56","GA3261",0.0138670510132774,15,2,1
"57","GA981",0.0060272536687631,15,1,1
"58","GA2371",0.0105094776380154,15,1,1
"59","GA2376",0.00205276030747729,15,1,1
"60","GA1313",0.0100454227812718,15,2,1
"61","GA778",0.00384346610761705,15,1,1
"62","GA1018",0.00327568134171908,15,2,1
"63","GA1785",0.00987071977638015,15,1,1
"64","GA1778",0.0086259608665269,15,2,1
"65","GA1413",0.006638714185884,14,2,1
"66","GA1262",0.0035377358490566,14,2,1
"67","GA3516",0.00329751921733054,14,1,1
"68","GA2781",0.00157232704402516,14,2,1
"69","GA2030",0.00646401118099231,14,2,1
"70","GA2403",0.00528476589797345,14,2,1
"71","GA562",0.00419287211740042,14,2,1
"72","GA521",0.00902996156533892,14,1,1
"73","GA1207",0.00227113906359189,14,1,1
"74","GA1937",0.00471698113207547,14,2,1
"75","GA2095",0.0108315863032844,14,2,1
"76","GA3622",0.00371243885394829,14,1,1
"77","GA2506",0.00559049615653389,14,2,1
"78","GA3059",0.00244584206848358,14,1,1
"79","GA1569",0.00539395527603075,14,1,1
"80","GA3225",0.00565055031446541,14,2,1
"81","GA2041",0.006638714185884,14,1,1
"82","GA3086",0.0125349406009783,13,2,1
