"","i","avg_r","age","sex","primary","secondary","born"
"1","GB232",0.0133333333333333,36,1,1,10,1
"2","GB2094",0.01125,24,1,2,6,1
"3","GB934",0.0123958333333333,24,1,1,11,1
"4","GB2085",0.00979166666666667,25,1,3,2,1
"5","GB1370",0.00166666666666667,23,1,1,0,1
"6","GB357",0.00916666666666667,40,1,3,1,1
"7","GB1647",0.0177083333333333,33,1,5,7,1
"8","GB1527",0.010625,31,1,2,4,1
"9","GB644",0.00895833333333333,28,1,1,6,1
"10","GB2865",0.00875,48,1,1,5,1
"11","GB3142",0.0096875,23,1,2,7,1
"12","GB992",0.008125,30,1,2,4,1
"13","GB3432",0.0158333333333333,59,1,5,7,1
"14","GB115",0.00291666666666667,39,1,0,3,1
"15","GB1190",0.00229166666666667,36,1,0,2,1
"16","GB2014",0.00625,33,1,3,1,1
"17","GB1979",0.00833333333333333,35,1,0,5,1
"18","GB1448",0.01125,41,1,3,6,1
"19","GB1222",0.0133333333333333,41,1,1,10,1
"20","GB812",0.004375,29,1,2,0,1
"21","GB235",0,31,1,0,0,1
"22","GB1853",0.0145833333333333,31,1,6,1,1
"23","GB73",0.005,56,1,2,2,1
"24","GB2223",0.00416666666666667,49,1,0,4,1
"25","GB98",0.0120833333333333,48,1,4,5,1
"26","GB2011",0.00416666666666667,30,1,1,2,1
"27","GB2004",0.00833333333333333,25,1,2,4,1
"28","GB2343",0.00958333333333333,25,1,3,3,1
"29","GB2558",0.0127083333333333,33,1,6,2,1
"30","GB3176",0.0139583333333333,34,1,5,5,1
"31","GB2768",0.0127083333333333,41,1,6,2,1
"32","GB983",0.0145833333333333,24,1,6,1,1
"33","GB3616",0.00958333333333333,24,1,2,3,1
"34","GB3421",0.0178125,24,1,1,11,1
"35","GB862",0.00979166666666667,25,1,4,2,0
"36","GB2612",0.009375,24,1,1,3,1
"37","GB513",0.0122916666666667,23,1,1,6,1
"38","GB476",0.01609375,22,1,2,10,1
"39","GB3066",0.0129166666666667,22,1,1,10,1
"40","GB838",0.00833333333333333,22,1,2,4,1
"41","GB477",0.00166666666666667,67,1,1,0,1
"42","GB2735",0.00416666666666667,29,1,1,1,1
"43","GB1162",0.00833333333333333,49,1,4,2,1
"44","GB2862",0.0129166666666667,57,1,3,6,1
"45","GB1508",0.0108333333333333,55,1,3,7,1
"46","GB2867",0.00541666666666667,42,1,1,2,1
"47","GB1469",0.00958333333333333,67,1,1,6,1
"48","GB3320",0.005,58,1,2,2,1
"49","GB1974",0.00833333333333333,55,1,3,0,1
"50","GB155",0.0125,69,1,3,4,1
"51","GB698",0.00541666666666667,46,1,1,2,1
"52","GB3430",0.00666666666666667,55,1,3,2,1
"53","GB1369",0.00541666666666667,26,1,1,3,1
"54","GB417",0.008125,28,1,1,3,1
"55","GB1782",0.00729166666666667,27,1,3,1,1
"56","GB1902",0.0146875,24,1,3,3,1
"57","GB1215",0.00666666666666667,54,1,1,3,1
"58","GB364",0.00916666666666667,58,1,5,1,1
"59","GB682",0.0125,52,1,5,5,1
"60","GB102",0.0120833333333333,55,1,4,5,1
"61","GB587",0.00916666666666667,44,1,3,1,1
"62","GB782",0.00208333333333333,37,1,0,2,1
"63","GB1333",0.004375,25,1,2,0,1
"64","GB3182",0.00994791666666667,23,1,4,2,0
"65","GB1951",0.00333333333333333,41,1,1,2,1
"66","GB940",0.00666666666666667,51,2,3,2,1
"67","GB3005",0.00875,22,1,2,2,1
"68","GB147",0.0145833333333333,22,1,6,1,1
"69","GB3004",0.00864583333333333,31,1,4,1,1
"70","GB904",0.00625,47,1,2,2,1
"71","GB1478",0.0177083333333333,40,1,5,7,1
"72","GB3399",0.00208333333333333,45,1,0,2,1
"73","GB1033",0.000833333333333333,43,1,0,1,1
"74","GB3339",0.0177083333333333,35,1,5,7,1
"75","GB2727",0.00875,32,1,1,8,1
"76","GB159",0.00166666666666667,39,1,1,0,1
"77","GB353",0.0107291666666667,42,1,4,1,1
"78","GB675",0.013125,47,1,3,6,1
"79","GB2579",0.0145833333333333,29,1,6,1,1
"80","GB777",0.0116666666666667,28,1,6,1,1
"81","GB105",0.00541666666666667,28,1,1,4,1
"82","GB2468",0.00166666666666667,35,1,1,0,1
"83","GB3418",0.00625,37,1,2,0,1
"84","GB1573",0.00625,37,1,1,4,1
"85","GB2071",0.0139583333333333,45,1,5,5,1
"86","GB3517",0.00666666666666667,50,1,1,5,1
"87","GB2553",0.0154166666666667,39,1,3,8,1
"88","GB2288",0.005,50,1,2,2,1
"89","GB1723",0.0107291666666667,44,1,4,1,1
"90","GB2129",0.0141666666666667,50,1,3,9,1
"91","GB969",0.0075,51,1,2,2,1
"92","GB501",0.00916666666666667,54,1,3,5,1
"93","GB866",0.01,45,1,2,8,1
"94","GB2035",0.0104166666666667,55,1,3,3,1
"95","GB171",0.00666666666666667,52,1,1,3,1
"96","GB982",0.0154166666666667,57,1,6,4,1
"97","GB1457",0.01375,64,1,4,8,1
"98","GB3158",0.00479166666666667,41,2,1,2,1
"99","GB701",0.00333333333333333,47,2,2,0,1
"100","GB394",0.008125,35,2,2,4,1
"101","GB1963",0.011875,30,2,4,4,1
"102","GB1378",0.0107291666666667,35,2,4,1,1
"103","GB489",0.0166666666666667,44,2,6,6,1
"104","GB673",0.0107291666666667,22,2,4,1,1
"105","GB2275",0.0144791666666667,21,2,3,5,0
"106","GB3046",0.011875,25,2,4,4,1
"107","GB3458",0.0136458333333333,22,2,3,3,1
"108","GB2878",0.00958333333333333,27,2,3,3,1
"109","GB2115",0.0136458333333333,27,2,3,3,1
"110","GB461",0.0138541666666667,26,2,1,9,1
"111","GB2178",0.009375,20,2,1,3,1
"112","GB64",0.0116666666666667,30,2,2,3,1
"113","GB2654",0.008125,40,2,2,3,1
"114","GB761",0.00583333333333333,53,2,3,1,1
"115","GB1602",0.0129166666666667,47,2,6,3,1
"116","GB1002",0.00583333333333333,46,2,3,1,1
"117","GB1003",0.010625,53,2,5,2,1
"118","GB3557",0.0140625,20,2,3,2,1
"119","GB2805",0.0096875,19,2,2,7,1
"120","GB1585",0.00677083333333333,22,2,0,2,1
"121","GB1195",0.01125,29,2,2,6,1
"122","GB1635",0.00916666666666667,27,2,2,5,1
"123","GB1524",0.0141666666666667,23,2,4,3,1
"124","GB1266",0.0140625,24,2,3,2,1
"125","GB2734",0.010625,21,2,2,4,1
"126","GB1374",0.0141666666666667,25,2,4,3,1
"127","GB1090",0.00729166666666667,24,2,3,1,1
"128","GB1866",0.009375,30,2,2,2,1
"129","GB929",0.0104166666666667,68,2,5,1,1
"130","GB230",0.00916666666666667,22,2,2,5,1
"131","GB1620",0.00833333333333333,26,2,2,3,1
"132","GB1805",0.00166666666666667,46,2,1,0,1
"133","GB915",0.00864583333333333,28,2,4,1,1
"134","GB3131",0.0127083333333333,28,2,6,2,1
"135","GB1960",0.0154166666666667,35,2,3,8,1
"136","GB3483",0.0120833333333333,19,2,1,8,1
"137","GB3010",0.0135416666666667,19,2,1,10,1
"138","GB2482",0.01125,65,2,3,7,1
"139","GB604",0.0110416666666667,43,2,4,0,1
"140","GB2937",0.0127083333333333,36,2,6,2,1
"141","GB924",0,35,2,0,0,1
"142","GB2592",0.0145833333333333,38,2,6,1,1
"143","GB84",0.01375,49,2,4,8,1
"144","GB3490",0.0108333333333333,36,2,2,7,1
"145","GB2680",0.0139583333333333,29,2,5,5,1
"146","GB1954",0.0120833333333333,57,2,4,5,1
