"","i","avg_r","age","sex","born"
"1","GB232",0.0154909948542024,36,1,1
"2","GB2705",0.0124356775300172,18,1,1
"3","GB2329",0.014954974271012,20,1,1
"4","GB156",0.0193503430531732,20,1,1
"5","GB2094",0.00948756432246998,24,1,1
"6","GB934",0.012167667238422,24,1,1
"7","GB2085",0.0117656518010292,25,1,1
"8","GB1370",0.00171526586620926,23,1,1
"9","GB357",0.0115244425385935,40,1,1
"10","GB1647",0.0143117495711835,33,1,1
"11","GB1527",0.00921955403087478,31,1,1
"12","GB644",0.0121140651801029,28,1,1
"13","GB2865",0.0138829331046312,48,1,1
"14","GB3142",0.011604845626072,23,1,1
"15","GB991",0.00900514579759863,21,1,1
"16","GB992",0.00589622641509434,30,1,1
"17","GB3432",0.0185463121783877,59,1,1
"18","GB115",0.00471698113207547,39,1,1
"19","GB1190",0.00525300171526587,36,1,1
"20","GB2014",0.00900514579759863,33,1,1
"21","GB1979",0.00932675814751286,35,1,1
"22","GB1448",0.0143653516295026,41,1,1
"23","GB1222",0.0150621783876501,41,1,1
"24","GB812",0.0038057461406518,29,1,1
"25","GB235",0,31,1,1
"26","GB1853",0.0135077186963979,31,1,1
"27","GB73",0.00664665523156089,56,1,1
"28","GB2223",0.00943396226415094,49,1,1
"29","GB2149",0.00498499142367067,21,1,1
"30","GB98",0.0139365351629503,48,1,1
"31","GB2011",0.00600343053173242,30,1,1
"32","GB2004",0.0115780445969125,25,1,1
"33","GB590",0.015008576329331,19,1,1
"34","GB2575",0.015008576329331,21,1,1
"35","GB1427",0.0166970411663808,21,1,1
"36","GB2343",0.0131861063464837,25,1,1
"37","GB2558",0.017635077186964,33,1,1
"38","GB3176",0.016241423670669,34,1,1
"39","GB2768",0.0172062607204117,41,1,1
"40","GB983",0.0135077186963979,24,1,1
"41","GB3616",0.0104524013722127,24,1,1
"42","GB3421",0.0166970411663808,24,1,1
"43","GB862",0.00707547169811321,25,1,0
"44","GB2612",0.0116316466552316,24,1,1
"45","GB328",0.0112028301886792,20,1,1
"46","GB760",0.0135077186963979,19,1,1
"47","GB513",0.0176618782161235,23,1,1
"48","GB476",0.0159198113207547,22,1,1
"49","GB1651",0.0157590051457976,19,1,0
"50","GB864",0.0176618782161235,20,1,1
"51","GB2048",0.008147512864494,20,1,0
"52","GB3066",0.0105328044596913,22,1,1
"53","GB838",0.0115780445969125,22,1,1
"54","GB2466",0.0151157804459691,20,1,1
"55","GB1361",0.00777229845626072,20,1,1
"56","GB333",0.0120604631217839,20,1,1
"57","GB477",0.00300171526586621,67,1,1
"58","GB2735",0.00653945111492281,29,1,1
"59","GB1162",0.0137221269296741,49,1,1
"60","GB2862",0.0171526586620926,57,1,1
"61","GB1508",0.015008576329331,55,1,1
"62","GB2867",0.00750428816466552,42,1,1
"63","GB1469",0.00777229845626072,67,1,1
"64","GB3320",0.00921955403087478,58,1,1
"65","GB1974",0.0146333619210978,55,1,1
"66","GB155",0.0170454545454545,69,1,1
"67","GB698",0.00879073756432247,46,1,1
"68","GB3430",0.0117924528301887,55,1,1
"69","GB1369",0.0043417667238422,26,1,1
"70","GB417",0.00921955403087478,28,1,1
"71","GB1782",0.00621783876500858,27,1,1
"72","GB1902",0.0139901372212693,24,1,1
"73","GB1215",0.010827615780446,54,1,1
"74","GB364",0.008147512864494,58,1,1
"75","GB682",0.0175814751286449,52,1,1
"76","GB102",0.0171526586620926,55,1,1
"77","GB587",0.0119532590051458,44,1,1
"78","GB782",0.00471698113207547,37,1,1
"79","GB1333",0.0038057461406518,25,1,1
"80","GB3182",0.00848252572898799,23,1,0
"81","GB1951",0.00653945111492281,41,1,1
"82","GB940",0.0111492281303602,51,2,1
"83","GB3005",0.0115244425385935,22,1,1
"84","GB147",0.0135077186963979,22,1,1
"85","GB3004",0.00970197255574614,31,1,1
"86","GB904",0.00477058319039451,47,1,1
"87","GB1478",0.0138829331046312,40,1,1
"88","GB3022",0.0061106346483705,14,1,1
"89","GB781",0.011604845626072,15,1,1
"90","GB1772",0.0139901372212693,14,1,1
"91","GB2462",0.015008576329331,14,2,1
"92","GB3078",0.0123284734133791,14,2,1
"93","GB1712",0.00943396226415094,14,1,1
"94","GB2304",0.0152229845626072,15,2,1
"95","GB1682",0.0176618782161235,14,1,1
"96","GB2517",0.0119532590051458,15,1,1
"97","GB3218",0.0115780445969125,14,2,1
"98","GB908",0.013614922813036,15,1,1
"99","GB1196",0.0170454545454545,15,1,1
"100","GB768",0.016241423670669,14,2,1
"101","GB2424",0.00777229845626072,14,2,1
"102","GB2330",0.014954974271012,14,1,1
"103","GB2591",0.0176618782161235,16,2,1
"104","GB2309",0.0117656518010292,16,2,1
"105","GB2078",0.0138293310463122,15,1,1
"106","GB240",0.0170722555746141,16,1,1
"107","GB598",0.0123820754716981,17,2,1
"108","GB3373",0.0192699399656947,17,2,1
"109","GB1432",0.014231346483705,17,2,1
"110","GB3522",0.016241423670669,14,2,1
"111","GB1526",0.0166702401372213,16,2,1
"112","GB3332",0.0176618782161235,13,2,1
"113","GB990",0.0176618782161235,18,1,1
"114","GB1924",0.0127572898799314,16,1,1
"115","GB2813",0.020368782161235,15,1,1
"116","GB2557",0.0207975986277873,18,2,1
"117","GB2183",0.0188411234991424,14,1,1
"118","GB636",0.0176618782161235,17,1,1
"119","GB1572",0.0115780445969125,17,2,1
"120","GB1856",0.00975557461406518,15,1,1
"121","GB3052",0.00493138936535163,18,1,1
"122","GB1348",0.0159198113207547,16,1,1
"123","GB1443",0.015008576329331,17,1,1
"124","GB3084",0.0170454545454545,18,1,1
"125","GB3381",0.0139901372212693,18,2,1
"126","GB1010",0.013614922813036,17,2,1
"127","GB2437",0.0193503430531732,17,1,1
"128","GB2406",0.0170722555746141,14,2,1
"129","GB1629",0.008147512864494,14,2,1
"130","GB534",0.00364493996569468,17,2,1
"131","GB1363",0.0115244425385935,16,1,1
"132","GB2084",0.0115244425385935,13,2,1
"133","GB2707",0.0107204116638079,13,2,1
"134","GB3202",0.0112028301886792,13,2,1
"135","GB77",0.00921955403087478,13,2,1
"136","GB214",0.00171526586620926,17,1,1
"137","GB3582",0.0127572898799314,13,1,1
"138","GB1914",0.0120604631217839,13,1,1
"139","GB1177",0.0170454545454545,13,1,1
"140","GB1564",0.013614922813036,13,2,1
"141","GB2034",0.00975557461406518,13,2,1
"142","GB3399",0.00471698113207547,45,1,1
"143","GB1033",0.00364493996569468,43,1,1
"144","GB3339",0.0143117495711835,35,1,1
"145","GB2727",0.00771869639794168,32,1,1
"146","GB159",0.00343053173241852,39,1,1
"147","GB353",0.0128644939965695,42,1,1
"148","GB675",0.015008576329331,47,1,1
"149","GB3496",0.00498499142367067,19,1,1
"150","GB162",0.0061106346483705,18,1,1
"151","GB707",0.00972877358490566,18,1,1
"152","GB2579",0.0143653516295026,29,1,1
"153","GB777",0.00954116638078902,28,1,1
"154","GB105",0.00493138936535163,28,1,1
"155","GB2468",0.00428816466552316,35,1,1
"156","GB3418",0.00573542024013722,37,1,1
"157","GB1573",0.00750428816466552,37,1,1
"158","GB2071",0.0198863636363636,45,1,1
"159","GB3517",0.00868353344768439,50,1,1
"160","GB2553",0.0213872212692967,39,1,1
"161","GB2288",0.0105060034305317,50,1,1
"162","GB1723",0.0145797598627787,44,1,1
"163","GB2129",0.0194039451114923,50,1,1
"164","GB969",0.0127572898799314,51,1,1
"165","GB501",0.0115780445969125,54,1,1
"166","GB866",0.0135077186963979,45,1,1
"167","GB2035",0.0145261578044597,55,1,1
"168","GB171",0.00986277873070326,52,1,1
"169","GB982",0.0157590051457976,57,1,1
"170","GB1457",0.0177958833619211,64,1,1
"171","GB3158",0.0035377358490566,41,2,1
"172","GB701",0.00428816466552316,47,2,1
"173","GB394",0.00546740994854202,35,2,1
"174","GB1963",0.0164022298456261,30,2,1
"175","GB1378",0.0124356775300172,35,2,1
"176","GB489",0.0213336192109777,44,2,1
"177","GB673",0.0132933104631218,22,2,1
"178","GB3301",0.0131861063464837,18,2,1
"179","GB2275",0.0161878216123499,21,2,0
"180","GB3046",0.0159734133790738,25,2,1
"181","GB3458",0.0149817753001715,22,2,1
"182","GB2878",0.0131861063464837,27,2,1
"183","GB2115",0.0154105917667238,27,2,1
"184","GB461",0.0149817753001715,26,2,1
"185","GB2178",0.010934819897084,20,2,1
"186","GB64",0.0109884219554031,30,2,1
"187","GB2654",0.0106132075471698,40,2,1
"188","GB761",0.00643224699828473,53,2,1
"189","GB1602",0.00986277873070326,47,2,1
"190","GB1002",0.00793310463121784,46,2,1
"191","GB1003",0.0112564322469983,53,2,1
"192","GB3557",0.0160806174957118,20,2,1
"193","GB2805",0.0124624785591767,19,2,1
"194","GB1585",0.00948756432246998,22,2,1
"195","GB1195",0.00948756432246998,29,2,1
"196","GB1635",0.014901372212693,27,2,1
"197","GB1524",0.019698756432247,23,2,1
"198","GB1266",0.0156518010291595,24,2,1
"199","GB2734",0.00921955403087478,21,2,1
"200","GB1374",0.0192699399656947,25,2,1
"201","GB1090",0.00750428816466552,24,2,1
"202","GB1866",0.00871033447684391,30,2,1
"203","GB929",0.0123284734133791,68,2,1
"204","GB230",0.013614922813036,22,2,1
"205","GB1620",0.0115780445969125,26,2,1
"206","GB1805",0.00278730703259005,46,2,1
"207","GB915",0.00970197255574614,28,2,1
"208","GB3131",0.017635077186964,28,2,1
"209","GB1960",0.023102487135506,35,2,1
"210","GB3483",0.0179298885077187,19,2,1
"211","GB3010",0.0147405660377358,19,2,1
"212","GB2482",0.0137221269296741,65,2,1
"213","GB604",0.0093803602058319,43,2,1
"214","GB2937",0.0191359348198971,36,2,1
"215","GB924",0.00514579759862779,35,2,1
"216","GB2592",0.0143653516295026,38,2,1
"217","GB84",0.0160806174957118,49,2,1
"218","GB3490",0.0128644939965695,36,2,1
"219","GB2680",0.0170990566037736,29,2,1
"220","GB1954",0.0135077186963979,57,2,1
"221","GB1631",0.010827615780446,31,2,1
"222","GB2674",0.0134005145797599,48,2,1
"223","GB2815",0.0143653516295026,49,2,1
"224","GB1229",0.0148477701543739,27,2,1
"225","GB406",0.0138829331046312,30,2,1
"226","GB330",0.0145261578044597,38,2,1
"227","GB3258",0.0141509433962264,36,2,1
"228","GB3282",0.00986277873070326,42,2,1
"229","GB507",0.0105328044596913,17,1,1
"230","GB1134",0,15,2,0
"231","GB758",0.0151157804459691,18,1,1
"232","GB813",0.00364493996569468,49,1,1
"233","GB1046",0.0179030874785592,40,1,1
"234","GB1066",0.00171526586620926,45,1,1
"235","GB543",0.0111492281303602,35,1,1
"236","GB2668",0.0137221269296741,45,2,1
"237","GB1114",0.0158126072041166,24,2,1
"238","GB2514",0.0106132075471698,48,2,1
"239","GB827",0.0113636363636364,40,2,1
"240","GB2907",0.0158126072041166,26,2,1
"241","GB748",0.0152229845626072,40,2,1
"242","GB3035",0.0130521012006861,23,2,1
"243","GB1389",0.00514579759862779,32,2,1
"244","GB1487",0.00728987993138937,46,2,1
