"","i","avg_r","age","sex","primary","secondary","born"
"1","IA3",0,47.1666666666667,1,0,0,0
"2","IA4",0.0106060606060606,67.9166666666667,2,2,3,0
"3","IA18",0.00984848484848485,33.25,2,2,2,NA
"4","IA20",0.00909090909090909,25.75,1,3,0,1
"5","IA29",0,38.3333333333333,1,0,0,0
"6","IA33",0.00909090909090909,57.75,2,3,0,0
"7","IA35",0.00303030303030303,23.9166666666667,2,1,0,1
"8","IA41",0,41.0833333333333,1,0,0,1
"9","IA46",0.00909090909090909,22.1666666666667,1,3,0,NA
"10","IA58",0.0136363636363636,60.1666666666667,2,3,2,1
"11","IA70",0.00303030303030303,88.75,1,1,0,0
"12","IA86",0.00303030303030303,70.4166666666667,1,1,0,0
"13","IA97",0.0147727272727273,34.4166666666667,1,3,3,0
"14","IA107",0.00606060606060606,19.1666666666667,2,2,0,1
"15","IA121",0.00303030303030303,31.25,2,1,0,NA
"16","IA126",0.01875,26.0833333333333,2,2,7,0
"17","IA129",0.00454545454545455,36.5,1,1,1,0
"18","IA136",0.00606060606060606,35.0833333333333,2,2,0,NA
"19","IA143",0.00303030303030303,65.6666666666667,2,1,0,NA
"20","IA147",0.00303030303030303,61.1666666666667,2,1,0,1
"21","IA148",0.00833333333333333,66.1666666666667,1,2,1,0
"22","IA161",0,69.1666666666667,2,0,0,0
"23","IA171",0.00303030303030303,70.3333333333333,2,1,0,1
"24","IA179",0.0147727272727273,49.9166666666667,1,3,3,NA
"25","IA181",0.00984848484848485,76.9166666666667,1,1,3,1
"26","IA193",0.00151515151515152,57.25,1,0,1,1
"27","IA201",0.00738636363636364,22.3333333333333,2,1,1,1
"28","IA214",0,47.8333333333333,1,0,0,1
"29","IA223",0.00454545454545455,58.3333333333333,1,1,1,0
"30","IA225",0.01875,22.9166666666667,2,2,7,0
"31","IA230",0.00738636363636364,18.6666666666667,2,1,1,1
"32","IA257",0.00303030303030303,46.8333333333333,1,1,0,1
"33","IA263",0.00738636363636364,27.3333333333333,2,1,1,1
"34","IA267",0.00303030303030303,67.75,2,1,0,NA
"35","IA275",0.00909090909090909,45.3333333333333,2,3,0,1
"36","IA292",0.00757575757575758,55.8333333333333,1,2,1,0
"37","IA296",0,30.1666666666667,1,0,0,1
"38","IA305",0.00795454545454545,32.3333333333333,1,1,1,1
"39","IA334",0,49.5833333333333,1,0,0,0
"40","IA342",0,56.5,2,0,0,0
"41","IA345",0,46.5,2,0,0,0
"42","IA357",0,26.0833333333333,1,0,0,NA
"43","IA362",0,36.5,2,0,0,1
"44","IA373",0.00568181818181818,33.0833333333333,2,1,1,1
"45","IA380",0.00606060606060606,51.6666666666667,2,2,0,NA
"46","IA386",0.00303030303030303,39.9166666666667,2,1,0,0
"47","IA389",0.00151515151515152,62.4166666666667,1,0,1,0
"48","IA405",0.00303030303030303,64.25,2,1,0,0
"49","IA406",0.00606060606060606,24.75,2,2,0,0
"50","IA415",0.00303030303030303,54.1666666666667,2,1,0,0
"51","IA419",0,61.5,1,0,0,0
"52","IA421",0.00303030303030303,42.0833333333333,2,1,0,1
"53","IA424",0.00303030303030303,69.9166666666667,1,1,0,0
"54","IA434",0,24.8333333333333,2,0,0,0
"55","IA443",0,28,2,0,0,1
"56","IA448",0.0102272727272727,19.8333333333333,2,2,1,1
"57","IA458",0.00303030303030303,28.75,1,1,0,NA
"58","IA472",0.00151515151515152,26.1666666666667,1,0,1,1
"59","IA480",0.00606060606060606,22.6666666666667,1,2,0,0
"60","IA489",0,31.75,2,0,0,0
"61","IA496",0,75.4166666666667,1,0,0,0
"62","IA499",0.0166666666666667,47.8333333333333,2,5,1,0
"63","IA510",0,36.75,2,0,0,0
"64","IA512",0,69.25,1,0,0,NA
"65","IA528",0.00151515151515152,67.8333333333333,1,0,1,1
"66","IA529",0,39.5833333333333,2,0,0,1
"67","IA530",0.00946969696969697,52.3333333333333,2,1,2,1
"68","IA536",0,63.5833333333333,2,0,0,0
"69","IA543",0.00227272727272727,65.4166666666667,1,0,1,0
"70","IA548",0.00151515151515152,32.5,2,0,1,1
"71","IA550",0.00303030303030303,18.6666666666667,2,1,0,1
