"","i","avg_r","age","sex","born"
"1","IA3",0.00491803278688525,47.1666666666667,1,0
"2","IA4",0.00881147540983607,67.9166666666667,2,0
"3","IA7",0.0127049180327869,15.1666666666667,1,1
"4","IA8",0.0110655737704918,3.58333333333333,2,1
"5","IA9",0.0110655737704918,14.1666666666667,1,1
"6","IA12",0.00655737704918033,8.25,1,1
"7","IA18",0.0122950819672131,33.25,2,NA
"8","IA20",0.00655737704918033,25.75,1,1
"9","IA29",0,38.3333333333333,1,0
"10","IA31",0.00286885245901639,7.58333333333333,2,1
"11","IA33",0.00901639344262295,57.75,2,0
"12","IA35",0.00737704918032787,23.9166666666667,2,1
"13","IA41",0.00163934426229508,41.0833333333333,1,1
"14","IA43",0.00409836065573771,9.66666666666667,2,1
"15","IA46",0.00655737704918033,22.1666666666667,1,NA
"16","IA49",0.00655737704918033,15.5833333333333,1,1
"17","IA58",0.00983606557377049,60.1666666666667,2,1
"18","IA67",0.00286885245901639,14.5,1,1
"19","IA70",0.00327868852459016,88.75,1,0
"20","IA75",0.00430327868852459,2,2,1
"21","IA77",0.0102459016393443,3.83333333333333,1,1
"22","IA84",0.0131147540983607,17,2,0
"23","IA85",0.00286885245901639,11.75,2,1
"24","IA86",0.00737704918032787,70.4166666666667,1,0
"25","IA91",0.00286885245901639,1.91666666666667,1,1
"26","IA93",0.00409836065573771,12.6666666666667,2,1
"27","IA94",0.00819672131147541,10.75,1,1
"28","IA97",0.0131147540983607,34.4166666666667,1,0
"29","IA98",0.0131147540983607,7.08333333333333,2,0
"30","IA99",0.00491803278688525,6.91666666666667,2,0
"31","IA100",0.0110655737704918,14.3333333333333,2,1
"32","IA106",0.00594262295081967,16.4166666666667,1,1
"33","IA107",0.0102459016393443,19.1666666666667,2,1
"34","IA111",0.00327868852459016,2.91666666666667,1,0
"35","IA121",0.00819672131147541,31.25,2,NA
"36","IA122",0.00717213114754098,NA,1,1
"37","IA123",0,NA,2,NA
"38","IA126",0.0153688524590164,26.0833333333333,2,0
"39","IA129",0.00450819672131148,36.5,1,0
"40","IA132",0.0117571721311475,10.3333333333333,2,1
"41","IA136",0.00655737704918033,35.0833333333333,2,NA
"42","IA143",0.00409836065573771,65.6666666666667,2,NA
"43","IA147",0.00204918032786885,61.1666666666667,2,1
"44","IA148",0.0172131147540984,66.1666666666667,1,0
"45","IA153",0.0131147540983607,8.33333333333333,1,0
"46","IA157",0.00286885245901639,11.75,1,1
"47","IA159",0.0117571721311475,7.25,1,1
"48","IA161",0,69.1666666666667,2,0
"49","IA163",0.00307377049180328,4.75,2,1
"50","IA170",0.00671106557377049,11.1666666666667,2,1
"51","IA171",0.00163934426229508,70.3333333333333,2,1
"52","IA179",0.0114754098360656,49.9166666666667,1,NA
"53","IA181",0.00963114754098361,76.9166666666667,1,1
"54","IA193",0.00163934426229508,57.25,1,1
"55","IA201",0.00809426229508197,22.3333333333333,2,1
"56","IA209",0.0127049180327869,11.25,2,1
"57","IA214",0,47.8333333333333,1,1
"58","IA223",0.00573770491803279,58.3333333333333,1,0
"59","IA225",0.0161885245901639,22.9166666666667,2,0
"60","IA230",0.00589139344262295,18.6666666666667,2,1
"61","IA247",0.0127049180327869,4.25,1,1
"62","IA255",0.00573770491803279,4.08333333333333,1,NA
"63","IA257",0.00163934426229508,46.8333333333333,1,1
"64","IA263",0.0117827868852459,27.3333333333333,2,1
"65","IA267",0.00163934426229508,67.75,2,NA
"66","IA269",0.0117571721311475,4.41666666666667,1,1
"67","IA275",0.00655737704918033,45.3333333333333,2,1
"68","IA292",0.00655737704918033,55.8333333333333,1,0
"69","IA296",0.00327868852459016,30.1666666666667,1,1
"70","IA303",0.00901639344262295,15.6666666666667,2,1
"71","IA305",0.00809426229508197,32.3333333333333,1,1
"72","IA310",0.0153688524590164,16,1,1
"73","IA323",0.0052766393442623,16.5,1,1
"74","IA325",0.00819672131147541,1.91666666666667,2,0
"75","IA334",0,49.5833333333333,1,0
"76","IA338",0.00901639344262295,13.75,2,1
"77","IA341",0.00491803278688525,4.41666666666667,1,0
"78","IA342",0.00163934426229508,56.5,2,0
"79","IA345",0,46.5,2,0
"80","IA346",0.00409836065573771,14.6666666666667,1,1
"81","IA356",0.00327868852459016,15.5,1,1
"82","IA357",0.00163934426229508,26.0833333333333,1,NA
"83","IA362",0.00491803278688525,36.5,2,1
"84","IA365",0.00671106557377049,15.5,2,1
"85","IA371",0.00409836065573771,8.08333333333333,2,1
"86","IA373",0.0147540983606557,33.0833333333333,2,1
"87","IA376",0.0131147540983607,11.5,1,0
"88","IA379",0.00409836065573771,14,2,1
"89","IA380",0.00491803278688525,51.6666666666667,2,NA
"90","IA382",0.00655737704918033,8.5,2,1
"91","IA386",0.00983606557377049,39.9166666666667,2,0
"92","IA387",0.0127049180327869,9.16666666666667,1,1
"93","IA389",0.00286885245901639,62.4166666666667,1,0
"94","IA405",0.00327868852459016,64.25,2,0
"95","IA406",0.0102459016393443,24.75,2,0
"96","IA411",0.00717213114754098,NA,1,0
"97","IA414",0.0117571721311475,14.5833333333333,2,1
"98","IA415",0.00163934426229508,54.1666666666667,2,0
"99","IA419",0,61.5,1,0
"100","IA421",0.00409836065573771,42.0833333333333,2,1
"101","IA424",0.00491803278688525,69.9166666666667,1,0
"102","IA434",0.00327868852459016,24.8333333333333,2,0
"103","IA439",0.00204918032786885,9.08333333333333,1,1
"104","IA443",0,28,2,1
"105","IA446",0.00655737704918033,17.75,1,1
"106","IA448",0.00645491803278689,19.8333333333333,2,1
"107","IA454",0.0131147540983607,1.66666666666667,2,0
"108","IA457",0.00922131147540984,3.58333333333333,1,1
"109","IA458",0.00163934426229508,28.75,1,NA
"110","IA459",0.00589139344262295,15.4166666666667,2,1
"111","IA461",0.00737704918032787,16.5833333333333,1,1
"112","IA468",0.0117571721311475,12.4166666666667,1,1
"113","IA472",0.00163934426229508,26.1666666666667,1,1
"114","IA475",0.00409836065573771,10.75,1,1
"115","IA480",0.00327868852459016,22.6666666666667,1,0
"116","IA484",0.0110655737704918,0.833333333333333,2,1
"117","IA488",0.00233094262295082,8.75,1,0
"118","IA489",0.0114754098360656,31.75,2,0
"119","IA495",0.00491803278688525,1.16666666666667,2,1
"120","IA496",0.000819672131147541,75.4166666666667,1,0
"121","IA499",0.0147540983606557,47.8333333333333,2,0
"122","IA503",0.00737704918032787,16.1666666666667,1,1
"123","IA510",0.00327868852459016,36.75,2,0
"124","IA512",0,69.25,1,NA
"125","IA517",0.000819672131147541,15.4166666666667,2,1
"126","IA526",0.00655737704918033,0.0833333333333333,1,1
"127","IA528",0.00286885245901639,67.8333333333333,1,1
"128","IA529",0.00655737704918033,39.5833333333333,2,1
"129","IA530",0.0102459016393443,52.3333333333333,2,1
"130","IA531",0.00737704918032787,18.6666666666667,1,1
"131","IA532",0.00655737704918033,13.9166666666667,1,1
"132","IA536",0.000819672131147541,63.5833333333333,2,0
"133","IA539",0.00819672131147541,16.0833333333333,1,1
"134","IA540",0.00425204918032787,16.6666666666667,1,1
"135","IA543",0.00163934426229508,65.4166666666667,1,0
"136","IA546",0.00450819672131148,0.25,1,1
"137","IA548",0.00409836065573771,32.5,2,1
"138","IA550",0.00409836065573771,18.6666666666667,2,1
"139","IA553",0.00737704918032787,27.8333333333333,2,1
"140","IA555",0.0127049180327869,10.0833333333333,2,1
"141","IA557",0.0131147540983607,5,1,0
"142","IA559",0.00952868852459016,4.91666666666667,1,1
"143","IA562",0.00491803278688525,53.75,2,1
"144","IA563",0.00409836065573771,16.1666666666667,2,1
"145","IA564",0.00491803278688525,8.25,2,1
"146","IA567",0.0102459016393443,8.08333333333333,1,1
"147","IA568",0.00163934426229508,68.25,2,0
"148","IA570",0.00327868852459016,34.6666666666667,2,0
"149","IA575",0.00327868852459016,89,1,1
"150","IA576",0.00737704918032787,15.0833333333333,2,1
"151","IA582",0.00753073770491803,9.58333333333333,2,1
"152","IA585",0.00122950819672131,61.3333333333333,2,0
"153","IA588",0,73.6666666666667,1,0
"154","IA590",0,54.6666666666667,1,0
"155","IA592",0.00327868852459016,50,1,1
"156","IA597",0.0110655737704918,16.5833333333333,1,1
"157","IA598",0.00655737704918033,46.6666666666667,2,0
"158","IA599",0.00901639344262295,77.3333333333333,2,0
"159","IA606",0.00573770491803279,10.0833333333333,1,1
"160","IA607",0.0103995901639344,31.75,1,NA
"161","IA611",0.0131147540983607,14.4166666666667,2,0
"162","IA613",0.0113729508196721,1.83333333333333,2,1
"163","IA615",0.0109631147540984,8.58333333333333,2,1
"164","IA616",0.0069672131147541,20.1666666666667,2,1
"165","IA620",0.00450819672131148,1.83333333333333,1,1
"166","IA622",0.0127049180327869,37.6666666666667,2,0
"167","IA630",0.00368852459016393,10.75,1,0
"168","IA632",0.00327868852459016,76.0833333333333,2,0
"169","IA633",0.00799180327868852,65.75,2,0
"170","IA637",0.00717213114754098,3.75,2,1
"171","IA638",0.00860655737704918,14.8333333333333,2,1
"172","IA641",0,3.91666666666667,1,1
"173","IA648",0.00983606557377049,32.4166666666667,2,0
"174","IA654",0.00245901639344262,15.4166666666667,2,0
"175","IA656",0.010655737704918,41.75,2,1
"176","IA658",0,49.75,1,0
"177","IA659",0.00742827868852459,6.75,1,0
"178","IA665",0.00245901639344262,7.33333333333333,2,1
"179","IA666",0.00732581967213115,0.833333333333333,1,1
"180","IA674",0.00860655737704918,13.4166666666667,2,1
"181","IA678",0.0109631147540984,12.0833333333333,2,1
"182","IA683",0.00245901639344262,43.9166666666667,2,0
"183","IA691",0.00778688524590164,25.25,2,1
"184","IA694",0.00327868852459016,64.9166666666667,2,1
"185","IA697",0,68.8333333333333,1,1
"186","IA701",0.00778688524590164,2.25,2,1
"187","IA706",0.00358606557377049,65.3333333333333,2,0
"188","IA709",0,65.1666666666667,1,0
