"","i","avg_r","age","sex","primary","secondary","born"
"1","IE8",0,26.0833333333333,1,0,0,0
"2","IE11",0.0172413793103448,26.25,2,1,0,1
"3","IE19",0.131465517241379,24.3333333333333,1,7,1,1
"4","IE20",0,49.8333333333333,2,0,0,0
"5","IE29",0.0172413793103448,29.8333333333333,2,1,0,0
"6","IE32",0,25.75,2,0,0,0
"7","IE33",0,21.8333333333333,2,0,0,1
"8","IE40",0,29.8333333333333,2,0,0,0
"9","IE45",0,28.8333333333333,1,0,0,1
"10","IE46",0,44.8333333333333,1,0,0,NA
"11","IE47",0.142241379310345,58.8333333333333,2,8,0,1
"12","IE52",0,24.5,1,0,0,0
"13","IE58",0.0862068965517241,56.9166666666667,1,1,8,0
"14","IE79",0,21.75,2,0,0,1
"15","IE80",0,24,2,0,0,0
"16","IE82",0.131465517241379,18.8333333333333,2,7,1,1
"17","IE84",0.131465517241379,23.8333333333333,1,7,1,1
"18","IE86",0.131465517241379,22.8333333333333,2,7,1,1
"19","IE100",0.131465517241379,34.6666666666667,1,7,1,1
"20","IE103",0,28.5,1,0,0,0
"21","IE107",0.00862068965517241,57.8333333333333,2,0,1,0
"22","IE111",0.0172413793103448,20.8333333333333,2,1,0,1
"23","IE112",0.0366379310344828,33.25,1,0,2,1
"24","IE136",0,33.4166666666667,1,0,0,1
"25","IE140",0,29.8333333333333,1,0,0,0
"26","IE147",0.131465517241379,26.8333333333333,2,7,1,1
"27","IE150",0.0172413793103448,31.5833333333333,2,1,0,NA
"28","IE153",0,34.0833333333333,2,0,0,1
"29","IE155",0.131465517241379,24.8333333333333,1,7,1,1
"30","IE162",0,22.5,1,0,0,1
