"","i","avg_r","age","sex","born"
"1","IE2",0.0829861111111111,5.83333333333333,2,0
"2","IE6",0.0388888888888889,0.833333333333333,2,1
"3","IE8",0.0111111111111111,26.0833333333333,1,0
"4","IE10",0.0899305555555556,12.1666666666667,2,1
"5","IE11",0.0333333333333333,26.25,2,1
"6","IE13",0.0222222222222222,3.41666666666667,2,1
"7","IE14",0.0222222222222222,0.166666666666667,1,0
"8","IE15",0.071875,4.58333333333333,1,1
"9","IE17",0.0829861111111111,0.583333333333333,1,1
"10","IE18",0.0277777777777778,NA,2,0
"11","IE19",0.115972222222222,24.3333333333333,1,1
"12","IE20",0.0222222222222222,49.8333333333333,2,0
"13","IE21",0.0333333333333333,3.83333333333333,1,1
"14","IE22",0.0277777777777778,NA,2,0
"15","IE27",0.0222222222222222,1.33333333333333,1,1
"16","IE29",0.0333333333333333,29.8333333333333,2,0
"17","IE30",0.071875,8.91666666666667,2,1
"18","IE32",0.0222222222222222,25.75,2,0
"19","IE33",0.0277777777777778,21.8333333333333,2,1
"20","IE40",0.0166666666666667,29.8333333333333,2,0
"21","IE42",0.0388888888888889,1.83333333333333,1,1
"22","IE44",0.0222222222222222,10.8333333333333,1,1
"23","IE45",0.0166666666666667,28.8333333333333,1,1
"24","IE46",0.0222222222222222,44.8333333333333,1,NA
"25","IE47",0.1125,58.8333333333333,2,1
"26","IE49",0.0222222222222222,5.75,2,1
"27","IE52",0.0166666666666667,24.5,1,0
"28","IE53",0.0222222222222222,7.33333333333333,2,1
"29","IE55",0.071875,4.33333333333333,2,1
"30","IE58",0.0625,56.9166666666667,1,0
"31","IE59",0.0305555555555556,7.25,1,0
"32","IE61",0,17.25,1,1
"33","IE63",0.071875,9.41666666666667,2,1
"34","IE64",0.071875,7.25,1,1
"35","IE65",0.0319444444444444,NA,2,1
"36","IE66",0.071875,1.5,2,1
"37","IE67",0.0333333333333333,8.83333333333333,1,1
"38","IE68",0.0277777777777778,6.66666666666667,1,1
"39","IE69",0.0111111111111111,17.9166666666667,2,1
"40","IE70",0.0333333333333333,10.4166666666667,1,1
"41","IE71",0,8.83333333333333,1,1
"42","IE74",0.11875,17.8333333333333,1,1
"43","IE75",0.0388888888888889,13.8333333333333,2,0
"44","IE76",0.00555555555555556,13.8333333333333,2,0
"45","IE78",0.0305555555555556,0.583333333333333,2,1
"46","IE79",0.0166666666666667,21.75,2,1
"47","IE80",0.0222222222222222,24,2,0
"48","IE81",0.0333333333333333,2.83333333333333,1,1
"49","IE82",0.107638888888889,18.8333333333333,2,1
"50","IE84",0.107638888888889,23.8333333333333,1,1
"51","IE86",0.107638888888889,22.8333333333333,2,1
"52","IE87",0.0829861111111111,6.83333333333333,2,1
"53","IE92",0.0277777777777778,0.833333333333333,2,1
"54","IE98",0.0166666666666667,2,1,1
"55","IE100",0.124305555555556,34.6666666666667,1,1
"56","IE103",0.0166666666666667,28.5,1,0
"57","IE105",0.0277777777777778,5.25,2,1
"58","IE106",0.0388888888888889,3.83333333333333,2,1
"59","IE107",0.00277777777777778,57.8333333333333,2,0
"60","IE110",0.071875,6.58333333333333,2,1
"61","IE111",0.0361111111111111,20.8333333333333,2,1
"62","IE112",0.0204861111111111,33.25,1,1
"63","IE115",0.0305555555555556,6,1,0
"64","IE118",0.0222222222222222,8.83333333333333,2,1
"65","IE121",0.0277777777777778,NA,2,0
"66","IE122",0.0277777777777778,7.91666666666667,2,1
"67","IE123",0.0166666666666667,NA,2,NA
"68","IE124",0.071875,6,2,1
"69","IE125",0.107638888888889,20.8333333333333,1,1
"70","IE130",0.0277777777777778,NA,2,0
"71","IE133",0.071875,2.41666666666667,1,1
"72","IE135",0.0899305555555556,5.66666666666667,2,1
"73","IE136",0.0333333333333333,33.4166666666667,1,1
"74","IE139",0.00555555555555556,2.83333333333333,2,0
"75","IE140",0.0277777777777778,29.8333333333333,1,0
"76","IE141",0.0166666666666667,3.91666666666667,2,1
"77","IE144",0.0899305555555556,9.5,1,1
"78","IE145",0.0899305555555556,10.8333333333333,2,1
"79","IE147",0.115972222222222,26.8333333333333,2,1
"80","IE148",0.0829861111111111,4.83333333333333,2,0
"81","IE149",0.0222222222222222,9.83333333333333,1,1
"82","IE150",0.0444444444444444,31.5833333333333,2,NA
"83","IE152",0.0899305555555556,8.16666666666667,1,1
"84","IE153",0.0333333333333333,34.0833333333333,2,1
"85","IE154",0.0222222222222222,5.83333333333333,2,0
"86","IE155",0.115972222222222,24.8333333333333,1,1
"87","IE159",0.0388888888888889,12.8333333333333,1,0
"88","IE162",0.0222222222222222,22.5,1,1
"89","IE163",0.0333333333333333,5.83333333333333,1,1
"90","IE167",0.0899305555555556,3.16666666666667,2,1
"91","IE168",0.0388888888888889,1.83333333333333,2,1
