"","i","avg_r","age","sex","primary","secondary","born"
"1","LA1884",0.00243710691823899,40,2,0,3,0
"2","LA1963",0.00432389937106918,37,1,2,2,1
"3","LA1364",0.00345911949685535,60,1,2,7,1
"4","LA1885",0.00534591194968553,41,2,4,3,1
"5","LA1716",0.00534591194968553,48,2,4,3,1
"6","LA1932",0.00314465408805031,41,1,5,0,1
"7","LA1964",0.0048938679245283,38,2,7,0,1
"8","LA1965",0.00377358490566038,38,1,3,3,1
"9","LA1070",0.00220125786163522,72,2,3,1,1
"10","LA1146",0.00408805031446541,68,1,4,5,1
"11","LA2031",0.00377358490566038,35,2,3,3,1
"12","LA1222",0.00566037735849057,66,1,5,8,1
"13","LA1257",0.00735062893081761,65,2,3,2,1
"14","LA2454",0.00713443396226415,24,1,3,4,1
"15","LA1498",0.00125786163522013,55,2,2,0,0
"16","LA2246",0.00314465408805031,30,2,2,3,1
"17","LA2480",0.00314465408805031,24,2,2,3,1
"18","LA1288",0.0050314465408805,64,1,7,2,1
"19","LA1318",0.0105738993710692,62,2,9,7,1
"20","LA2320",0.00843160377358491,28,1,6,6,1
"21","LA2455",0.00843160377358491,25,1,6,6,1
"22","LA2537",0.00843160377358491,22,2,6,6,1
"23","LA910",0.0050314465408805,80,1,4,7,1
"24","LA1417",0.00471698113207547,59,2,5,5,1
"25","LA1593",0.00670204402515723,53,1,6,6,1
"26","LA2499",0.00633844339622642,24,1,5,3,1
"27","LA2542",0.00633844339622642,22,2,5,3,1
"28","LA2642",0.00633844339622642,20,2,5,3,1
"29","LA3214",0.00345911949685535,82,2,2,3,1
"30","LA1443",0.00471698113207547,57,2,5,5,0
"31","LA2500",0.00330188679245283,23,1,3,2,1
"32","LA2581",0.00330188679245283,22,2,3,2,1
"33","LA3097",0,34,1,0,0,0
"34","LA3098",0.00330188679245283,25,2,3,2,1
"35","LA1107",0.00408805031446541,70,2,3,7,0
"36","LA1160",0.00330188679245283,67,1,1,4,1
"37","LA1071",0.00440251572327044,73,2,4,6,0
"38","LA1147",0.00566037735849057,69,1,5,8,1
"39","LA1906",0.00566037735849057,40,2,3,5,1
"40","LA1223",0.00314465408805031,66,2,5,0,0
"41","LA2369",0.00314465408805031,26,2,5,0,0
"42","LA2538",0.00314465408805031,23,1,5,0,0
"43","LA937",0.00518867924528302,78,1,3,10,1
"44","LA978",0.00408805031446541,77,2,3,4,1
"45","LA1594",0.00373427672955975,52,2,2,2,1
"46","LA1697",0.00589622641509434,49,1,4,4,1
"47","LA2205",0,32,2,0,0,0
"48","LA2408",0.00544418238993711,26,1,3,2,1
"49","LA979",0.00566037735849057,76,1,5,7,1
"50","LA1754",0.00471698113207547,46,1,4,2,1
"51","LA1803",0.000628930817610063,43,2,1,0,0
"52","LA2644",0.00330188679245283,19,2,2,3,1
"53","LA1039",0.00581761006289308,74,1,6,5,1
"54","LA1933",0.00534591194968553,38,1,4,3,1
"55","LA1998",0.00636792452830189,36,2,2,6,1
"56","LA607",0.000314465408805031,84,1,0,1,1
"57","LA2143",0.00534591194968553,32,2,4,3,1
"58","LA2068",0.00571933962264151,34,2,3,0,1
"59","LA2127",0.00843160377358491,33,1,6,6,1
"60","LA2460",0.0061124213836478,25,1,4,3,1
"61","LA3099",0.0057439072327044,27,2,1,3,1
"62","LA2295",0.00217177672955975,28,2,2,0,0
"63","LA2349",0.00713443396226415,27,1,3,4,1
"64","LA2502",0.00445165094339623,24,1,2,3,1
"65","LA2676",0.00544418238993711,19,2,3,2,1
"66","LA1389",0.0047562893081761,59,1,3,2,1
"67","LA1540",0.00691823899371069,54,2,5,11,1
"68","LA1967",0.0029874213836478,38,2,2,3,1
"69","LA2098",0.00640723270440252,34,1,2,4,1
"70","LA1444",0.00292845911949686,57,2,0,4,1
"71","LA698",0,91,2,0,0,1
"72","LA1390",0.00389150943396226,60,2,3,1,1
"73","LA1445",0.0047562893081761,57,1,3,2,1
