"","i","avg_r","age","sex","born"
"1","LA1884",0.00439814814814815,40,2,0
"2","LA1963",0.00546553497942387,37,1,1
"3","LA2817",0.00534336419753086,15,1,1
"4","LA2902",0.00534336419753086,12,1,1
"5","LA3092",0.00534336419753086,3,2,1
"6","LA1364",0.00339506172839506,60,1,1
"7","LA1885",0.00796039094650206,41,2,1
"8","LA2991",0.00608924897119342,9,2,1
"9","LA1716",0.00857767489711934,48,2,1
"10","LA1932",0.00493827160493827,41,1,1
"11","LA2785",0.00716949588477366,15,2,1
"12","LA2871",0.00716949588477366,13,1,1
"13","LA3031",0.00716949588477366,8,2,1
"14","LA3093",0.00716949588477366,5,1,1
"15","LA1964",0.00702160493827161,38,2,1
"16","LA1965",0.00421810699588477,38,1,1
"17","LA2872",0.00603137860082305,13,1,1
"18","LA3069",0.00603137860082305,7,1,1
"19","LA3091",0.00603137860082305,1,2,1
"20","LA1070",0.00246913580246914,72,2,1
"21","LA1146",0.00390946502057613,68,1,1
"22","LA2031",0.00360082304526749,35,2,1
"23","LA1222",0.00565843621399177,66,1,1
"24","LA1257",0.00615997942386831,65,2,1
"25","LA2454",0.0063207304526749,24,1,1
"26","LA1498",0.00102880658436214,55,2,0
"27","LA2246",0.00277777777777778,30,2,1
"28","LA2480",0.00298353909465021,24,2,1
"29","LA3094",0.00169753086419753,0,2,0
"30","LA1288",0.00462962962962963,64,1,1
"31","LA1318",0.0102237654320988,62,2,1
"32","LA2320",0.00783822016460905,28,1,1
"33","LA2455",0.00783822016460905,25,1,1
"34","LA2537",0.00783822016460905,22,2,1
"35","LA910",0.00375514403292181,80,1,1
"36","LA1417",0.00390946502057613,59,2,1
"37","LA1593",0.00554269547325103,53,1,1
"38","LA2499",0.00513760288065844,24,1,1
"39","LA2542",0.00513760288065844,22,2,1
"40","LA2642",0.00513760288065844,20,2,1
"41","LA3214",0.00262345679012346,82,2,1
"42","LA1443",0.00421810699588477,57,2,0
"43","LA2500",0.00272633744855967,23,1,1
"44","LA2581",0.00272633744855967,22,2,1
"45","LA3097",0,34,1,0
"46","LA3098",0.00272633744855967,25,2,1
"47","LA1107",0.00411522633744856,70,2,0
"48","LA1160",0.0047582304526749,67,1,1
"49","LA1071",0.00473251028806584,73,2,0
"50","LA1147",0.00617283950617284,69,1,1
"51","LA1906",0.00648148148148148,40,2,1
"52","LA2787",0.00303497942386831,15,1,1
"53","LA2818",0.00668081275720165,15,2,1
"54","LA2873",0.00344650205761317,13,2,1
"55","LA3090",0.00668081275720165,7,2,1
"56","LA1223",0.00411522633744856,66,2,0
"57","LA2369",0.00411522633744856,26,2,0
"58","LA2538",0.00411522633744856,23,1,0
"59","LA937",0.00679012345679012,78,1,1
"60","LA978",0.00329218106995885,77,2,1
"61","LA1594",0.00421167695473251,52,2,1
"62","LA1697",0.00637860082304527,49,1,1
"63","LA3032",0.00570666152263374,8,1,1
"64","LA2205",0.000823045267489712,32,2,0
"65","LA2408",0.0061181841563786,26,1,1
"66","LA3083",0.00388213734567901,4,1,1
"67","LA3084",0.00388213734567901,2,2,1
"68","LA979",0.00776748971193416,76,1,1
"69","LA1754",0.00740740740740741,46,1,1
"70","LA1803",0.00246913580246914,43,2,0
"71","LA2644",0.00534979423868313,19,2,1
"72","LA2711",0.00534979423868313,18,1,1
"73","LA2819",0.00534979423868313,14,2,1
"74","LA2993",0.00534979423868313,9,2,1
"75","LA3088",0.00534979423868313,6,2,1
"76","LA3089",0.00534979423868313,4,2,1
"77","LA1039",0.00848765432098765,74,1,1
"78","LA1933",0.0089891975308642,38,1,1
"79","LA1998",0.00942644032921811,36,2,1
