"","i","avg_r","age","sex","primary","secondary","born"
"1","MA1",0.0479166666666667,75.4,1,12,28,1
"2","MA2",0.0623015873015873,67.5,2,7,39,1
"3","MA3",0.0582837301587302,46.3,2,8,18,1
"4","MA4",0.059077380952381,43.9,2,9,17,1
"5","MA5",0.0566964285714286,37.9,2,6,20,1
"6","MA6",0.0566964285714286,29.6,2,6,20,1
"7","MA7",0.0435515873015873,65.2,1,11,20,1
"8","MA8",0.0354166666666667,41.6,1,2,13,1
"9","MA10",0.0354166666666667,33.8,2,2,13,1
"10","MA11",0.00952380952380952,70.1,1,5,2,1
"11","MA12",0.0325396825396825,66.2,2,10,19,1
"12","MA14",0.0242063492063492,43.4,2,8,5,1
"13","MA16",0.0226190476190476,39.1,2,6,7,1
"14","MA17",0.0226190476190476,36,1,6,7,1
"15","MA18",0.0226190476190476,33.8,1,6,7,1
"16","MA20",0.0226190476190476,26.3,2,6,7,1
"17","MA21",0.0419642857142857,66.4,1,9,22,1
"18","MA23",0.0499503968253968,42.8,1,2,15,1
"19","MA32",0.0182539682539683,60.8,2,5,6,1
"20","MA33",0.0182539682539683,51.4,2,5,6,1
"21","MA34",0.0182539682539683,49.2,1,5,6,1
"22","MA35",0.0182539682539683,53.5,1,5,6,1
"23","MA36",0.023015873015873,53.5,2,5,19,1
"24","MA37",0.0428571428571429,73.2,1,7,16,1
"25","MA38",0.0321428571428571,69.8,2,10,18,1
"26","MA39",0.0390873015873016,51.1,2,6,8,1
"27","MA40",0.0390873015873016,45.5,2,6,8,1
"28","MA41",0.0390873015873016,45.4,2,6,8,1
"29","MA46",0.0390873015873016,30.5,2,6,8,1
"30","MA48",0.0111111111111111,81.8,2,3,8,1
"31","MA49",0.0224206349206349,41.8,1,3,10,1
"32","MA50",0.0248015873015873,57.1,1,6,7,1
"33","MA51",0.0498015873015873,55.4,2,10,15,1
"34","MA53",0.0388888888888889,33.2,2,4,10,1
"35","MA57",0.0412698412698413,42.6,2,8,4,1
"36","MA58",0.0396825396825397,40.2,2,6,6,1
"37","MA59",0.0396825396825397,38.4,2,6,6,1
"38","MA60",0.0396825396825397,36.5,1,6,6,1
"39","MA61",0.0396825396825397,34.7,1,6,6,1
"40","MA62",0.0396825396825397,32.6,2,6,6,1
"41","MA65",0.0626984126984127,75.4,1,10,31,1
"42","MA66",0.028968253968254,74.1,2,9,10,1
"43","MA67",0.0474206349206349,48.6,2,9,7,1
"44","MA68",0.0490079365079365,42.3,1,11,5,1
"45","MA69",0.0474206349206349,41.1,2,9,7,1
"46","MA70",0.0474206349206349,38.6,1,9,7,1
"47","MA71",0.0474206349206349,36.7,1,9,7,1
"48","MA72",0.0474206349206349,30.2,1,9,7,1
"49","MA73",0.0482142857142857,46.7,1,10,6,1
"50","MA74",0.0398809523809524,48.9,2,7,7,1
"51","MA75",0.0246031746031746,55.8,2,2,6,1
"52","MA76",0.0541666666666667,58,1,7,24,1
"53","MA78",0.0409722222222222,33.4,1,3,5,1
"54","MA79",0.0409722222222222,31.1,1,3,5,1
