"","i","avg_r","age","sex","born"
"1","MA1",0.0452060313075506,75.4,1,1
"2","MA2",0.061176335174954,67.5,2,1
"3","MA3",0.0550328038674033,46.3,2,1
"4","MA4",0.0561838167587477,43.9,2,1
"5","MA5",0.0550328038674033,37.9,2,1
"6","MA6",0.0541119935543278,29.6,2,1
"7","MA7",0.044515423572744,65.2,1,1
"8","MA8",0.0374366942909761,41.6,1,1
"9","MA10",0.0374366942909761,33.8,2,1
"10","MA11",0.0147329650092081,70.1,1,1
"11","MA12",0.0375230202578269,66.2,2,1
"12","MA14",0.030732044198895,43.4,2,1
"13","MA16",0.0293508287292818,39.1,2,1
"14","MA17",0.0293508287292818,36,1,1
"15","MA18",0.0284300184162063,33.8,1,1
"16","MA20",0.0275092081031308,26.3,2,1
"17","MA21",0.0414076887661142,66.4,1,1
"18","MA23",0.0514646639042357,42.8,1,1
"19","MA32",0.0164019337016575,60.8,2,1
"20","MA33",0.0164019337016575,51.4,2,1
"21","MA34",0.0168623388581952,49.2,1,1
"22","MA35",0.0168623388581952,53.5,1,1
"23","MA36",0.0227900552486188,53.5,2,1
"24","MA37",0.0432205340699816,73.2,1,1
"25","MA38",0.0348756906077348,69.8,2,1
"26","MA39",0.041350138121547,51.1,2,1
"27","MA40",0.0399689226519337,45.5,2,1
"28","MA41",0.0408897329650092,45.4,2,1
"29","MA46",0.0418105432780847,30.5,2,1
"30","MA48",0.013121546961326,81.8,2,1
"31","MA49",0.0267322744014733,41.8,1,1
"32","MA50",0.0265020718232044,57.1,1,1
"33","MA51",0.0483425414364641,55.4,2,1
"34","MA53",0.0388035220994475,33.2,2,1
"35","MA57",0.0428464548802947,42.6,2,1
"36","MA58",0.0407746316758748,40.2,2,1
"37","MA59",0.040314226519337,38.4,2,1
"38","MA60",0.0416954419889503,36.5,1,1
"39","MA61",0.0407746316758748,34.7,1,1
"40","MA62",0.042155847145488,32.6,2,1
"41","MA65",0.0649746777163904,75.4,1,1
"42","MA66",0.0313075506445672,74.1,2,1
"43","MA67",0.0499827348066298,48.6,2,1
"44","MA68",0.0513639502762431,42.3,1,1
"45","MA69",0.0506733425414365,41.1,2,1
"46","MA70",0.0506733425414365,38.6,1,1
"47","MA71",0.0499827348066298,36.7,1,1
"48","MA72",0.0504431399631676,30.2,1,1
"49","MA73",0.049752532228361,46.7,1,1
"50","MA74",0.0406595303867403,48.9,2,1
"51","MA75",0.0238547421731123,55.8,2,1
"52","MA76",0.0551910681399632,58,1,1
"53","MA78",0.0413645257826888,33.4,1,1
"54","MA79",0.0418249309392265,31.1,1,1
"55","MA80",0.0193945672191529,57.5,1,1
"56","MA81",0.0331491712707182,53.5,2,1
"57","MA82",0.0285738950276243,33,1,1
"58","MA83",0.0271926795580111,29.8,2,1
"59","MA84",0.0281134898710866,25.9,1,1
"60","MA85",0.0332642725598527,53.4,1,1
"61","MA86",0.0566873848987109,53.3,2,1
