"","i","avg_r","age","sex","primary","secondary","born"
"1","MK958",0.133928571428571,38,1,5,5,1
"2","MK302",0.0357142857142857,44,2,2,0,0
"3","MK642",0.0267857142857143,21,2,1,1,0
"4","MK173",0,31,1,0,0,0
"5","MK444",0.0267857142857143,24,2,1,1,0
"6","MK363",0,39,1,0,0,0
"7","MK400",0.0178571428571429,51,1,1,0,0
"8","MK211",0.142857142857143,41,2,6,4,1
"9","MK590",0.0982142857142857,24,2,2,5,1
"10","MK512",0.0535714285714286,78,1,2,2,0
"11","MK994",0.107142857142857,27,2,1,8,1
"12","MK88",0,26,1,0,0,0
"13","MK603",0.00892857142857143,37,1,0,1,0
"14","MK101",0,22,2,0,0,0
"15","MK996",0.151785714285714,44,2,7,3,1
"16","MK532",0.0848214285714286,24,1,1,6,1
"17","MK822",0.0848214285714286,21,2,1,6,1
"18","MK415",0.133928571428571,36,1,5,5,1
"19","MK917",0,36,2,0,0,0
"20","MK925",0.03125,23,1,0,3,0
"21","MK312",0.142857142857143,41,2,6,4,1
"22","MK246",0.111607142857143,21,2,1,9,1
"23","MK702",0,35,1,0,0,0
"24","MK190",0.0446428571428571,53,1,1,3,0
"25","MK803",0.133928571428571,34,2,5,5,1
"26","MK777",0,30,1,0,0,0
"27","MK295",0,60,1,0,0,0
"28","MK433",0.00892857142857143,68,2,0,1,0
"29","MK182",0,30,2,0,0,0
