"","i","avg_r","age","sex","born"
"1","MK958",0.186813186813187,38,1,1
"2","MK302",0.0631868131868132,44,2,0
"3","MK642",0.0425824175824176,21,2,0
"4","MK173",0.010989010989011,31,1,0
"5","MK531",0.0322802197802198,5,2,1
"6","MK754",0.0322802197802198,2,2,1
"7","MK364",0.130494505494506,19,1,1
"8","MK678",0.130494505494506,17,1,1
"9","MK553",0.130494505494506,14,1,1
"10","MK105",0.130494505494506,11,1,1
"11","MK530",0.130494505494506,9,1,1
"12","MK534",0.130494505494506,8,1,1
"13","MK444",0.0549450549450549,24,2,0
"14","MK363",0.032967032967033,39,1,0
"15","MK707",0.0192307692307692,15,2,0
"16","MK763",0.0494505494505494,10,1,1
"17","MK238",0.0494505494505494,8,1,1
"18","MK107",0.0494505494505494,6,1,1
"19","MK103",0.0494505494505494,4,2,1
"20","MK117",0.0494505494505494,1,2,1
"21","MK400",0.0521978021978022,51,1,0
"22","MK211",0.196428571428571,41,2,1
"23","MK590",0.129807692307692,24,2,1
"24","MK844",0.132554945054945,21,1,1
"25","MK187",0.129807692307692,19,1,1
"26","MK667",0.129807692307692,16,2,1
"27","MK627",0.129807692307692,14,2,1
"28","MK960",0.129807692307692,11,1,1
"29","MK426",0.129807692307692,8,1,1
"30","MK537",0.129807692307692,6,1,1
"31","MK458",0.129807692307692,2,2,1
"32","MK512",0.0769230769230769,78,1,0
"33","MK994",0.144917582417582,27,2,1
"34","MK88",0.021978021978022,26,1,0
"35","MK237",0.075935782967033,9,1,1
"36","MK215",0.0889423076923077,7,1,1
"37","MK335",0.0889423076923077,6,2,1
"38","MK704",0.0889423076923077,4,1,1
"39","MK299",0.0889423076923077,2,1,1
"40","MK603",0.0137362637362637,37,1,0
"41","MK101",0.010989010989011,22,2,0
"42","MK683",0.0178571428571429,4,1,0
"43","MK781",0.0178571428571429,2,2,0
"44","MK996",0.18956043956044,44,2,1
"45","MK532",0.0975274725274725,24,1,1
"46","MK822",0.108516483516484,21,2,1
"47","MK81",0.108516483516484,19,1,1
"48","MK711",0.108516483516484,17,2,1
"49","MK519",0.108516483516484,14,1,1
"50","MK681",0.108516483516484,12,2,1
"51","MK261",0.0975274725274725,9,1,1
"52","MK415",0.192307692307692,36,1,1
"53","MK917",0.0440848214285714,36,2,0
"54","MK226",0.123690762362637,15,2,1
"55","MK330",0.123690762362637,13,1,1
"56","MK178",0.123690762362637,10,2,1
"57","MK705",0.123690762362637,8,1,1
"58","MK104",0.123690762362637,6,2,1
"59","MK192",0.123690762362637,2,1,1
"60","MK944",0.123690762362637,0,2,1
"61","MK943",0.123690762362637,0,1,1
"62","MK925",0.0487637362637363,23,1,0
"63","MK312",0.197802197802198,41,2,1
"64","MK13",0.150412087912088,19,1,1
"65","MK410",0.150412087912088,17,1,1
"66","MK306",0.150412087912088,15,1,1
"67","MK539",0.150412087912088,12,2,1
"68","MK865",0.150412087912088,11,2,1
"69","MK461",0.150412087912088,7,1,1
"70","MK471",0.150412087912088,7,2,1
"71","MK203",0.150412087912088,4,1,1
"72","MK246",0.155906593406593,21,2,1
"73","MK702",0.010989010989011,35,1,0
"74","MK171",0.0889423076923077,3,2,1
"75","MK247",0.0889423076923077,0,3,1
"76","MK190",0.0892857142857143,53,1,0
"77","MK803",0.192307692307692,34,2,1
"78","MK764",0.146291208791209,18,2,1
"79","MK777",0,30,1,0
"80","MK150",0.146291208791209,15,1,1
"81","MK854",0.146291208791209,13,2,1
"82","MK520",0.146291208791209,11,2,1
"83","MK744",0.146291208791209,9,2,1
"84","MK523",0.146291208791209,7,2,1
"85","MK388",0.146291208791209,5,2,1
"86","MK916",0.146291208791209,3,2,1
"87","MK295",8.58516483516484e-05,60,1,0
"88","MK433",0.00549450549450549,68,2,0
"89","MK182",0.0164835164835165,30,2,0
"90","MK217",0.010989010989011,6,2,0
"91","MK453",0.010989010989011,4,2,0
"92","MK473",0.0800137362637363,1,2,1
