"","i","avg_r","age","sex","primary","secondary","born"
"1","MM1",0.0233433734939759,68,2,2,9,1
"2","MM2",0.0154367469879518,44,1,2,1,1
"3","MM3",0.00301204819277108,44,2,1,0,0
"4","MM4",0.0122364457831325,21,2,2,1,1
"5","MM6",0.0218373493975904,64,2,4,6,1
"6","MM7",0.0218373493975904,44,1,3,3,1
"7","MM8",0.0233433734939759,40,2,4,2,1
"8","MM9",0.0131777108433735,20,2,1,3,1
"9","MM12",0.0218373493975904,38,1,3,3,1
"10","MM15",0.0128012048192771,57,2,2,4,1
"11","MM16",0.0128012048192771,37,2,1,6,1
"12","MM17",0,42,1,0,0,0
"13","MM20",0.0286144578313253,71,2,6,4,1
"14","MM21",0.0225903614457831,44,1,5,1,1
"15","MM22",0.0225903614457831,42,1,5,1,1
"16","MM23",0.0225903614457831,41,1,5,1,1
"17","MM24",0.0225903614457831,32,1,5,1,1
"18","MM25",0.0225903614457831,30,2,5,1,1
"19","MM26",0.0180722891566265,61,2,5,2,1
"20","MM27",0.0150602409638554,66,1,4,2,0
"21","MM28",0.0210843373493976,44,2,6,2,1
"22","MM29",0.0120481927710843,22,1,1,5,1
"23","MM30",0.019578313253012,39,1,5,3,1
"24","MM31",0.019578313253012,37,2,5,3,1
"25","MM33",0.019578313253012,34,1,5,3,1
"26","MM34",0.0271084337349398,48,1,3,7,1
"27","MM35",0,44,2,0,0,0
"28","MM38",0.00602409638554217,47,2,2,0,0
"29","MM39",0.0161897590361446,49,1,2,0,1
"30","MM40",0.0141189759036145,29,2,3,0,1
"31","MM42",0.0141189759036145,26,2,3,0,1
"32","MM43",0.00301204819277108,70,2,1,0,0
"33","MM44",0.00301204819277108,76,1,1,0,1
"34","MM45",0.00602409638554217,40,1,2,0,1
"35","MM46",0,33,2,0,0,0
"36","MM49",0.0218373493975904,86,1,3,8,1
"37","MM50",0.00301204819277108,45,2,1,0,0
"38","MM51",0.0173192771084337,19,2,1,4,1
"39","MM53",0,47,1,0,0,1
"40","MM55",0.00451807228915663,48,2,0,0,1
"41","MM56",0.00301204819277108,56,1,1,0,0
"42","MM57",0.00376506024096386,30,2,1,0,1
"43","MM59",0.0259789156626506,61,2,5,3,1
"44","MM60",0.0144954819277108,36,1,1,4,1
"45","MM62",0.0274849397590361,58,2,6,2,1
"46","MM63",0.0152484939759036,32,2,1,5,1
"47","MM65",0.0152484939759036,35,2,1,5,1
"48","MM67",0.0244728915662651,52,1,4,4,1
"49","MM68",0.0259789156626506,52,2,5,3,1
"50","MM69",0.0144954819277108,31,1,1,4,1
"51","MM70",0.0244728915662651,48,1,4,4,1
"52","MM71",0.019578313253012,49,1,4,5,1
"53","MM72",0.0225903614457831,58,2,6,3,1
"54","MM73",0.0143072289156626,35,1,2,4,1
"55","MM74",0,36,2,0,0,0
"56","MM76",0.0143072289156626,31,1,2,4,1
"57","MM77",0.0210843373493976,55,2,5,4,1
"58","MM78",0.0120481927710843,33,2,1,4,1
"59","MM79",0.019578313253012,46,1,4,5,1
"60","MM80",0.019578313253012,41,2,4,5,1
"61","MM81",0.0225903614457831,58,2,5,5,1
"62","MM82",0.0252259036144578,36,2,3,2,1
"63","MM83",0,37,1,0,0,0
"64","MM86",0.0252259036144578,34,1,3,2,1
"65","MM87",0.0252259036144578,29,2,3,2,1
"66","MM88",0.0301204819277108,53,1,5,5,1
"67","MM89",0.021460843373494,50,2,5,1,1
"68","MM90",0,30,2,0,0,0
"69","MM91",0.0288027108433735,31,1,3,6,1
"70","MM94",0.0288027108433735,27,1,3,6,1
"71","MM95",0.0210843373493976,52,1,4,6,1
"72","MM96",0.0286144578313253,32,1,3,5,1
"73","MM97",0.0286144578313253,28,2,3,5,1
"74","MM98",0.0301204819277108,55,2,5,5,1
"75","MM99",0.00602409638554217,69,2,2,0,0
"76","MM100",0.0143072289156626,43,1,2,2,1
"77","MM101",0.0143072289156626,41,2,2,2,1
"78","MM103",0.000753012048192771,81,1,0,0,1
"79","MM104",0.000753012048192771,32,1,0,0,1
"80","MM105",0,34,2,0,0,0
"81","MM108",0.0143072289156626,61,2,3,0,1
"82","MM109",0.011671686746988,43,1,3,0,1
"83","MM110",0.011671686746988,41,1,3,0,1
"84","MM111",0.011671686746988,39,2,3,0,1
"85","MM114",0.0120481927710843,81,2,4,0,1
"86","MM115",0.00753012048192771,49,2,1,3,1
"87","MM119",0.00753012048192771,46,1,1,3,1
"88","MM120",0.00753012048192771,41,1,1,3,1
"89","MM121",0.00753012048192771,38,2,1,3,1
"90","MM124",0.0267319277108434,80,2,6,2,1
"91","MM125",0.0288027108433735,51,2,8,0,1
"92","MM126",0.0272025602409639,31,2,2,11,1
"93","MM127",0.0272025602409639,28,2,2,11,1
"94","MM128",0.0257906626506024,55,1,6,2,1
"95","MM129",0.0257906626506024,48,1,6,2,1
"96","MM130",0.0257906626506024,32,1,6,2,1
"97","MM131",0.0257906626506024,30,1,6,2,1
"98","MM132",0.0257906626506024,44,2,6,2,1
"99","MM133",0.0261671686746988,49,1,4,4,1
"100","MM134",0.0261671686746988,46,1,4,4,1
"101","MM135",0.0261671686746988,40,1,4,4,1
"102","MM136",0.0291792168674699,56,2,6,2,1
"103","MM137",0.0206137048192771,31,1,3,4,1
"104","MM138",0.0206137048192771,25,2,3,4,1
"105","MM139",0.00602409638554217,66,1,2,0,1
"106","MM140",0.0154367469879518,59,2,1,1,1
"107","MM141",0.00922439759036145,38,1,1,0,1
"108","MM142",0,35,2,0,0,0
"109","MM145",0.0291792168674699,62,1,6,2,1
"110","MM146",0.00602409638554217,51,2,2,0,1
"111","MM147",0.0206137048192771,37,2,3,4,1
"112","MM148",0,36,1,0,0,0
"113","MM150",0.0206137048192771,30,1,3,4,1
"114","MM152",0,29,2,0,0,0
"115","MM153",0,52,1,0,0,0
"116","MM155",0.00696536144578313,44,1,0,0,1
"117","MM156",0.0188253012048193,49,1,3,1,1
"118","MM157",0.0188253012048193,48,1,3,1,1
"119","MM158",0.0188253012048193,45,2,3,1,1
"120","MM159",0.0203313253012048,37,1,4,0,1
"121","MM161",0.011671686746988,34,2,1,3,1
"122","MM162",0.0233433734939759,72,2,3,8,1
"123","MM164",0.00997740963855422,23,1,0,4,1
"124","MM165",0.0184487951807229,40,2,3,3,1
"125","MM166",0,48,1,0,0,1
"126","MM168",0.0184487951807229,35,1,3,3,1
"127","MM169",0.00602409638554217,56,2,2,0,1
"128","MM170",0.0150602409638554,59,1,3,4,1
"129","MM171",0.0135542168674699,30,1,3,1,1
"130","MM172",0.0135542168674699,26,1,3,1,1
"131","MM173",0.00301204819277108,65,2,1,0,1
"132","MM174",0.00301204819277108,37,2,1,0,1
"133","MM177",0.019578313253012,52,2,3,1,1
"134","MM178",0.0128012048192771,31,1,2,1,1
"135","MM179",0.0128012048192771,29,2,2,1,1
"136","MM183",0.0124246987951807,38,1,3,0,1
"137","MM184",0.0124246987951807,52,1,3,0,1
"138","MM185",0.0124246987951807,48,1,3,0,1
"139","MM187",0.0124246987951807,36,2,3,0,0
"140","MM188",0,35,2,0,0,0
"141","MM189",0.0225903614457831,63,1,5,5,1
