"","i","avg_r","age","sex","born"
"1","MM1",0.0213133640552995,68,2,1
"2","MM2",0.0152649769585253,44,1,1
"3","MM3",0.00460829493087558,44,2,0
"4","MM4",0.0122407834101382,21,2,1
"5","MM5",0.0122407834101382,19,1,1
"6","MM6",0.0224654377880184,64,2,1
"7","MM7",0.0224654377880184,44,1,1
"8","MM8",0.0259216589861751,40,2,1
"9","MM9",0.018721198156682,20,2,1
"10","MM10",0.0116647465437788,3,1,1
"11","MM11",0.0116647465437788,2,1,1
"12","MM12",0.0236175115207373,38,1,1
"13","MM13",0.0164170506912442,16,2,1
"14","MM14",0.0129608294930876,14,1,1
"15","MM15",0.0126728110599078,57,2,1
"16","MM16",0.0149769585253456,37,2,1
"17","MM17",0.00460829493087558,42,1,0
"18","MM18",0.0120967741935484,7,2,1
"19","MM19",0.0120967741935484,2,1,1
"20","MM20",0.0247695852534562,71,2,1
"21","MM21",0.018721198156682,44,1,1
"22","MM22",0.018721198156682,42,1,1
"23","MM23",0.018721198156682,41,1,1
"24","MM24",0.018721198156682,32,1,1
"25","MM25",0.018721198156682,30,2,1
"26","MM26",0.0161290322580645,61,2,1
"27","MM27",0.0138248847926267,66,1,0
"28","MM28",0.0184331797235023,44,2,1
"29","MM29",0.01036866359447,22,1,1
"30","MM30",0.0172811059907834,39,1,1
"31","MM31",0.0184331797235023,37,2,1
"32","MM32",0.01036866359447,13,2,1
"33","MM33",0.0172811059907834,34,1,1
"34","MM34",0.0288018433179724,48,1,1
"35","MM35",0.00230414746543779,44,2,0
"36","MM36",0.0155529953917051,21,1,0
"37","MM37",0.0178571428571429,8,2,0
"38","MM38",0.00576036866359447,47,2,0
"39","MM39",0.0151209677419355,49,1,1
"40","MM40",0.0138968894009217,29,2,1
"41","MM41",0.00810051843317972,9,1,1
"42","MM42",0.0127448156682028,26,2,1
"43","MM43",0.00460829493087558,70,2,0
"44","MM44",0.00460829493087558,76,1,1
"45","MM45",0.00921658986175115,40,1,1
"46","MM46",0.00460829493087558,33,2,0
"47","MM47",0.00921658986175115,12,2,1
"48","MM48",0.00921658986175115,9,2,1
"49","MM49",0.0230414746543779,86,1,1
"50","MM50",0.00460829493087558,45,2,0
"51","MM51",0.0178571428571429,19,2,1
"52","MM52",0.0178571428571429,16,1,1
"53","MM53",0,47,1,1
"54","MM55",0.00403225806451613,48,2,1
"55","MM56",0.00460829493087558,56,1,0
"56","MM57",0.00518433179723502,30,2,1
"57","MM58",0.00518433179723502,18,2,1
"58","MM59",0.0234735023041475,61,2,1
"59","MM60",0.014616935483871,36,1,1
"60","MM61",0.00846054147465438,5,1,1
"61","MM62",0.0252016129032258,58,2,1
"62","MM63",0.0154809907834101,32,2,1
"63","MM64",0.00889256912442396,10,2,0
"64","MM65",0.0154809907834101,35,2,1
"65","MM66",0.00889256912442396,6,2,1
"66","MM67",0.0217453917050691,52,1,1
"67","MM68",0.022897465437788,52,2,1
"68","MM69",0.0126008064516129,31,1,1
"69","MM70",0.0217453917050691,48,1,1
"70","MM71",0.0155529953917051,49,1,1
"71","MM72",0.0184331797235023,58,2,1
"72","MM73",0.0132488479262673,35,1,1
"73","MM74",0.00230414746543779,36,2,0
"74","MM75",0.0100806451612903,3,1,1
"75","MM76",0.0120967741935484,31,1,1
"76","MM77",0.016705069124424,55,2,1
"77","MM78",0.00950460829493088,33,2,1
"78","MM79",0.0155529953917051,46,1,1
"79","MM80",0.0155529953917051,41,2,1
"80","MM81",0.0201612903225806,58,2,1
"81","MM82",0.0253456221198157,36,2,1
"82","MM83",0.00460829493087558,37,1,0
"83","MM84",0.0172811059907834,13,1,1
"84","MM85",0.0172811059907834,4,1,1
"85","MM86",0.0230414746543779,34,1,1
"86","MM87",0.0230414746543779,29,2,1
"87","MM88",0.0299539170506912,53,1,1
"88","MM89",0.0210253456221198,50,2,1
"89","MM90",0.00460829493087558,30,2,0
"90","MM91",0.0300979262672811,31,1,1
"91","MM92",0.0196572580645161,8,2,1
"92","MM93",0.0196572580645161,3,1,1
"93","MM94",0.0277937788018433,27,1,1
"94","MM95",0.0178571428571429,52,1,1
"95","MM96",0.0256336405529954,32,1,1
"96","MM97",0.0256336405529954,28,2,1
"97","MM98",0.0288018433179724,55,2,1
"98","MM99",0.00691244239631336,69,2,0
"99","MM100",0.0158410138248848,43,1,1
"100","MM101",0.0158410138248848,41,2,1
"101","MM102",0.00907258064516129,20,1,1
"102","MM103",0.00115207373271889,81,1,1
"103","MM104",0.00518433179723502,32,1,1
"104","MM105",0.00460829493087558,34,2,0
"105","MM106",0.00720046082949309,10,2,1
"106","MM107",0.00720046082949309,6,2,1
"107","MM108",0.013536866359447,61,2,1
"108","MM109",0.0113767281105991,43,1,1
"109","MM110",0.0113767281105991,41,1,1
"110","MM111",0.0136808755760369,39,2,1
"111","MM112",0.00914458525345622,19,1,1
"112","MM113",0.00914458525345622,19,1,1
"113","MM114",0.0126728110599078,81,2,1
"114","MM115",0.00921658986175115,49,2,1
"115","MM116",0.00576036866359447,14,1,1
"116","MM119",0.00748847926267281,46,1,1
"117","MM120",0.00748847926267281,41,1,1
"118","MM121",0.0109447004608295,38,2,1
"119","MM122",0.00662442396313364,14,2,1
"120","MM123",0.00662442396313364,2,1,1
"121","MM124",0.0220334101382488,80,2,1
"122","MM125",0.0236895161290323,51,2,1
"123","MM126",0.0219254032258065,31,2,1
"124","MM127",0.0219254032258065,28,2,1
"125","MM128",0.0213853686635945,55,1,1
"126","MM129",0.0213853686635945,48,1,1
"127","MM130",0.0213853686635945,32,1,1
"128","MM131",0.0213853686635945,30,1,1
"129","MM132",0.0225374423963134,44,2,1
"130","MM133",0.0218173963133641,49,1,1
"131","MM134",0.0218173963133641,46,1,1
"132","MM135",0.0218173963133641,40,1,1
"133","MM136",0.0241215437788018,56,2,1
"134","MM137",0.0166690668202765,31,1,1
"135","MM138",0.0166690668202765,25,2,1
"136","MM139",0.00460829493087558,66,1,1
"137","MM140",0.014544930875576,59,2,1
"138","MM141",0.0118807603686636,38,1,1
"139","MM142",0.00460829493087558,35,2,0
"140","MM143",0.0105486751152074,11,1,1
"141","MM144",0.0105486751152074,8,1,1
"142","MM145",0.0252736175115207,62,1,1
"143","MM146",0.00691244239631336,51,2,1
"144","MM147",0.0195492511520737,37,2,1
"145","MM148",0.00230414746543779,36,1,0
"146","MM149",0.0132308467741935,6,1,1
"147","MM150",0.0195492511520737,30,1,1
"148","MM151",0.0132308467741935,0,2,1
"149","MM152",0.00230414746543779,29,2,0
"150","MM153",0.00230414746543779,52,1,0
"151","MM154",0.0147249423963134,15,1,1
"152","MM155",0.0058323732718894,44,1,1
"153","MM156",0.0161290322580645,49,1,1
"154","MM157",0.0161290322580645,48,1,1
"155","MM158",0.0161290322580645,45,2,1
"156","MM159",0.0184331797235023,37,1,1
"157","MM160",0.0115207373271889,NA,1,0
"158","MM161",0.0115207373271889,34,2,1
"159","MM162",0.0224654377880184,72,2,1
"160","MM164",0.00936059907834101,23,1,1
"161","MM165",0.018721198156682,40,2,1
"162","MM166",0.00230414746543779,48,1,1
"163","MM167",0.0128168202764977,19,1,1
"164","MM168",0.0175691244239631,35,1,1
"165","MM169",0.00460829493087558,56,2,1
"166","MM170",0.0120967741935484,59,1,1
"167","MM171",0.0106566820276498,30,1,1
"168","MM172",0.0106566820276498,26,1,1
"169","MM173",0.00460829493087558,65,2,1
"170","MM174",0.00691244239631336,37,2,1
"171","MM175",0.00460829493087558,17,2,1
"172","MM176",0.0136808755760369,4,1,1
"173","MM177",0.0195852534562212,52,2,1
"174","MM178",0.0132488479262673,31,1,1
"175","MM179",0.0155529953917051,29,2,1
"176","MM180",0.0100806451612903,7,1,1
"177","MM181",0.0100806451612903,3,2,1
"178","MM183",0.0120967741935484,38,1,1
"179","MM184",0.0109447004608295,52,1,1
"180","MM185",0.0109447004608295,48,1,1
"181","MM186",0.00950460829493088,1,2,1
"182","MM187",0.0109447004608295,36,2,0
"183","MM188",0.00230414746543779,35,2,0
"184","MM189",0.0195852534562212,63,1,1
"185","MM190",0.00806451612903226,58,2,1
"186","MM191",0.0172811059907834,39,2,1
"187","MM192",0.0097926267281106,17,1,1
"188","MM193",0.0161290322580645,36,1,1
"189","MM194",0.0161290322580645,33,1,1
"190","MM195",0.0149769585253456,74,2,1
"191","MM196",0.0192972350230415,51,1,1
"192","MM197",0.0192972350230415,40,1,1
"193","MM198",0.0204493087557604,37,2,1
"194","MM199",0.0113767281105991,7,1,1
"195","MM200",0.00230414746543779,46,2,0
"196","MM201",0.0109447004608295,16,2,1
"197","MM202",0.0110887096774194,52,2,1
"198","MM203",0.00878456221198157,49,1,1
"199","MM204",0.014544930875576,64,1,1
"200","MM205",0.0151209677419355,31,2,1
"201","MM206",0.0151209677419355,33,1,1
"202","MM207",0.0129608294930876,52,2,1
"203","MM208",0.00878456221198157,19,2,1
"204","MM209",0.00878456221198157,18,2,1
"205","MM210",0.0184331797235023,46,2,1
"206","MM211",0.00460829493087558,56,1,0
"207","MM212",0.0138248847926267,24,1,1
"208","MM213",0.0138248847926267,17,2,1
"209","MM215",0.0106566820276498,53,1,1
"210","MM216",0.00878456221198157,15,1,1
"211","MM217",0.00230414746543779,49,2,1
"212","MM218",0.0195852534562212,72,2,1
"213","MM219",0.0138248847926267,44,2,1
"214","MM220",0.00806451612903226,15,1,1
"215","MM221",0.0126728110599078,40,1,1
"216","MM228",0.0192972350230415,47,1,NA
"217","MM117",0,2,2,NA
"218","MM118",0,24,2,NA
