"","i","avg_r","age","sex","primary","secondary","born"
"1","MP4",0.0358527131782946,64,1,3,7,1
"2","MP5",0.0208333333333333,53,2,1,2,1
"3","MP6",0.0218023255813953,38,1,2,1,1
"4","MP7",0,29,2,0,0,0
"5","MP8",0.0218023255813953,36,1,2,1,1
"6","MP10",0.00387596899224806,24,2,0,1,0
"7","MP12",0.0571705426356589,68,2,7,13,1
"8","MP13",0.0552325581395349,45,1,5,8,1
"9","MP14",0.0358527131782946,40,2,5,2,1
"10","MP15",0.0494186046511628,22,1,3,6,1
"11","MP16",0.0494186046511628,23,2,3,6,1
"12","MP17",0.00968992248062015,70,2,1,3,0
"13","MP18",0.0310077519379845,49,1,4,2,1
"14","MP19",0.0339147286821705,48,2,4,4,0
"15","MP20",0.0363372093023256,28,2,4,2,1
"16","MP21",0.0363372093023256,26,2,4,2,1
"17","MP22",0.0363372093023256,24,2,4,2,1
"18","MP24",0.00775193798449612,56,1,2,0,1
"19","MP25",0.0513565891472868,54,2,6,10,1
"20","MP26",0.0334302325581395,33,1,3,4,1
"21","MP27",0.0334302325581395,31,1,3,4,1
"22","MP28",0.0305232558139535,76,2,2,8,1
"23","MP29",0.0360949612403101,43,1,2,4,1
"24","MP30",0,35,2,0,0,0
"25","MP32",0.0184108527131783,68,2,1,2,1
"26","MP33",0.0155038759689922,44,1,2,0,1
"27","MP34",0.00532945736434109,39,2,1,0,0
"28","MP35",0.0138081395348837,22,1,2,1,1
"29","MP37",0.0125968992248062,36,2,0,2,1
"30","MP38",0.00775193798449612,44,1,1,2,1
"31","MP39",0.0155038759689922,71,2,2,4,1
"32","MP40",0.0237403100775194,51,1,3,2,1
"33","MP41",0.0552325581395349,42,2,5,8,1
"34","MP42",0.0433624031007752,26,2,3,4,1
"35","MP43",0.0433624031007752,25,1,3,4,1
"36","MP44",0.00968992248062015,67,2,1,3,0
"37","MP45",0.0125968992248062,51,2,3,0,1
"38","MP46",0.0116279069767442,49,1,3,0,1
"39","MP47",0.0159883720930233,20,2,3,2,1
"40","MP52",0.0358527131782946,62,2,4,6,0
"41","MP53",0.0319767441860465,36,1,3,4,1
"42","MP54",0.0319767441860465,37,2,3,4,1
"43","MP55",0,42,1,0,0,0
"44","MP58",0.00193798449612403,64,2,0,1,0
"45","MP59",0.0356104651162791,59,1,5,6,1
"46","MP60",0.0207122093023256,33,1,1,4,1
"47","MP61",0,34,2,0,0,0
"48","MP63",0.000968992248062015,73,1,0,0,1
"49","MP64",0.0319767441860465,66,2,4,7,0
"50","MP65",0.0266472868217054,45,2,4,3,1
"51","MP66",0.0356104651162791,49,1,5,6,1
"52","MP67",0.0350048449612403,24,1,2,7,1
"53","MP68",0.0319767441860465,80,2,1,10,0
"54","MP69",0.0237403100775194,48,2,3,0,1
"55","MP70",0.00775193798449612,49,1,2,0,0
"56","MP71",0.0196220930232558,28,1,3,1,1
"57","MP72",0.0196220930232558,26,1,3,1,1
"58","MP73",0.0142926356589147,52,2,1,1,1
"59","MP74",0.0129602713178295,21,2,2,0,1
"60","MP76",0.00387596899224806,56,1,1,0,0
"61","MP77",0.00775193798449612,53,2,2,0,0
"62","MP78",0.0399709302325581,55,1,4,2,1
"63","MP79",0.0277374031007752,31,1,3,2,1
"64","MP80",0.0277374031007752,29,1,3,2,1
"65","MP82",0,44,2,0,0,0
"66","MP84",0.0513565891472868,46,1,3,10,1
"67","MP85",0.0402131782945736,43,1,5,4,1
"68","MP86",0.0285852713178295,42,2,5,2,1
"69","MP87",0.0382751937984496,23,1,3,6,1
"70","MP88",0.0382751937984496,22,2,3,6,1
"71","MP89",0.0116279069767442,65,2,2,2,0
"72","MP90",0.0532945736434109,71,1,6,12,1
"73","MP91",0.0363372093023256,39,1,3,6,1
"74","MP92",0,34,2,0,0,0
"75","MP95",0.0261627906976744,75,1,4,5,1
"76","MP96",0.0179263565891473,41,1,2,3,1
"77","MP97",0.00387596899224806,42,2,1,0,0
"78","MP98",0.0147771317829457,21,2,2,1,1
"79","MP100",0.0513565891472868,52,2,6,10,1
"80","MP101",0.0353682170542636,29,2,3,4,1
"81","MP102",0.0353682170542636,28,2,3,4,1
"82","MP103",0.0116279069767442,55,1,2,1,0
"83","MP104",0.0358527131782946,79,1,2,10,1
"84","MP105",0.0247093023255814,69,2,2,3,1
"85","MP106",0.0380329457364341,42,1,4,2,1
"86","MP107",0.0413032945736434,25,1,3,6,1
"87","MP108",0.0413032945736434,21,2,3,6,1
"88","MP109",0.0368217054263566,44,2,6,3,1
"89","MP110",0.0319767441860465,68,2,4,7,1
"90","MP111",0.0329457364341085,40,1,4,5,1
"91","MP112",0.0174418604651163,38,2,3,1,1
"92","MP115",0.0268895348837209,44,2,3,1,1
"93","MP116",0.0348837209302326,43,1,5,4,1
"94","MP117",0.00775193798449612,47,2,2,0,0
"95","MP118",0.0116279069767442,24,2,2,0,1
"96","MP119",0.0116279069767442,23,2,2,0,1
"97","MP121",0.0256782945736434,48,1,3,1,1
"98","MP123",0.0256782945736434,46,1,3,1,1
"99","MP124",0.0256782945736434,44,1,3,1,1
"100","MP125",0.0347625968992248,23,2,2,6,1
"101","MP127",0.0394864341085271,61,1,7,4,1
"102","MP128",0.0116279069767442,61,2,3,0,0
"103","MP129",0.0294331395348837,41,1,4,4,1
"104","MP130",0.0294331395348837,38,1,4,4,1
"105","MP131",0.0294331395348837,35,1,4,4,1
"106","MP132",0.0356104651162791,51,1,5,6,1
"107","MP133",0.0116279069767442,51,2,1,1,0
"108","MP134",0.0274951550387597,28,1,2,4,1
"109","MP136",0,20,2,0,0,0
"110","MP137",0.0159883720930233,27,2,3,2,1
"111","MP138",0,19,2,0,0,0
"112","MP139",0.0532945736434109,57,1,7,9,1
"113","MP140",0.0116279069767442,56,2,3,0,0
"114","MP141",0.0363372093023256,34,1,4,4,1
"115","MP142",0,30,2,0,0,0
"116","MP143",0.0363372093023256,31,2,4,4,1
"117","MP144",0,33,1,0,0,0
"118","MP146",0.0363372093023256,28,2,4,4,1
"119","MP147",0,36,1,0,0,0
"120","MP151",0.033672480620155,40,1,4,7,1
"121","MP152",0.00193798449612403,32,2,0,1,0
"122","MP155",0.0116279069767442,67,1,2,1,NA
"123","MP156",0.0155038759689922,60,2,3,1,NA
"124","MP157",0.0174418604651163,40,2,3,1,1
"125","MP158",0,45,1,0,0,0
"126","MP162",0.0247093023255814,44,2,3,4,1
"127","MP163",0.0249515503875969,47,1,2,2,1
"128","MP164",0.0198643410852713,64,1,0,3,NA
