"","i","avg_r","age","sex","born"
"1","MP4",0.0354938271604938,64,1,1
"2","MP5",0.0169753086419753,53,2,1
"3","MP6",0.0246913580246914,38,1,1
"4","MP7",0.00308641975308642,29,2,0
"5","MP8",0.0262345679012346,36,1,1
"6","MP9",0.0169753086419753,2,2,1
"7","MP10",0.00964506172839506,24,2,0
"8","MP11",0.0210262345679012,6,1,1
"9","MP12",0.0509259259259259,68,2,1
"10","MP13",0.0493827160493827,45,1,1
"11","MP14",0.0327932098765432,40,2,1
"12","MP15",0.0441743827160494,22,1,1
"13","MP16",0.0441743827160494,23,2,1
"14","MP17",0.00771604938271605,70,2,0
"15","MP18",0.0270061728395062,49,1,1
"16","MP19",0.0285493827160494,48,2,0
"17","MP20",0.0308641975308642,28,2,1
"18","MP21",0.0308641975308642,26,2,1
"19","MP22",0.0308641975308642,24,2,1
"20","MP23",0.0210262345679012,2,2,1
"21","MP24",0.00617283950617284,56,1,1
"22","MP25",0.0455246913580247,54,2,1
"23","MP26",0.0289351851851852,33,1,1
"24","MP27",0.0289351851851852,31,1,1
"25","MP28",0.0308641975308642,76,2,1
"26","MP29",0.0381944444444444,43,1,1
"27","MP30",0.00617283950617284,35,2,0
"28","MP31",0.0252700617283951,18,1,1
"29","MP32",0.0185185185185185,68,2,1
"30","MP33",0.0169753086419753,44,1,1
"31","MP34",0.00771604938271605,39,2,0
"32","MP35",0.0150462962962963,22,1,1
"33","MP36",0.0150462962962963,20,1,1
"34","MP37",0.0181327160493827,36,2,1
"35","MP38",0.0138888888888889,44,1,1
"36","MP39",0.0146604938271605,71,2,1
"37","MP40",0.0219907407407407,51,1,1
"38","MP41",0.0493827160493827,42,2,1
"39","MP42",0.0387731481481481,26,2,1
"40","MP43",0.0387731481481481,25,1,1
"41","MP44",0.0108024691358025,67,2,0
"42","MP45",0.0138888888888889,51,2,1
"43","MP46",0.0154320987654321,49,1,1
"44","MP47",0.0177469135802469,20,2,1
"45","MP48",0.0177469135802469,19,1,1
"46","MP49",0.0190972222222222,11,2,1
"47","MP50",0.0190972222222222,5,2,1
"48","MP51",0.0252700617283951,14,1,1
"49","MP52",0.0316358024691358,62,2,0
"50","MP53",0.0297067901234568,36,1,1
"51","MP54",0.0327932098765432,37,2,1
"52","MP55",0.00617283950617284,42,1,0
"53","MP56",0.0225694444444444,14,2,1
"54","MP57",0.0225694444444444,4,1,1
"55","MP58",0.00308641975308642,64,2,0
"56","MP59",0.037037037037037,59,1,1
"57","MP60",0.025462962962963,33,1,1
"58","MP61",0.00617283950617284,34,2,0
"59","MP62",0.0189043209876543,12,2,1
"60","MP63",0.00154320987654321,73,1,1
"61","MP64",0.0324074074074074,66,2,0
"62","MP65",0.0262345679012346,45,2,1
"63","MP66",0.0354938271604938,49,1,1
"64","MP67",0.0339506172839506,24,1,1
"65","MP68",0.0262345679012346,80,2,0
"66","MP69",0.0192901234567901,48,2,1
"67","MP70",0.00617283950617284,49,1,0
"68","MP71",0.0158179012345679,28,1,1
"69","MP72",0.0158179012345679,26,1,1
"70","MP73",0.0161072530864198,52,2,1
"71","MP74",0.0142264660493827,21,2,1
"72","MP75",0.0142264660493827,19,1,1
"73","MP76",0.00617283950617284,56,1,0
"74","MP77",0.00617283950617284,53,2,0
"75","MP78",0.0381944444444444,55,1,1
"76","MP79",0.0252700617283951,31,1,1
"77","MP80",0.0252700617283951,29,1,1
"78","MP81",0.0189043209876543,9,2,1
"79","MP82",0.00308641975308642,44,2,0
"80","MP83",0.0285493827160494,20,1,1
"81","MP84",0.0478395061728395,46,1,1
"82","MP85",0.0366512345679012,43,1,1
"83","MP86",0.0277777777777778,42,2,1
"84","MP87",0.0353009259259259,23,1,1
"85","MP88",0.0353009259259259,22,2,1
"86","MP89",0.0123456790123457,65,2,0
"87","MP90",0.0486111111111111,71,1,1
"88","MP91",0.0366512345679012,39,1,1
"89","MP92",0.00617283950617284,34,2,0
"90","MP93",0.0244984567901235,7,2,1
