"","i","avg_r","age","sex","primary","secondary","born"
"1","MS2",0.00495049504950495,65,1,1,0,1
"2","MS3",0.0099009900990099,30,1,2,0,1
"3","MS4",0.0198019801980198,87,1,3,2,0
"4","MS5",0.0148514851485149,29,1,1,3,0
"5","MS6",0.00123762376237624,70,1,0,0,0
"6","MS7",0.00556930693069307,46,1,1,0,0
"7","MS8",0.00556930693069307,29,1,1,0,0
"8","MS9",0,48,1,0,0,1
"9","MS10",0,45,1,0,0,1
"10","MS11",0,45,1,0,0,0
"11","MS12",0.0198019801980198,70,1,3,2,1
"12","MS13",0.00866336633663366,27,1,1,1,1
"13","MS14",0.00866336633663366,33,1,1,1,1
"14","MS15",0.0182549504950495,38,1,3,1,0
"15","MS16",0.0133044554455446,29,1,1,3,0
"16","MS17",0.0216584158415842,68,1,4,0,0
"17","MS18",0.0182549504950495,32,1,3,1,0
"18","MS19",0.0182549504950495,40,1,3,1,0
"19","MS20",0.0099009900990099,28,1,2,0,0
"20","MS21",0.00495049504950495,60,1,1,0,0
"21","MS22",0.0198019801980198,27,1,2,2,0
"22","MS23",0.0198019801980198,30,1,3,2,1
"23","MS24",0,62,1,0,0,0
"24","MS25",0,52,1,0,0,0
"25","MS26",0,43,1,0,0,0
"26","MS27",0,44,1,0,0,0
"27","MS28",0,56,1,0,0,1
"28","MS30",0.00247524752475248,39,1,0,1,0
"29","MS31",0.00495049504950495,30,1,1,0,0
"30","MS32",0,65,1,0,0,1
"31","MS33",0.00247524752475248,38,1,0,1,1
"32","MS34",0,52,1,0,0,0
"33","MS35",0,61,1,0,0,0
"34","MS36",0,52,1,0,0,1
"35","MS37",0.0123762376237624,52,1,2,1,0
"36","MS38",0.00495049504950495,38,1,0,1,0
"37","MS39",0,23,1,0,0,1
"38","MS40",0.0198019801980198,68,1,3,2,0
"39","MS41",0,36,1,0,0,0
"40","MS42",0,35,1,0,0,0
"41","MS43",0.00247524752475248,37,1,0,1,0
"42","MS44",0.00495049504950495,50,2,1,0,1
"43","MS46",0.0099009900990099,55,2,2,0,0
"44","MS48",0.0099009900990099,45,2,2,0,0
"45","MS49",0.0099009900990099,25,2,2,0,0
"46","MS50",0.0099009900990099,55,2,2,0,0
"47","MS51",0,33,2,0,0,1
"48","MS52",0,27,2,0,0,0
"49","MS53",0,33,2,0,0,0
"50","MS54",0,22,2,0,0,0
"51","MS55",0.0123762376237624,33,2,1,2,1
"52","MS56",0,38,2,0,0,0
"53","MS57",0,33,2,0,0,0
"54","MS58",0,40,2,0,0,0
"55","MS59",0,27,2,0,0,1
"56","MS60",0,30,2,0,0,0
"57","MS61",0,48,2,0,0,0
"58","MS63",0.00495049504950495,26,2,1,0,0
"59","MS64",0,35,2,0,0,0
"60","MS66",0,55,2,0,0,0
"61","MS67",0,56,2,0,0,0
"62","MS68",0,23,2,0,0,0
"63","MS69",0,29,2,0,0,0
"64","MS71",0.00495049504950495,43,2,1,0,0
"65","MS72",0.00495049504950495,25,2,1,0,1
"66","MS73",0.0160891089108911,25,2,2,2,1
"67","MS74",0.0198019801980198,50,2,3,2,0
"68","MS75",0,30,2,0,0,0
"69","MS76",0,28,2,0,0,0
"70","MS77",0,35,2,0,0,0
"71","MS78",0,23,2,0,0,0
"72","MS79",0,36,2,0,0,0
"73","MS80",0.0123762376237624,35,2,1,2,1
"74","MS82",0,20,2,0,0,0
"75","MS83",0,33,2,0,0,0
"76","MS85",0,42,2,0,0,0
"77","MS86",0,23,2,0,0,0
"78","MS87",0,34,2,0,0,0
"79","MS88",0,41,2,0,0,1
"80","MS89",0,22,2,0,0,1
"81","MS90",0,28,2,0,0,1
"82","MS91",0,32,2,0,0,0
"83","MS92",0.0099009900990099,38,2,2,0,0
"84","MS93",0,23,2,0,0,1
"85","MS94",0.0173267326732673,28,2,2,2,1
"86","MS96",0.00495049504950495,49,2,1,0,0
"87","MS97",0,28,2,0,0,0
"88","MS98",0,27,2,0,0,0
"89","MS99",0,26,2,0,0,0
"90","MS105",0.0198019801980198,25,2,3,1,0
"91","MS106",0.0198019801980198,30,1,3,1,0
"92","MS168",0.00680693069306931,45,2,1,0,1
"93","MS171",0.0117574257425743,58,1,2,0,1
"94","MS197",0.0173267326732673,30,1,2,1,0
"95","MS199",0.0247524752475248,22,1,2,4,1
"96","MS203",0.0228960396039604,50,2,2,3,0
"97","MS240",0.00495049504950495,42,2,1,0,0
"98","MS257",0.0160891089108911,24,1,3,0,0
"99","MS259",0.0160891089108911,27,1,3,0,0
"100","MS295",0,36,2,0,0,0
"101","MS296",0,35,2,0,0,1
"102","MS297",0,47,1,0,0,0
