"","i","avg_r","age","sex","born"
"1","MS2",0.00847457627118644,65,1,1
"2","MS3",0.011864406779661,30,1,1
"3","MS4",0.0177966101694915,87,1,0
"4","MS5",0.0156779661016949,29,1,0
"5","MS6",0.0199152542372881,70,1,0
"6","MS7",0.0149364406779661,46,1,0
"7","MS8",0.0115466101694915,29,1,0
"8","MS9",0.011864406779661,48,1,1
"9","MS10",0.011864406779661,45,1,1
"10","MS11",0.0152542372881356,45,1,0
"11","MS12",0.0432203389830508,70,1,1
"12","MS13",0.00889830508474576,27,1,1
"13","MS14",0.0076271186440678,33,1,1
"14","MS15",0.0230932203389831,38,1,0
"15","MS16",0.0150423728813559,29,1,0
"16","MS17",0.0258474576271186,68,1,0
"17","MS18",0.0222457627118644,32,1,0
"18","MS19",0.0222457627118644,40,1,0
"19","MS20",0.011864406779661,28,1,0
"20","MS21",0.00932203389830509,60,1,0
"21","MS22",0.0162076271186441,27,1,0
"22","MS23",0.0313559322033898,30,1,1
"23","MS24",0.00847457627118644,62,1,0
"24","MS25",0.00847457627118644,52,1,0
"25","MS26",0.0152542372881356,43,1,0
"26","MS27",0.00847457627118644,44,1,0
"27","MS28",0.00677966101694915,56,1,1
"28","MS29",0,21,1,1
"29","MS30",0.00974576271186441,39,1,0
"30","MS31",0.00338983050847458,30,1,0
"31","MS32",0.00677966101694915,65,1,1
"32","MS33",0.00593220338983051,38,1,1
"33","MS34",0,52,1,0
"34","MS35",0,61,1,0
"35","MS36",0.00508474576271186,52,1,1
"36","MS37",0.0233050847457627,52,1,0
"37","MS38",0.0144067796610169,38,1,0
"38","MS39",0.00169491525423729,23,1,1
"39","MS40",0.0211864406779661,68,1,0
"40","MS41",0.00847457627118644,36,1,0
"41","MS42",0.00847457627118644,35,1,0
"42","MS43",0.00847457627118644,37,1,0
"43","MS44",0.00847457627118644,50,2,1
"44","MS45",0.00338983050847458,18,2,0
"45","MS46",0.00847457627118644,55,2,0
"46","MS47",0.00169491525423729,18,2,0
"47","MS48",0.0161016949152542,45,2,0
"48","MS49",0.0161016949152542,25,2,0
"49","MS50",0.0152542372881356,55,2,0
"50","MS51",0.0101694915254237,33,2,1
