"","i","avg_r","age","sex","primary","secondary","born"
"1","MX2",0.0017578125,57.1396303901437,1,0,0,0
"2","MX116",0.0615234375,48.8028747433265,2,2,5,1
"3","MX189",0,23.6502395619439,1,0,0,0
"4","MX215",0.065625,76.0718685831622,1,2,13,1
"5","MX236",0.098828125,56.4989733059548,2,10,10,1
"6","MX285",0.0884765625,36.8795345653662,1,2,13,1
"7","MX315",0.04453125,30.9055441478439,2,3,5,1
"8","MX13",0.0609375,51.7022587268994,1,2,9,1
"9","MX25",0.098828125,49.4709103353867,2,10,10,1
"10","MX36",0.0861328125,25.8569472963723,1,2,10,1
"11","MX48",0,23.7296372347707,2,0,0,0
"12","MX70",0.040625,76.8767967145791,2,2,7,1
"13","MX93",0.0677734375,58.0431211498973,2,4,3,1
"14","MX104",0.04404296875,32.4168377823409,1,2,2,1
"15","MX117",0.04404296875,28.2224503764545,1,2,2,1
"16","MX128",0.0892578125,35.5325119780972,1,3,14,1
"17","MX138",0,27.3545516769336,2,0,0,1
"18","MX170",0.101953125,47.9349760438056,1,11,9,1
"19","MX178",0.0796875,48.0691307323751,2,7,6,1
"20","MX179",0.0970703125,23.5790554414784,2,3,15,1
"21","MX186",0.101953125,63.3107460643395,1,11,9,1
"22","MX190",0.0640625,71.9650924024641,2,7,6,1
"23","MX197",0.098828125,51.5242984257358,1,10,10,1
"24","MX207",0.008984375,55.8665297741273,2,1,0,0
"25","MX208",0.00421142578125,41.8569472963723,1,0,0,0
"26","MX209",0.0892578125,37.35318275154,2,3,14,1
"27","MX213",0.06015625,30.7248459958932,1,2,9,1
"28","MX214",0.03046875,26.7796030116359,2,0,2,1
"29","MX217",0.098828125,61.4325804243669,1,10,10,1
"30","MX218",0.0765625,55.8993839835729,2,6,7,1
"31","MX220",0.0939453125,26.6837782340862,1,2,16,1
"32","MX221",0,41.72553045859,1,0,0,0
"33","MX224",0.0962890625,39.6146475017112,2,4,12,1
"34","MX229",0.0734375,78.5085557837098,1,4,12,0
"35","MX233",0.106640625,77.952772073922,2,12,9,1
"36","MX237",0.0248046875,30.0047912388775,1,3,1,1
"37","MX238",0.005078125,43.0479123887748,2,0,1,0
"38","MX243",0.018359375,61.8898015058179,1,1,2,1
"39","MX244",0.0140625,75.4722792607803,1,1,1,0
"40","MX245",0.0625,71.0123203285421,2,6,8,1
"41","MX249",0.0734375,37.8240930869268,1,5,8,1
"42","MX250",0,35.0150581793292,2,0,0,0
"43","MX264",0.05625,78.7577002053388,2,6,5,1
"44","MX265",0.0646484375,55.2039698836413,1,3,4,1
"45","MX266",0.0765625,52.3812457221081,2,6,7,1
"46","MX267",0.07607421875,28.1074606433949,1,2,9,1
"47","MX268",0,20.8850102669405,2,0,0,0
"48","MX273",0.0125,55.9760438056126,2,2,0,0
"49","MX286",0.024609375,54.6399726214921,1,3,0,1
"50","MX297",0.0248046875,25.4024640657084,1,3,1,1
"51","MX311",0.0208984375,56.6878850102669,1,2,0,1
"52","MX312",0.0208984375,59.0506502395619,1,2,0,1
"53","MX313",0.0208984375,48.9397672826831,1,2,0,1
"54","MX314",0.0578125,64.2443531827515,2,5,8,1
"55","MX316",0.04765625,47.7132101300479,1,3,5,1
"56","MX317",0.0994140625,43.2012320328542,2,5,11,1
"57","MX318",0.07978515625,25.249144421629,1,2,6,1
"58","MX320",0.0207275390625,82.3661875427789,1,2,2,1
"59","MX321",0.011328125,63.0260095824778,2,1,0,0
"60","MX322",0.02232666015625,37.35318275154,1,2,1,1
"61","MX323",0.0238525390625,86.388090349076,1,3,1,1
"62","MX324",0.0640625,65.829568788501,2,7,6,1
"63","MX326",0.05025634765625,44.3812457221081,2,3,6,1
"64","MX328",0.05025634765625,42.5797399041752,2,3,6,1
"65","MX331",0.003515625,40.2251882272416,1,0,0,0
"66","MX332",0.0376953125,22.7522245037645,1,1,6,1
"67","MX333",0.0734375,40.1895961670089,1,5,8,1
"68","MX334",0.00380859375,37.8131416837782,2,0,0,0
"69","MX6",0.0640625,56.8822724161533,1,7,6,1
"70","MX7",0.0125,49.7693360711841,2,2,0,1
"71","MX8",0.04453125,22.9082819986311,1,3,5,1
"72","MX10",0.0609375,68.3949349760438,1,6,7,1
"73","MX12",0.095703125,59.611909650924,1,9,11,1
"74","MX14",0.095703125,45.2327173169062,2,9,11,1
"75","MX15",0.095703125,55.0396988364134,2,9,11,1
"76","MX269",0.00546875,43.6447638603696,1,0,0,1
"77","MX270",0.0962890625,28.1047227926078,2,4,12,1
"78","MX272",0,40.4551676933607,1,0,0,0
"79","MX274",0,42.5441478439425,2,0,0,0
"80","MX296",0.0970703125,21.2190280629706,2,3,15,1
"81","MX305",0,62.9082819986311,2,0,0,0
