"","i","avg_r","age","sex","born"
"1","MX2",0.00537109375,57.1396303901437,1,0
"2","MX116",0.0606863839285714,48.8028747433265,2,1
"3","MX189",0,23.6502395619439,1,0
"4","MX215",0.0736607142857143,76.0718685831622,1,1
"5","MX236",0.100027901785714,56.4989733059548,2,1
"6","MX262",0.09130859375,17.5448323066393,1,1
"7","MX285",0.0957728794642857,36.8795345653662,1,1
"8","MX315",0.0479910714285714,30.9055441478439,2,1
"9","MX325",0.0763462611607143,6.80971937029432,2,1
"10","MX3",0.0763462611607143,3.23956194387406,2,1
"11","MX13",0.068359375,51.7022587268994,1,1
"12","MX25",0.100027901785714,49.4709103353867,2,1
"13","MX36",0.0931222098214286,25.8569472963723,1,1
"14","MX48",0.00892857142857143,23.7296372347707,2,0
"15","MX59",0.0886579241071429,20.8001368925394,1,1
"16","MX70",0.0440848214285714,76.8767967145791,2,1
"17","MX81",0.0554896763392857,7.99247091033539,2,1
"18","MX93",0.0651506696428571,58.0431211498973,2,1
"19","MX104",0.04052734375,32.4168377823409,1,1
"20","MX117",0.04052734375,28.2224503764545,1,1
"21","MX128",0.0980050223214286,35.5325119780972,1,1
"22","MX138",0.0133928571428571,27.3545516769336,2,1
"23","MX150",0.0601632254464286,9.35318275154004,2,1
"24","MX159",0.0601632254464286,6.87542778918549,1,1
"25","MX170",0.100027901785714,47.9349760438056,1,1
"26","MX178",0.0845424107142857,48.0691307323751,2,1
"27","MX179",0.0967494419642857,23.5790554414784,2,1
"28","MX181",0.0967494419642857,15.3518138261465,1,1
"29","MX186",0.1044921875,63.3107460643395,1,1
"30","MX190",0.0691964285714286,71.9650924024641,2,1
"31","MX197",0.0977957589285714,51.5242984257358,1,1
"32","MX207",0.0114397321428571,55.8665297741273,2,0
"33","MX208",0.0175388881138393,41.8569472963723,1,0
"34","MX209",0.0980050223214286,37.35318275154,2,1
"35","MX210",0.0622362409319196,19.0150581793292,1,1
"36","MX211",0.0622362409319196,13.2792607802875,1,1
"37","MX212",0.0622362409319196,4.54551676933607,2,1
"38","MX213",0.0635463169642857,30.7248459958932,1,1
"39","MX214",0.0397600446428571,26.7796030116359,2,1
"40","MX216",0.0561174665178571,7.80903490759754,1,1
"41","MX217",0.0955636160714286,61.4325804243669,1,1
"42","MX218",0.080078125,55.8993839835729,2,1
"43","MX220",0.09228515625,26.6837782340862,1,1
"44","MX221",0.00892857142857143,41.72553045859,1,0
"45","MX224",0.101353236607143,39.6146475017112,2,1
"46","MX225",0.0596051897321429,15.321697467488,1,1
"47","MX226",0.0596051897321429,8.2498288843258,2,1
"48","MX229",0.0792410714285714,78.5085557837098,1,0
"49","MX233",0.105608258928571,77.952772073922,2,1
"50","MX237",0.0222516741071429,30.0047912388775,1,1
"51","MX238",0.00837053571428571,43.0479123887748,2,0
"52","MX243",0.0154854910714286,61.8898015058179,1,1
"53","MX244",0.0122767857142857,75.4722792607803,1,0
"54","MX245",0.0625,71.0123203285421,2,1
"55","MX249",0.0845424107142857,37.8240930869268,1,1
"56","MX250",0.0133928571428571,35.0150581793292,2,0
"57","MX255",0.0534319196428571,16.2826830937714,1,1
"58","MX260",0.0534319196428571,10.1937029431896,1,1
"59","MX263",0.0534319196428571,6.41820670773443,1,1
"60","MX264",0.0602678571428571,78.7577002053388,2,1
"61","MX265",0.0662667410714286,55.2039698836413,1,1
"62","MX266",0.0811941964285714,52.3812457221081,2,1
"63","MX267",0.0798688616071429,28.1074606433949,1,1
"64","MX268",0.00446428571428571,20.8850102669405,2,0
"65","MX273",0.0133928571428571,55.9760438056126,2,0
"66","MX286",0.0221819196428571,54.6399726214921,1,1
"67","MX297",0.0222516741071429,25.4024640657084,1,1
"68","MX310",0.0222516741071429,17.3230663928816,1,1
"69","MX311",0.0157645089285714,56.6878850102669,1,1
"70","MX312",0.0157645089285714,59.0506502395619,1,1
"71","MX313",0.0157645089285714,48.9397672826831,1,1
"72","MX314",0.0580357142857143,64.2443531827515,2,1
"73","MX316",0.0463169642857143,47.7132101300479,1,1
"74","MX317",0.101353236607143,43.2012320328542,2,1
"75","MX318",0.0782993861607143,25.249144421629,1,1
"76","MX319",0.0782993861607143,9.71731690622861,1,1
"77","MX320",0.0187029157366071,82.3661875427789,1,1
"78","MX321",0.00837053571428571,63.0260095824778,2,0
"79","MX322",0.018035888671875,37.35318275154,1,1
"80","MX323",0.0231672014508929,86.388090349076,1,1
"81","MX324",0.0647321428571429,65.829568788501,2,1
"82","MX326",0.0484488351004464,44.3812457221081,2,1
"83","MX327",0.0421316964285714,12.4524298425736,2,1
"84","MX328",0.0528782435825893,42.5797399041752,2,1
"85","MX329",0.0309034075055804,9.80766598220397,2,1
"86","MX330",0.0309034075055804,6.54962354551677,2,1
"87","MX331",0.00362723214285714,40.2251882272416,1,0
"88","MX332",0.0421316964285714,22.7522245037645,1,1
"89","MX333",0.0845424107142857,40.1895961670089,1,1
"90","MX334",0.0174691336495536,37.8131416837782,2,0
"91","MX335",0.0555049351283482,7.61190965092402,2,1
"92","MX4",0.0555049351283482,7.32717316906229,2,1
"93","MX5",0.0555049351283482,15.7843942505133,1,1
"94","MX6",0.0647321428571429,56.8822724161533,1,1
"95","MX7",0.0133928571428571,49.7693360711841,2,1
"96","MX8",0.0435267857142857,22.9082819986311,1,1
"97","MX10",0.0647321428571429,68.3949349760438,1,1
"98","MX11",0.0421316964285714,17.0876112251882,1,1
"99","MX12",0.0933314732142857,59.611909650924,1,1
"100","MX14",0.0933314732142857,45.2327173169062,2,1
"101","MX15",0.0933314732142857,55.0396988364134,2,1
"102","MX269",0.00851004464285714,43.6447638603696,1,1
"103","MX270",0.09912109375,28.1047227926078,2,1
"104","MX271",0.0582798549107143,3.5927446954141,2,1
"105","MX272",0,40.4551676933607,1,0
"106","MX274",0,42.5441478439425,2,0
"107","MX290",0.0554896763392857,0.885010266940452,2,1
"108","MX295",0.0601632254464286,0.904175222450376,2,1
"109","MX296",0.0967494419642857,21.2190280629706,2,1
"110","MX298",0.0561174665178571,1.80766598220397,2,1
"111","MX299",0.0391671316964286,17.0246406570842,2,0
"112","MX304",0.0467703683035714,0.770020533880904,1,1
"113","MX305",0,62.9082819986311,2,0
