"","i","avg_r","age","sex","primary","secondary","born"
"1","NI331",0.077241847826087,38,1,6,10,1
"2","NI731",0,35,2,0,0,0
"3","NI787",0.124048913043478,57,2,15,16,1
"4","NI990",0.077241847826087,27,2,6,10,1
"5","NI17",0.00217391304347826,29,1,0,0,0
"6","NI60",0.077241847826087,26,1,6,10,1
"7","NI360",0.077241847826087,23,1,6,10,1
"8","NI650",0.077241847826087,22,2,6,10,1
"9","NI546",0.00434782608695652,41,1,1,0,0
"10","NI275",0.0637567934782609,27,2,5,6,1
"11","NI702",0.0173913043478261,49,1,4,0,0
"12","NI163",0.101426630434783,44,2,10,12,1
"13","NI208",0.0637567934782609,24,2,5,6,1
"14","NI570",0.0637567934782609,22,2,5,6,1
"15","NI276",0.0637567934782609,20,2,5,6,1
"16","NI555",0,26,1,0,0,0
"17","NI40",0.00869565217391304,48,1,2,0,0
"18","NI875",0.119701086956522,48,2,13,18,1
"19","NI829",0.0620244565217391,29,1,1,12,1
"20","NI765",0.0685461956521739,24,2,3,11,1
"21","NI474",0.0685461956521739,22,2,3,11,1
"22","NI891",0.0620244565217391,27,2,1,12,1
"23","NI2",0.00652173913043478,38,1,0,1,0
"24","NI617",0.115353260869565,47,2,11,20,1
"25","NI26",0.0598505434782609,27,1,1,10,1
"26","NI446",0.0598505434782609,25,2,1,10,1
"27","NI698",0,38,1,0,0,0
"28","NI969",0.111005434782609,36,1,9,22,1
"29","NI855",0.00434782608695652,36,2,1,0,0
"30","NI720",0.00434782608695652,19,2,1,0,0
"31","NI495",0.0879076086956522,76,1,8,21,0
"32","NI721",0.125407608695652,72,2,9,28,1
"33","NI736",0.111005434782609,39,1,9,22,1
"34","NI386",0.0173913043478261,53,1,4,0,0
"35","NI796",0.0195652173913043,51,2,4,1,0
"36","NI589",0.0228260869565217,30,2,5,0,1
"37","NI108",0.0228260869565217,25,2,5,0,1
"38","NI588",0.0228260869565217,23,2,5,0,1
"39","NI746",0.0228260869565217,21,2,5,0,1
"40","NI535",0,27,1,0,0,0
"41","NI427",0.0970788043478261,57,1,8,14,1
"42","NI114",0.00869565217391304,44,2,2,0,0
"43","NI755",0.0572350543478261,26,2,3,6,1
"44","NI132",0,26,1,0,0,0
"45","NI628",0.0572350543478261,21,2,3,6,1
"46","NI470",0.103600543478261,56,1,11,11,1
