"","i","avg_r","age","sex","born"
"1","NI331",0.0788429711838006,38,1,1
"2","NI731",0.0124610591900312,35,2,0
"3","NI489",0.0472096475856698,20,1,1
"4","NI393",0.0472096475856698,18,1,1
"5","NI624",0.0472096475856698,16,2,1
"6","NI73",0.0472096475856698,14,1,1
"7","NI463",0.0472096475856698,10,1,1
"8","NI549",0.0472096475856698,7,2,1
"9","NI58",0.0472096475856698,5,2,1
"10","NI787",0.109983450155763,57,2,1
"11","NI990",0.0765065225856698,27,2,1
"12","NI17",0.0108060747663551,29,1,0
"13","NI540",0.0452139310747664,11,1,1
"14","NI930",0.0452139310747664,9,2,1
"15","NI493",0.0452139310747664,7,2,1
"16","NI750",0.0452139310747664,5,2,1
"17","NI60",0.072612441588785,26,1,1
"18","NI360",0.073391257788162,23,1,1
"19","NI650",0.072612441588785,22,2,1
"20","NI546",0.00856697819314642,41,1,0
"21","NI275",0.0645383080218069,27,2,1
"22","NI683",0.0381102755062305,8,2,1
"23","NI705",0.0381102755062305,6,2,1
"24","NI970",0.0381102755062305,5,1,1
"25","NI702",0.0218068535825545,49,1,0
"26","NI163",0.0979239680685358,44,2,1
"27","NI208",0.0637594918224299,24,2,1
"28","NI570",0.062201859423676,22,2,1
"29","NI276",0.0614230432242991,20,2,1
"30","NI255",0.0614230432242991,18,2,1
"31","NI800",0.0614230432242991,15,1,1
"32","NI980",0.0614230432242991,13,2,1
"33","NI681",0.0614230432242991,10,1,1
"34","NI67",0.039327175817757,8,2,1
"35","NI773",0.039327175817757,6,1,1
"36","NI555",0.00155763239875389,26,1,0
"37","NI40",0.0124610591900312,48,1,0
"38","NI875",0.109204633956386,48,2,1
"39","NI829",0.0612222546728972,29,1,1
"40","NI765",0.0639481113707165,24,2,1
"41","NI793",0.0346999123831776,5,1,1
"42","NI474",0.0639481113707165,22,2,1
"43","NI167",0.0444837908878505,4,1,1
"44","NI112",0.0623904789719626,19,1,1
"45","NI554",0.0623904789719626,17,1,1
"46","NI18",0.0623904789719626,14,2,1
"47","NI799",0.0623904789719626,12,1,1
"48","NI891",0.0577175817757009,27,2,1
"49","NI2",0.00934579439252336,38,1,0
"50","NI617",0.103752920560748,47,2,1
"51","NI26",0.0526552764797508,27,1,1
"52","NI446",0.056159949376947,25,2,1
"53","NI483",0.0319740556853583,4,1,1
"54","NI698",0.00467289719626168,38,1,0
"55","NI697",0.0581069898753894,16,1,1
"56","NI106",0.0581069898753894,13,1,1
"57","NI767",0.0581069898753894,10,1,1
"58","NI969",0.10569996105919,36,1,1
"59","NI855",0.0171339563862928,36,2,0
"60","NI720",0.0116822429906542,19,2,0
"61","NI528",0.0394214855919003,5,2,1
"62","NI188",0.0629745911214953,17,1,1
"63","NI94",0.0629745911214953,16,1,1
"64","NI145",0.0629745911214953,14,1,1
"65","NI908",0.0629745911214953,12,2,1
"66","NI771",0.0629745911214953,10,1,1
"67","NI69",0.0629745911214953,9,1,1
"68","NI976",0.0629745911214953,6,2,1
"69","NI882",0.0629745911214953,4,1,1
"70","NI495",0.0808995327102804,76,1,0
"71","NI721",0.113366433021807,72,2,1
"72","NI736",0.0994694314641745,39,1,1
"73","NI386",0.0155763239875389,53,1,0
"74","NI796",0.0175233644859813,51,2,0
"75","NI589",0.0204439252336449,30,2,1
"76","NI108",0.018886292834891,25,2,1
"77","NI588",0.018886292834891,23,2,1
"78","NI746",0.0196651090342679,21,2,1
"79","NI450",0.018107476635514,18,1,1
"80","NI606",0.018107476635514,16,1,1
"81","NI668",0.0615143107476636,9,1,1
"82","NI655",0.0110007788161994,7,1,1
"83","NI579",0.0110007788161994,5,2,1
"84","NI535",0.00311526479750779,27,1,0
"85","NI427",0.095587519470405,57,1,1
"86","NI114",0.0155763239875389,44,2,0
"87","NI755",0.0594760027258567,26,2,1
"88","NI132",0.00467289719626168,26,1,0
"89","NI100",0.0336320823598131,6,1,1
"90","NI327",0.0336320823598131,4,2,1
"91","NI628",0.0579183703271028,21,2,1
"92","NI12",0.0571395541277259,19,1,1
"93","NI954",0.0571395541277259,17,1,1
"94","NI202",0.0571395541277259,15,1,1
"95","NI934",0.0571395541277259,13,2,1
