"","i","avg_r","age","sex","primary","secondary","born"
"1","PU1",0.101762820512821,46,1,4,3,0
"2","PU2",0.116987179487179,46,2,5,3,0
"3","PU4",0.0528846153846154,27,1,0,3,0
"4","PU5",0.121394230769231,23,2,4,3,1
"5","PU7",0.0104166666666667,24,1,0,0,0
"6","PU8",0.121394230769231,19,2,4,3,1
"7","PU9",0.0384615384615385,28,1,3,0,0
"8","PU10",0.121394230769231,27,2,4,3,1
"9","PU14",0.0352564102564103,70,1,1,3,0
"10","PU15",0.0128205128205128,29,1,1,0,0
"11","PU16",0.0336538461538462,46,2,2,0,0
"12","PU21",0.0384615384615385,22,1,3,0,1
"13","PU23",0.0256410256410256,65,1,0,1,0
"14","PU24",0.0701121794871795,36,1,3,1,1
"15","PU25",0.0128205128205128,34,2,1,0,0
"16","PU27",0.101762820512821,63,1,4,3,0
"17","PU28",0.0701121794871795,27,2,3,1,1
"18","PU29",0.0701121794871795,29,2,3,1,1
"19","PU30",0.0232371794871795,28,1,1,1,0
"20","PU33",0.104166666666667,49,1,3,5,0
"21","PU34",0.132211538461538,48,2,6,2,0
"22","PU35",0.119391025641026,41,2,4,4,1
"23","PU37",0.0725160256410256,29,1,1,5,0
"24","PU38",0,32,2,0,0,0
"25","PU42",0.105769230769231,70,2,4,7,0
"26","PU43",0.0512820512820513,58,1,1,4,0
"27","PU44",0.125801282051282,46,2,5,3,0
"28","PU47",0.0536858974358974,27,1,0,1,0
"29","PU49",0.107371794871795,45,2,1,6,0
"30","PU51",0.127003205128205,28,1,2,5,1
"31","PU54",0.125801282051282,50,1,5,3,0
"32","PU55",0.0977564102564103,37,2,2,6,1
"33","PU58",0.0384615384615385,34,1,3,0,0
"34","PU59",0.0536858974358974,34,2,0,1,1
"35","PU63",0.0544871794871795,33,1,0,3,0
"36","PU64",0.101362179487179,19,2,2,4,1
"37","PU67",0,35,1,0,0,0
"38","PU68",0.130208333333333,27,2,2,8,1
"39","PU73",0,35,1,0,0,0
"40","PU78",0.0384615384615385,19,2,3,0,1
