"","i","avg_r","age","sex","born"
"1","PU1",0.101145833333333,46,1,0
"2","PU2",0.1290625,46,2,0
"3","PU3",0.121354166666667,15,2,1
"4","PU4",0.0641666666666667,27,1,0
"5","PU5",0.128020833333333,23,2,1
"6","PU6",0.102864583333333,6,1,1
"7","PU7",0.0102083333333333,24,1,0
"8","PU8",0.121354166666667,19,2,1
"9","PU9",0.0533333333333333,28,1,0
"10","PU10",0.133020833333333,27,2,1
"11","PU11",0.0999479166666667,9,2,1
"12","PU12",0.103229166666667,7,1,1
"13","PU13",0.0999479166666667,5,1,1
"14","PU14",0.0408333333333333,70,1,0
"15","PU15",0.0266666666666667,29,1,0
"16","PU16",0.05125,46,2,0
"17","PU17",0.045625,12,2,1
"18","PU18",0.045625,9,2,1
"19","PU21",0.045,22,1,1
"20","PU22",0.10578125,16,2,1
"21","PU23",0.0277083333333333,65,1,0
"22","PU24",0.0709895833333333,36,1,1
"23","PU25",0.0266666666666667,34,2,0
"24","PU26",0.0554947916666667,16,2,1
"25","PU27",0.0953125,63,1,0
"26","PU28",0.0643229166666667,27,2,1
"27","PU29",0.0643229166666667,29,2,1
"28","PU30",0.0389583333333333,28,1,0
"29","PU32",0.0261458333333333,5,2,1
"30","PU33",0.118229166666667,49,1,0
"31","PU34",0.142604166666667,48,2,0
"32","PU35",0.122604166666667,41,2,1
"33","PU36",0.136666666666667,16,1,1
"34","PU37",0.0896354166666667,29,1,0
"35","PU38",0.02,32,2,0
"36","PU39",0.061484375,14,2,1
"37","PU40",0.061484375,8,1,1
"38","PU42",0.113333333333333,70,2,0
"39","PU43",0.06875,58,1,0
"40","PU44",0.139270833333333,46,2,0
"41","PU45",0.110677083333333,14,2,1
"42","PU46",0.110677083333333,4,2,1
"43","PU47",0.05703125,27,1,0
"44","PU48",0.110677083333333,17,2,1
"45","PU49",0.125729166666667,45,2,0
"46","PU50",0.102447916666667,11,2,1
"47","PU51",0.14125,28,1,1
"48","PU52",0.0943229166666667,18,2,0
"49","PU54",0.139270833333333,50,1,0
"50","PU55",0.1165625,37,2,1
"51","PU56",0.134166666666667,14,2,1
"52","PU57",0.134166666666667,2,2,1
"53","PU58",0.0483333333333333,34,1,0
"54","PU59",0.07703125,34,2,1
"55","PU60",0.058515625,16,1,1
"56","PU61",0.0693489583333333,11,1,1
"57","PU62",0.0693489583333333,5,1,1
"58","PU63",0.0675,33,1,0
"59","PU64",0.110677083333333,19,2,1
"60","PU67",0.0266666666666667,35,1,0
"61","PU68",0.146666666666667,27,2,1
"62","PU69",0.0934375,12,1,1
"63","PU71",0.0934375,10,1,1
"64","PU72",0.0934375,4,2,1
"65","PU73",0,35,1,0
"66","PU74",0.0261458333333333,6,1,1
"67","PU75",0.0643229166666667,13,1,1
"68","PU78",0.0416666666666667,19,2,1
"69","PU80",0.0554947916666667,13,1,1
"70","PU81",0.12546875,13,2,1
"71","PU82",0.110677083333333,9,1,1
"72","PU83",0.102864583333333,0,1,1
"73","PU84",0.134166666666667,0,1,1
"74","PU85",0.082265625,0,2,1
"75","PU86",0.123619791666667,0,1,1
"76","PU87",0.061484375,0,2,1
