"","i","avg_r","age","sex","primary","secondary","born"
"1","TA8",0.0303030303030303,57,1,2,2,1
"2","TA13",0,27,1,0,0,0
"3","TA22",0.00946969696969697,24,1,1,0,0
"4","TA25",0.0333806818181818,25,1,0,3,1
"5","TA27",0.0321969696969697,33,1,3,0,1
"6","TA28",0,30,2,0,0,0
"7","TA32",0.0272253787878788,29,1,3,0,1
"8","TA40",0.00757575757575758,50,2,1,0,0
"9","TA41",0.0151515151515152,44,2,2,0,0
"10","TA42",0.00946969696969697,25,2,1,0,0
"11","TA46",0,58,2,0,0,0
"12","TA56",0.0340909090909091,43,1,4,1,1
"13","TA61",0,30,2,0,0,0
"14","TA64",0,29,1,0,0,0
"15","TA66",0.0321969696969697,27,2,3,0,1
"16","TA70",0.0440340909090909,24,1,4,2,1
"17","TA71",0.0284090909090909,35,1,2,3,1
"18","TA72",0.040719696969697,20,2,4,0,1
"19","TA75",0.00378787878787879,36,2,0,0,0
"20","TA97",0.0272253787878788,21,2,3,0,1
"21","TA115",0.00662878787878788,25,2,0,1,0
"22","TA123",0,19,2,0,0,0
"23","TA126",0.0151515151515152,60,1,2,0,1
"24","TA135",0,36,2,0,0,0
"25","TA138",0.0241477272727273,58,2,2,0,0
"26","TA139",0.0189393939393939,75,2,1,3,0
"27","TA155",0.0286458333333333,21,2,2,3,1
"28","TA161",0,36,2,0,0,0
"29","TA172",0.0118371212121212,50,1,1,0,0
"30","TA179",0.00757575757575758,55,1,1,0,1
"31","TA180",0.0265151515151515,22,1,1,3,1
"32","TA187",0.0151515151515152,24,2,2,0,1
"33","TA201",0.0303030303030303,27,1,3,2,1
"34","TA214",0.0288825757575758,38,1,1,2,1
"35","TA216",0.0440340909090909,22,2,4,2,1
"36","TA218",0.0203598484848485,27,2,0,1,0
"37","TA228",0.0113636363636364,40,2,1,1,0
"38","TA234",0.0340909090909091,32,1,4,1,1
"39","TA240",0.0227272727272727,27,2,0,4,1
"40","TA249",0.00284090909090909,42,2,0,0,0
"41","TA251",0.00757575757575758,55,2,1,0,0
"42","TA255",0.0142045454545455,25,1,1,1,1
"43","TA259",0.00804924242424242,33,2,1,0,0
"44","TA260",0.00946969696969697,47,1,0,0,1
"45","TA261",0.0435606060606061,45,2,3,2,1
"46","TA270",0.0331439393939394,48,2,3,0,0
"47","TA272",0,26,2,0,0,0
"48","TA273",0,26,2,0,0,0
"49","TA279",0.0229640151515152,20,2,1,3,1
"50","TA280",0.0440340909090909,22,1,4,2,1
"51","TA282",0.0284090909090909,38,1,2,3,1
"52","TA293",0.017282196969697,21,2,2,0,1
"53","TA295",0.00946969696969697,55,2,0,2,0
"54","TA308",0,35,2,0,0,0
"55","TA324",0.0303030303030303,45,1,1,4,1
"56","TA325",0.0336174242424242,31,1,0,2,1
"57","TA332",0.040719696969697,24,1,4,0,1
"58","TA350",0.0303030303030303,60,2,3,2,0
"59","TA368",0.0464015151515152,55,1,2,4,1
"60","TA389",0.0208333333333333,34,2,0,2,0
"61","TA394",0.0189393939393939,59,2,2,0,0
"62","TA396",0.0151515151515152,24,2,2,0,1
"63","TA400",0.00852272727272727,46,1,0,0,1
"64","TA401",0.040719696969697,27,1,4,0,1
"65","TA406",0.0397727272727273,49,1,5,0,1
"66","TA411",0.0345643939393939,36,1,2,1,1
"67","TA415",0.0227272727272727,55,1,3,0,1
