"","i","avg_r","age","sex","born"
"1","TA6",0.0323231456043956,2,1,1
"2","TA8",0.0333104395604396,57,1,1
"3","TA9",0.0576493818681319,15,2,1
"4","TA13",0.00274725274725275,27,1,0
"5","TA17",0.0429258241758242,4,1,1
"6","TA20",0.0487637362637363,0,1,1
"7","TA22",0.00961538461538462,24,1,0
"8","TA25",0.0314217032967033,25,1,1
"9","TA27",0.0330099587912088,33,1,1
"10","TA28",0.0192307692307692,30,2,0
"11","TA32",0.0216775412087912,29,1,1
"12","TA33",0.0192307692307692,8,2,1
"13","TA34",0.0239526098901099,12,1,1
"14","TA38",0.0503090659340659,3,2,1
"15","TA39",0.0503090659340659,11,2,1
"16","TA40",0.00824175824175824,50,2,0
"17","TA41",0.0192307692307692,44,2,0
"18","TA42",0.00961538461538462,25,2,0
"19","TA43",0.041981456043956,17,2,1
"20","TA46",0.0164835164835165,58,2,0
"21","TA47",0.0247252747252747,3,2,1
"22","TA51",0.0400068681318681,NA,2,1
"23","TA52",0.0429258241758242,13,2,1
"24","TA56",0.0425824175824176,43,1,1
"25","TA57",0.0576493818681319,20,1,1
"26","TA61",0.00824175824175824,30,2,0
"27","TA64",0,29,1,0
"28","TA66",0.0316363324175824,27,2,1
"29","TA70",0.0603966346153846,24,1,1
"30","TA71",0.0676510989010989,35,1,1
"31","TA72",0.0375600961538462,20,2,1
"32","TA75",0.0190590659340659,36,2,0
"33","TA79",0.0487637362637363,1,1,1
"34","TA80",0.041981456043956,7,2,1
"35","TA81",0,NA,2,0
"36","TA83",0.0233731112637363,3,2,1
"37","TA84",0.0192307692307692,18,2,1
"38","TA85",0.0177069024725275,5,1,1
"39","TA86",0.0323231456043956,3,2,1
"40","TA88",0.0410800137362637,9,1,1
"41","TA91",0.0400068681318681,17,1,1
"42","TA92",0.0400068681318681,NA,2,1
"43","TA95",0.0323231456043956,8,1,1
"44","TA97",0.0189302884615385,21,2,1
"45","TA100",0.0239526098901099,15,2,1
"46","TA102",0.0109675480769231,0,1,1
"47","TA103",0.0192307692307692,13,1,1
"48","TA107",0.0317651098901099,2,2,1
"49","TA110",0.0270218063186813,1,2,1
"50","TA111",0.0232657967032967,12,1,1
"51","TA115",0.00682520604395604,25,2,0
"52","TA122",0.0239526098901099,4,2,1
"53","TA123",0.00549450549450549,19,2,0
"54","TA124",0.0494290865384615,6,2,1
"55","TA125",0.0298763736263736,NA,2,0
"56","TA126",0.010989010989011,60,1,1
"57","TA127",0.0429258241758242,14,1,1
"58","TA128",0.0503090659340659,19,1,1
"59","TA130",0.0338255494505494,7,1,1
"60","TA131",0.0323231456043956,7,1,1
"61","TA135",0.00824175824175824,36,2,0
"62","TA138",0.0186298076923077,58,2,0
"63","TA139",0.0350274725274725,75,2,0
"64","TA141",0.0426253434065934,3,1,1
"65","TA142",0.041981456043956,10,2,1
"66","TA145",0.0375600961538462,11,1,1
"67","TA154",0.0403073489010989,21,1,1
"68","TA155",0.0317651098901099,21,2,1
"69","TA158",0.0239526098901099,13,1,1
"70","TA161",0.0274725274725275,36,2,0
"71","TA164",0.0400068681318681,NA,1,1
"72","TA166",0.0115899725274725,21,1,1
"73","TA170",0.0241887019230769,1,1,1
"74","TA172",0.0133070054945055,50,1,0
"75","TA173",0.0576493818681319,6,1,1
"76","TA175",0.0429258241758242,8,2,1
"77","TA177",0.0367874313186813,18,2,1
"78","TA178",0.0241887019230769,2,1,1
"79","TA179",0.010989010989011,55,1,1
"80","TA180",0.0315934065934066,22,1,1
"81","TA182",0.0503090659340659,15,2,1
"82","TA184",0.0192307692307692,20,1,1
"83","TA186",0.0317651098901099,8,1,1
"84","TA187",0.0192307692307692,24,2,1
"85","TA188",0.0177069024725275,3,1,1
"86","TA190",0.00618131868131868,12,1,0
"87","TA191",0.0323231456043956,15,1,1
"88","TA197",0.0232657967032967,7,2,1
"89","TA198",0.0503090659340659,10,1,1
"90","TA201",0.0357142857142857,27,1,1
"91","TA203",0.0494290865384615,5,2,1
"92","TA208",0.0503090659340659,16,2,1
"93","TA212",0.0503090659340659,6,2,1
"94","TA213",0.0135216346153846,17,2,1
"95","TA214",0.0399210164835165,38,1,1
"96","TA216",0.061770260989011,22,2,1
"97","TA218",0.025154532967033,27,2,0
"98","TA220",0.0247252747252747,0,1,1
"99","TA221",0.0576493818681319,13,1,1
"100","TA225",0.00618131868131868,10,1,0
"101","TA228",0.00961538461538462,40,2,0
"102","TA229",0.0288890796703297,21,1,1
"103","TA230",0.0410800137362637,11,1,1
"104","TA233",0.0177069024725275,2,1,1
"105","TA234",0.0398351648351648,32,1,1
"106","TA237",0.0108387706043956,13,2,1
"107","TA238",0.0323231456043956,12,2,1
"108","TA240",0.0281593406593407,27,2,1
"109","TA242",0.0410800137362637,15,1,1
"110","TA243",0.0367874313186813,4,1,1
"111","TA248",0.0239526098901099,8,2,1
"112","TA249",0.0182005494505495,42,2,0
"113","TA250",0.0233731112637363,8,1,1
"114","TA251",0.010989010989011,55,2,0
"115","TA254",0.0375600961538462,15,2,1
"116","TA255",0.0147235576923077,25,1,1
"117","TA257",0.00744763049450549,6,1,1
"118","TA258",0.0503090659340659,1,1,1
"119","TA259",0.0182005494505495,33,2,0
"120","TA260",0.0259271978021978,47,1,1
"121","TA261",0.0435267857142857,45,2,1
"122","TA266",0.0232657967032967,3,2,1
"123","TA269",0.0460164835164835,NA,1,1
"124","TA270",0.0400927197802198,48,2,0
"125","TA272",0,26,2,0
"126","TA273",0.00824175824175824,26,2,0
"127","TA277",0.0233731112637363,5,1,1
"128","TA279",0.0395346840659341,20,2,1
"129","TA280",0.0576493818681319,22,1,1
"130","TA281",0.0375600961538462,9,1,1
"131","TA282",0.0621565934065934,38,1,1
"132","TA284",0.0112894917582418,1,1,1
"133","TA285",0.0367874313186813,19,1,1
"134","TA286",0.0576493818681319,9,2,1
"135","TA293",0.014895260989011,21,2,1
"136","TA295",0.00884271978021978,55,2,0
"137","TA297",0.0115685096153846,2,1,1
"138","TA300",0.0429258241758242,16,1,1
"139","TA301",0.041981456043956,5,1,1
"140","TA302",0.0323231456043956,10,2,1
"141","TA305",0.0367874313186813,10,1,1
"142","TA307",0.0317651098901099,7,2,1
"143","TA308",0.0137362637362637,35,2,0
"144","TA310",0.0254979395604396,NA,2,0
"145","TA312",0.0367874313186813,15,1,1
"146","TA314",0.0317651098901099,13,1,1
"147","TA317",0.0126631181318681,16,1,1
"148","TA320",0.0426253434065934,0,2,1
"149","TA324",0.0391483516483516,45,1,1
"150","TA325",0.0376888736263736,31,1,1
"151","TA327",0.0375600961538462,0,1,1
"152","TA328",0.0429258241758242,11,1,1
"153","TA330",0.0247252747252747,5,2,1
"154","TA332",0.0389337225274725,24,1,1
"155","TA334",0.041981456043956,19,1,1
"156","TA338",0.0494290865384615,1,1,1
"157","TA341",0.0192307692307692,11,1,1
"158","TA350",0.0315934065934066,60,2,0
"159","TA351",0.0232657967032967,8,2,1
"160","TA352",0.0410800137362637,5,1,1
"161","TA353",0.0503090659340659,8,1,1
"162","TA354",0.0367874313186813,12,1,1
"163","TA357",0.0112894917582418,2,1,1
"164","TA358",0.0239526098901099,16,1,1
"165","TA363",0.0410800137362637,1,1,1
"166","TA368",0.046875,55,1,1
"167","TA375",0.0503090659340659,18,2,1
"168","TA379",0.0410800137362637,7,1,1
"169","TA385",0.041981456043956,15,2,1
"170","TA386",0.0576493818681319,11,1,1
"171","TA387",0.0232657967032967,14,2,1
"172","TA389",0.0367445054945055,34,2,0
"173","TA391",0.0400068681318681,NA,2,1
"174","TA392",0.0338255494505494,4,1,1
"175","TA394",0.0189732142857143,59,2,0
"176","TA396",0.0192307692307692,24,2,1
"177","TA400",0.0273008241758242,46,1,1
"178","TA401",0.0375600961538462,27,1,1
"179","TA406",0.0697115384615385,49,1,1
"180","TA409",0.0338255494505494,3,1,1
"181","TA411",0.0399210164835165,36,1,1
"182","TA415",0.0260989010989011,55,1,1
"183","TA418",0.0317651098901099,6,2,1
