"","i","avg_r","age","sex","primary","secondary","born"
"1","TP427",0,27,2,0,0,0
"2","TP438",0.00221238938053097,64,1,1,1,1
"3","TP439",0,48,2,0,0,0
"4","TP440",0.00294985250737463,66,1,2,0,1
"5","TP441",0.00147492625368732,64,2,1,0,0
"6","TP442",0.00368731563421829,40,1,2,1,1
"7","TP443",0,31,2,0,0,0
"8","TP447",0.00294985250737463,51,2,2,0,0
"9","TP448",0.00294985250737463,30,1,2,0,1
"10","TP449",0.00294985250737463,28,2,2,0,1
"11","TP452",0,51,2,0,0,0
"12","TP455",0.00221238938053097,65,1,1,1,1
"13","TP458",0,33,2,0,0,0
"14","TP461",0.00147492625368732,74,2,1,0,0
"15","TP463",0.00147492625368732,46,1,1,0,1
"16","TP464",0,41,2,0,0,0
"17","TP467",0.00958702064896755,76,1,4,5,1
"18","TP468",0.00442477876106195,71,2,2,2,0
"19","TP469",0.00884955752212389,76,1,4,3,1
"20","TP470",0.00294985250737463,51,2,2,0,0
"21","TP471",0.00737463126843658,23,1,3,2,1
"22","TP473",0.00737463126843658,26,2,3,2,1
"23","TP476",0.00811209439528024,66,1,3,4,1
"24","TP477",0.00147492625368732,61,2,1,0,0
"25","TP478",0.00626843657817109,42,1,2,2,1
"26","TP479",0.00294985250737463,41,2,2,0,1
"27","TP482",0.0051622418879056,46,1,3,1,1
"28","TP483",0.00147492625368732,44,2,1,0,0
"29","TP484",0.00479351032448378,19,2,2,2,1
"30","TP486",0.00368731563421829,44,2,2,1,1
"31","TP487",0.000737463126843658,61,1,0,1,1
"32","TP494",0.00147492625368732,74,2,1,0,0
"33","TP495",0.00221238938053097,52,1,1,1,1
"34","TP496",0,41,1,0,0,1
"35","TP497",0,36,2,0,0,1
"36","TP499",0,66,1,0,0,0
"37","TP500",0,41,2,0,0,0
"38","TP504",0.00294985250737463,54,1,2,0,1
"39","TP505",0.00294985250737463,51,2,2,0,0
"40","TP506",0.00442477876106195,27,2,3,0,1
"41","TP507",0.00442477876106195,24,2,3,0,1
"42","TP509",0,56,1,0,0,1
"43","TP510",0,46,2,0,0,0
"44","TP511",0.00147492625368732,56,2,1,0,1
"45","TP512",0.00147492625368732,76,1,0,2,1
"46","TP515",0.00147492625368732,61,1,1,0,1
"47","TP516",0.00221238938053097,71,2,1,1,0
"48","TP517",0.00331858407079646,33,1,2,0,1
"49","TP518",0.00110619469026549,29,2,0,1,0
"50","TP521",0,46,1,0,0,0
"51","TP522",0,41,2,0,0,0
"52","TP524",0,56,1,0,0,0
"53","TP525",0,41,2,0,0,0
"54","TP528",0.00147492625368732,66,2,1,0,0
"55","TP530",0.0025811209439528,47,2,1,1,1
"56","TP531",0.00110619469026549,40,1,0,1,1
"57","TP532",0,31,2,0,0,0
"58","TP535",0.00147492625368732,66,1,1,0,1
"59","TP536",0.00147492625368732,70,2,1,0,0
"60","TP537",0.00921828908554572,46,1,4,3,1
"61","TP538",0.00147492625368732,41,2,1,0,0
"62","TP539",0.00682153392330383,20,2,2,3,1
"63","TP543",0,35,2,0,0,0
"64","TP548",0.00294985250737463,61,1,2,0,1
"65","TP549",0.00221238938053097,51,2,1,1,0
"66","TP550",0.00147492625368732,55,1,1,0,0
"67","TP551",0.00921828908554572,51,2,4,3,1
"68","TP552",0.00682153392330383,30,2,2,3,1
"69","TP556",0.00405604719764012,38,1,2,1,1
"70","TP557",0.00110619469026549,33,2,0,1,0
"71","TP560",0.00147492625368732,53,1,1,0,1
"72","TP561",0,46,2,0,0,0
"73","TP564",0.0025811209439528,70,1,1,1,1
"74","TP565",0,66,2,0,0,0
"75","TP566",0.00368731563421829,76,1,2,1,1
"76","TP567",0.00221238938053097,71,2,1,1,0
"77","TP569",0.00147492625368732,66,2,1,0,0
"78","TP570",0,66,1,0,0,0
"79","TP571",0.00147492625368732,61,2,1,0,1
"80","TP576",0,40,2,0,0,0
"81","TP578",0,46,1,0,0,1
"82","TP579",0,36,2,0,0,0
"83","TP583",0,76,2,0,0,0
"84","TP584",0.00294985250737463,71,2,2,0,0
"85","TP586",0.00331858407079646,61,1,2,0,1
"86","TP587",0,51,2,0,0,0
"87","TP591",0.00331858407079646,53,1,2,0,1
"88","TP592",0,43,2,0,0,0
"89","TP593",0.00442477876106195,46,2,3,0,1
"90","TP594",0.00626843657817109,27,1,1,5,1
"91","TP595",0.00368731563421829,65,2,2,1,0
"92","TP598",0,21,2,0,0,0
"93","TP601",0.00368731563421829,71,2,2,1,0
"94","TP602",0.0051622418879056,56,1,3,1,1
"95","TP603",0.00147492625368732,41,2,1,0,0
"96","TP604",0.00479351032448378,22,1,2,2,1
"97","TP609",0.00442477876106195,46,1,2,2,1
"98","TP610",0,36,2,0,0,0
"99","TP616",0.00479351032448378,56,1,0,4,1
"100","TP617",0.00958702064896755,66,1,4,4,1
"101","TP618",0.00147492625368732,51,2,1,0,0
"102","TP619",0.00700589970501475,26,1,2,3,1
"103","TP620",0.00368731563421829,47,1,2,1,1
"104","TP621",0.00866519174041298,45,2,4,2,1
"105","TP622",0.00765117994100295,30,1,2,4,1
"106","TP624",0.0025811209439528,56,1,1,1,1
"107","TP625",0.00147492625368732,51,2,1,0,0
"108","TP626",0.00350294985250737,32,1,2,0,1
"109","TP627",0,25,2,0,0,0
"110","TP630",0.0025811209439528,36,1,1,1,1
"111","TP631",0.00147492625368732,46,2,1,0,0
"112","TP632",0.00350294985250737,23,1,2,0,1
"113","TP634",0.00368731563421829,66,1,2,1,1
"114","TP635",0.00479351032448378,56,2,2,2,0
"115","TP636",0.00571533923303835,34,1,2,2,1
"116","TP637",0,29,2,0,0,0
"117","TP641",0.00147492625368732,21,2,0,2,1
"118","TP643",0,42,1,0,0,0
"119","TP644",0,36,2,0,0,0
"120","TP645",0.00589970501474926,58,1,3,2,1
"121","TP646",0.00442477876106195,53,2,3,0,0
"122","TP647",0.00663716814159292,31,1,4,0,1
"123","TP648",0.00663716814159292,29,1,4,0,1
"124","TP649",0.00663716814159292,36,2,4,0,1
"125","TP650",0.00147492625368732,39,1,1,0,0
"126","TP654",0,27,2,0,0,0
"127","TP656",0,27,2,0,0,0
"128","TP658",0.00147492625368732,71,1,1,0,0
"129","TP661",0.00147492625368732,61,2,1,0,0
"130","TP662",0.00368731563421829,36,1,1,1,1
"131","TP664",0,27,2,0,0,0
"132","TP667",0.00147492625368732,46,2,1,0,0
"133","TP668",0.00221238938053097,19,2,1,0,1
"134","TP670",0,53,1,0,0,1
"135","TP671",0,48,2,0,0,0
"136","TP673",0,45,2,0,0,0
"137","TP674",0,44,1,0,0,1
"138","TP675",0,45,2,0,0,0
"139","TP678",0.00368731563421829,56,1,2,1,1
"140","TP679",0.00221238938053097,48,2,1,1,0
"141","TP681",0.00442477876106195,28,1,2,1,1
"142","TP682",0.00110619469026549,31,2,0,1,0
"143","TP685",0.00848082595870206,30,2,3,5,1
"144","TP688",0.00147492625368732,51,1,1,0,1
"145","TP689",0.00147492625368732,41,2,1,0,0
"146","TP690",0.00294985250737463,24,1,2,0,1
"147","TP694",0,39,2,0,0,0
"148","TP698",0.00940265486725664,46,1,5,1,1
"149","TP699",0.00294985250737463,43,2,2,0,0
"150","TP700",0.00765117994100295,26,1,3,3,1
"151","TP701",0.00765117994100295,23,2,3,3,1
"152","TP703",0.00921828908554572,76,2,3,5,1
