"","i","avg_r","age","sex","born"
"1","TP427",0.00204918032786885,27,2,0
"2","TP438",0.00230532786885246,64,1,1
"3","TP439",0,48,2,0
"4","TP440",0.00358606557377049,66,1,1
"5","TP441",0.00256147540983607,64,2,0
"6","TP442",0.00563524590163934,40,1,1
"7","TP443",0.00307377049180328,31,2,0
"8","TP444",0.00537909836065574,13,1,1
"9","TP445",0.00537909836065574,11,1,1
"10","TP446",0.00537909836065574,7,2,1
"11","TP447",0.00204918032786885,51,2,0
"12","TP448",0.00204918032786885,30,1,1
"13","TP449",0.00204918032786885,28,2,1
"14","TP452",0,51,2,0
"15","TP455",0.00358606557377049,65,1,1
"16","TP458",0.00204918032786885,33,2,0
"17","TP459",0.00320184426229508,10,2,1
"18","TP460",0.00320184426229508,6,1,1
"19","TP461",0.00204918032786885,74,2,0
"20","TP463",0.00307377049180328,46,1,1
"21","TP464",0.00204918032786885,41,2,0
"22","TP465",0.00358606557377049,21,1,1
"23","TP466",0.00358606557377049,18,2,1
"24","TP467",0.00922131147540984,76,1,1
"25","TP468",0.00461065573770492,71,2,0
"26","TP469",0.00845286885245902,76,1,1
"27","TP470",0.00307377049180328,51,2,0
"28","TP471",0.00678790983606557,23,1,1
"29","TP472",0.00493084016393443,9,2,0
"30","TP473",0.0078125,26,2,1
"31","TP475",0.00493084016393443,5,2,0
"32","TP476",0.0079405737704918,66,1,1
"33","TP477",0.00204918032786885,61,2,0
"34","TP478",0.00704405737704918,42,1,1
"35","TP479",0.00409836065573771,41,2,1
"36","TP480",0.00659579918032787,18,1,1
"37","TP481",0.00659579918032787,13,2,1
"38","TP482",0.00461065573770492,46,1,1
"39","TP483",0.00204918032786885,44,2,0
"40","TP484",0.00435450819672131,19,2,1
"41","TP485",0.00435450819672131,17,1,1
"42","TP486",0.00281762295081967,44,2,1
"43","TP487",0.00153688524590164,61,1,1
"44","TP494",0.00102459016393443,74,2,0
"45","TP495",0.00179303278688525,52,1,1
"46","TP496",0.00102459016393443,41,1,1
"47","TP497",0.00102459016393443,36,2,1
"48","TP498",0.00204918032786885,18,1,1
"49","TP499",0.00307377049180328,66,1,0
"50","TP500",0.00307377049180328,41,2,0
"51","TP501",0.00409836065573771,13,1,1
"52","TP502",0.00409836065573771,11,2,1
"53","TP503",0.00409836065573771,11,2,1
"54","TP504",0.00307377049180328,54,1,1
"55","TP505",0.00307377049180328,51,2,0
"56","TP506",0.00409836065573771,27,2,1
"57","TP507",0.00409836065573771,24,2,1
"58","TP508",0.00409836065573771,20,1,1
"59","TP509",0,56,1,1
"60","TP510",0,46,2,0
"61","TP511",0.00204918032786885,56,2,1
"62","TP512",0.00153688524590164,76,1,1
"63","TP515",0.00204918032786885,61,1,1
"64","TP516",0.00307377049180328,71,2,0
"65","TP517",0.00461065573770492,33,1,1
"66","TP518",0.00307377049180328,29,2,0
"67","TP519",0.00473872950819672,9,2,1
"68","TP520",0.00473872950819672,8,1,1
"69","TP521",0.00102459016393443,46,1,0
"70","TP522",0.00102459016393443,41,2,0
"71","TP523",0.00204918032786885,16,1,1
"72","TP524",0.00204918032786885,56,1,0
"73","TP525",0.00204918032786885,41,2,0
"74","TP526",0.00307377049180328,11,1,1
"75","TP527",0.00307377049180328,10,1,1
"76","TP528",0.00102459016393443,66,2,0
"77","TP530",0.00204918032786885,47,2,1
"78","TP531",0.00281762295081967,40,1,1
"79","TP532",0.00204918032786885,31,2,0
"80","TP533",0.00345799180327869,9,1,1
"81","TP534",0.00345799180327869,5,1,1
"82","TP535",0.00204918032786885,66,1,1
"83","TP536",0.00204918032786885,70,2,0
"84","TP537",0.00947745901639344,46,1,1
"85","TP538",0.00307377049180328,41,2,0
"86","TP539",0.00730020491803279,20,2,1
"87","TP540",0.00730020491803279,18,1,1
"88","TP541",0.00730020491803279,15,1,1
"89","TP543",0.00204918032786885,35,2,0
"90","TP544",0.00473872950819672,16,1,1
"91","TP545",0.00473872950819672,11,1,1
"92","TP548",0.00461065573770492,61,1,1
"93","TP549",0.00409836065573771,51,2,0
"94","TP550",0.00204918032786885,55,1,0
"95","TP551",0.00896516393442623,51,2,1
"96","TP552",0.00755635245901639,30,2,1
"97","TP554",0.00480276639344262,6,1,0
"98","TP555",0.00480276639344262,3.5,1,0
"99","TP556",0.00640368852459016,38,1,1
"100","TP557",0.00332991803278689,33,2,0
"101","TP558",0.00576331967213115,15,2,1
"102","TP559",0.00576331967213115,12,2,1
"103","TP560",0.00307377049180328,53,1,1
