"","site_number","group","country","descent_rule","average_relatedness","community_size","women_per_household","per_cent_natal_female_adults","per_cent_natal_male_adults","abbreviation","p_val","type","N_native_male","N_male","per_cent_native_male","N_native_female","N_female","per_cent_native_female"
"1",1,"Savannah Pumé","Venezuela","bilateral",0.085,76,0.9,57.89,14.29,"PU",0.0551848150937792,"MAT",20,38,0.526315789473684,29,38,0.763157894736842
"2",2,"Miskito","Nicaragua","bilateral",0.1,92,1.07,53.33,21.43,"MK",0.999999999999999,"MAT",34,46,0.739130434782609,34,45,0.755555555555556
"3",3,"Mayangna","Nicaragua","bilateral",0.044,322,1.88,80.65,38.89,"NI",0.000144977012366679,"MAT [*]",121,162,0.746913580246914,146,160,0.9125
"4",4,"Coastal Afro-Colombians","Colombia","",0.012,188,1.22,48.15,45.83,"CA",0.187441309839526,"MAT",44,97,0.45360824742268,51,91,0.56043956043956
"5",5,"Inland Afro-Colombians","Colombia","",0.006,306,1.11,46.59,47.54,"IA",0.384720381419269,"PAT",90,145,0.620689655172414,91,161,0.565217391304348
"6",6,"Dominica","Dominica","",0.017,422,1.33,94.63,96.6,"DM",0.999999999999997,"MAT",205,215,0.953488372093023,198,207,0.956521739130435
"7",7,"Inland Emberá","Colombia","",0.048,91,1,60,61.54,"IE",0.491171764215891,"PAT",29,39,0.743589743589744,34,52,0.653846153846154
"8",8,"Choyeros","Mexico","bilateral",0.054,113,1.19,73.68,81.4,"MX",0.474461925436682,"PAT",51,59,0.864406779661017,43,54,0.796296296296296
"9",9,"The Gambia, 2","The Gambia","patrilineal",0.011,573,1.56,80.5,89.39,"GB",0.071550443945693,"PAT",252,293,0.860068259385666,233,291,0.800687285223368
"10",10,"Mosuo","China","matrilineal",0.014,218,2.13,82.14,91.36,"MM",0.0792054802332793,"PAT",102,112,0.910714285714286,87,106,0.820754716981132
"11",11,"Maya","Mexico","bilateral",0.035,544,1.2,84.15,94.74,"MA",0.0027398105734366,"PAT [*]",276,288,0.958333333333333,227,256,0.88671875
"12",12,"Lamalera","Indonesia","patrilineal",0.005,1216,1.48,83.76,95.43,"LA",0.00136737756240165,"PAT [*]",504,545,0.924770642201835,581,671,0.865871833084948
"13",13,"Coastal Emberá","Colombia","",0.087,86,1.13,11.76,13.33,"CE",0.128072283017602,"PAT",26,45,0.577777777777778,16,41,0.390243902439024
"14",14,"Maasai","Kenya","patrilineal",0.013,296,1.29,25.93,31.25,"MS",0.274419314262193,"PAT",96,152,0.631578947368421,81,144,0.5625
"15",15,"The Gambia, 1","The Gambia","patrilineal",0.005,1387,5.65,70.23,86.42,"GA",2.17771211339675e-06,"PAT [*]",563,715,0.787412587412587,484,717,0.675034867503487
"16",16,"Mosuo","China","patrilineal",0.024,163,2.27,62.69,88.14,"MP",0.00407492981542216,"PAT [*]",68,79,0.860759493670886,55,84,0.654761904761905
"17",17,"Alakāpuram","India","patrilineal",0.004,613,1.33,37.05,85.33,"AZ",2.6227177112191e-23,"PAT [*]",237,279,0.849462365591398,153,334,0.458083832335329
"18",18,"Tenpaṭṭi","India","patrilineal",0.004,487,1.27,30.57,91.84,"TP",2.70570787827134e-26,"PAT [*]",210,232,0.905172413793103,115,257,0.447470817120623
"19",19,"Tanna","Vanuatu","patrilineal",0.03,183,2.31,27.03,86.67,"TA",1.87168208164087e-06,"PAT [*]",94,100,0.94,54,83,0.650602409638554
