"Index","Variant","Region, subregion, country or area *","Notes","Location code","ISO3 Alpha-code","ISO2 Alpha-code","SDMX code**","Type","Parent code","Year","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100+"
"1","Estimates","World",NA,"900",NA,NA,"1","World","0","1950","100000","86928.588","82726.749","80363.981","78882.137","77867.104","77146.667","76621.065","76210.091","75863.658","75555.36","75275.112","75008.872","74745.424","74478.307","74202.683","73915.535","73614.884","73301.697","72976.339","72639.34","72289.91","71928.793","71557.41","71177.573","70792.577","70403.381","70011.073","69616.769","69217.459","68814.753","68400.647","67972.774","67531.777","67083.864","66636.861","66192.335","65744.757","65292.329","64827.652","64351.465","63858.705","63353.267","62834.024","62305.708","61765.007","61209.945","60641.681","60055.459","59440.752","58796.728","58113.492","57394.859","56632.218","55839.754","55014.155","54158.717","53263.274","52324.765","51326.355","50261.156","49098.292","47856.322","46520.485","45097.566","43611.44","42055.218","40440.137","38757.41","36997.343","35183.048","33287.759","31357.696","29357.637","27308.918","25232.233","23140.245","21047.565","18993.438","16967.33","15020.984","13122.343","11339.937","9650.743","8104.929","6698.524","5453.504","4364.302","3438.814","2666.797","2033.136","1516.996","1110.499","791.723","552.45","375.742","250.409","162.041","101.756","62.061","36.88"
"2","Estimates","World",NA,"900",NA,NA,"1","World","0","1951","100000","87116.654","83123.705","80824.916","79387.645","78416.14","77719.843","77198.865","76794.203","76455.431","76153.848","75879.516","75619.967","75363.151","75102.457","74833.434","74553.683","74260.979","73954.564","73635.174","73303.796","72961.118","72608.35","72245.607","71874.988","71499.032","71119.905","70736.969","70350.323","69960.911","69567.141","69166.366","68754.889","68325.87","67884.587","67435.802","66987.339","66540.361","66090.391","65631.981","65162.371","64678.21","64180.992","63668.4","63146.659","62613.089","62064.166","61499.75","60915.641","60304.736","59662.125","58983.36","58270.101","57513.876","56723.017","55902.637","55051.18","54159.03","53220.816","52221.644","51156.538","50002.338","48761.866","47423.429","46004.54","44499.482","42929.094","41309.314","39616.7","37850.726","36008.849","34085.201","32118.484","30078.303","28004.144","25886.719","23748.481","21618.796","19505.315","17421.191","15407.633","13464.599","11639.447","9909.23","8311.043","6859.531","5577.41","4460.171","3506.455","2711.199","2058.58","1527.011","1113.588","792.663","551.942","373.272","247.959","160.735","101.304","62.053","36.996"
"3","Estimates","World",NA,"900",NA,NA,"1","World","0","1952","100000","87431.838","83616.87","81464.644","80076.032","79138.839","78490.792","78008.972","77626.332","77303.969","77013.689","76748.32","76496.845","76249.227","75998.247","75738.483","75468.313","75186.188","74890.631","74580.697","74258.243","73924.097","73581.074","73228.757","72869.129","72504.802","72136.376","71765.895","71392.463","71014.221","70632.482","70243.15","69847.918","69438.532","69012.866","68573.232","68125.145","67676.362","67229.279","66776.887","66316.546","65842.81","65357.367","64855.608","64341.732","63816.978","63276.14","62718.969","62141.226","61535.685","60899.328","60224.941","59518.123","58771.466","57992.337","57176.604","56331.512","55447.144","54516.483","53523.707","52462.957","51314.758","50089.144","48752.946","47331.774","45833.235","44254.062","42624.74","40933.559","39160.476","37312.451","35367.166","33377.728","31306.638","29196.514","27055.758","24891.521","22727.737","20582.479","18440.503","16357.091","14343.481","12449.337","10644.006","8981.661","7453.164","6090.518","4900.005","3881.671","3019.386","2304.06","1720.475","1261.77","902.811","633.116","432.774","289.358","189.23","120.845","75.069","45.352"
"4","Estimates","World",NA,"900",NA,NA,"1","World","0","1953","100000","87667.433","83993.065","81904.336","80590.57","79672.082","78999.015","78491.718","78089.223","77757.475","77473.824","77214.987","76968.557","76726.453","76482.159","76229.578","75966.656","75691.975","75404.992","75104.19","74789.094","74461.351","74123.522","73778.016","73425.796","73068.777","72709.006","72346.035","71981.132","71611.527","71236.625","70856.465","70469.636","70074.525","69665.145","69238.651","68798.009","68347.934","67896.94","67444.509","66987.397","66520.658","66042.598","65549.74","65043.791","64524.397","63991.311","63440.016","62867.449","62265.627","61633.01","60964.176","60259.868","59520.27","58748.6","57943.972","57104.669","56226.414","55304.215","54319.323","53263.916","52121.659","50900.307","49583.181","48168.111","46671.201","45094.923","43450.933","41747.715","39971.321","38114.874","36159.963","34142.602","32047.709","29901.529","27723.915","25529.741","23322.001","21131.029","18956.171","16821.438","14751.033","12797.278","10949.271","9238.651","7676.631","6274.264","5044.675","3989.03","3100.479","2364.893","1763.366","1292.822","922.374","642.239","438.213","291.986","190.039","120.949","75.154","45.465"
"5","Estimates","World",NA,"900",NA,NA,"1","World","0","1954","100000","87891.816","84340.822","82320.051","81040.617","80173.854","79566.2","79116.878","78763.449","78458.848","78182.57","77931.437","77692.547","77457.576","77221.149","76977.528","76724.318","76459.471","76182.412","75892.651","75589.13","75271.184","74941.342","74603.634","74260.215","73912.029","73561.115","73208.278","72852.73","72494.383","72130.739","71760.912","71385.111","71000.137","70607.735","70201.097","69776.737","69336.174","68885.662","68431.72","67977.604","67516.509","67048.139","66566.291","66071.852","65563.491","65038.403","64497.138","63933.647","63340.23","62713.915","62050.778","61354.641","60620.095","59858.029","59066.345","58240.62","57371.239","56457.144","55482.839","54437.935","53301.342","52087.825","50774.61","49379.538","47889.671","46319.689","44683.858","42966.902","41179.954","39322.279","37365.736","35342.097","33228.417","31069.984","28865.417","26641.066","24409.83","22183.285","19968.172","17798.826","15669.559","13646.216","11723.806","9942.813","8303.533","6834.222","5529.075","4405.739","3449.684","2649.782","1988.964","1467.788","1056.149","742.104","507.867","340.837","223.158","142.682","89.176","54.384"
"6","Estimates","World",NA,"900",NA,NA,"1","World","0","1955","100000","88160.905","84737.828","82790.421","81551.601","80707.023","80112.421","79675.557","79332.495","79042.722","78777.618","78530.756","78296.35","78065.451","77832.376","77593.561","77345.797","77087.165","76816.428","76533.484","76237.338","75927.302","75602.917","75268.801","74928.537","74584.9","74238.599","73890.671","73540.657","73186.939","72829.691","72466.182","72096.459","71718.997","71333.073","70938.285","70528.488","70099.013","69653.576","69195.929","68735.751","68272.771","67805.573","67328.596","66840.349","66339.454","65821.817","65284.871","64726.583","64139.144","63517.284","62857.428","62165.38","61437.214","60678.855","59891.565","59073.884","58213.005","57302.188","56329.926","55289.61","54157.866","52948.357","51637.478","50241.881","48765.774","47196.525","45556.471","43837.551","42031.311","40162.978","38201.644","36169.76","34046.072","31855.303","29624.007","27364.982","25092.933","22830.309","20563.487","18350.482","16180.052","14109.675","12129.836","10289.375","8594.138","7065.303","5718.195","4548.452","3556.461","2726.759","2042.963","1506.743","1084.441","759.918","519.272","347.924","227.573","145.25","90.63","55.312"
"7","Estimates","World",NA,"900",NA,NA,"1","World","0","1956","100000","88432.337","85151.234","83269.586","82067.84","81243.453","80659.288","80227.92","79890.975","79606.858","79352.669","79114.244","78882.797","78654.714","78424.504","78187.774","77943.609","77689.269","77423.613","77146.245","76856.36","76553.415","76236.44","75907.22","75569.571","75227.732","74884.643","74539.752","74193.791","73844.812","73491.979","73133.723","72769.197","72396.16","72015.713","71625.972","71226.495","70810.475","70376.146","69922.211","69456.298","68985.856","68515.357","68038.249","67553.947","67057.931","66545.186","66012.348","65455.771","64872.216","64253.912","63597.35","62906.625","62179.359","61423.351","60635.567","59820.827","58964.248","58057.041","57083.714","56040.504","54913.232","53701.614","52394.001","50995.868","49515.368","47957.646","46313.707","44590.066","42783.09","40884.632","38898.749","36851.007","34707.931","32502.989","30233.406","27943.803","25627.849","23314.913","21010.895","18742.297","16523.345","14414.098","12387.192","10496.497","8762.34","7210.901","5828.616","4640.88","3624.485","2773.818","2074.422","1523.754","1090.547","763.358","520.577","347.406","226.092","143.51","88.852","53.815"
"8","Estimates","World",NA,"900",NA,NA,"1","World","0","1957","100000","88605.165","85393.368","83563.18","82386.074","81575.173","80997.339","80568.219","80231.005","79948.138","79695.659","79464.743","79239.071","79011.108","78781.168","78544.767","78300.286","78047.484","77784.325","77509.804","77223.472","76924.475","76613.472","76289.278","75954.213","75613.177","75269.058","74925.277","74579.778","74232.066","73881.35","73524.52","73163.451","72793.465","72416.272","72029.9","71633.862","71227.232","70803.805","70359.484","69896.618","69418.833","68939.35","68457.282","67971.257","67477.359","66968.115","66439.804","65887.718","65304.674","64688.867","64033.996","63342.892","62613.204","61854.228","61069.124","60250.337","59395.808","58493.762","57526.278","56486.682","55355.535","54148.897","52840.361","51441.728","49959.942","48393.679","46759.314","45032.294","43219.656","41324.468","39317.632","37258.991","35110.708","32902.505","30635.045","28322.038","26003.104","23687.542","21372.762","19105.657","16881.721","14758.713","12728.778","10818.059","9056.176","7467.427","6060.556","4831.688","3788.192","2910.02","2186.535","1609.878","1158.859","812.881","555.974","372.485","243.465","155.084","96.273","58.303"
"9","Estimates","World",NA,"900",NA,NA,"1","World","0","1958","100000","88820.295","85722.154","83950.103","82808.571","82016.886","81447.242","81020.139","80683.039","80400.077","80150.634","79924.612","79709.145","79490.395","79263.378","79030.097","78788.657","78538.206","78279.753","78010.706","77730.25","77437.815","77133.218","76816.626","76489.414","76153.197","75812.757","75471.059","75129.297","74785.697","74438.994","74087.599","73731.099","73367.62","72996.69","72616.908","72228.469","71828.93","71419.236","70990.014","70540.839","70070.007","69586.972","69098.674","68611.778","68119.374","67616.228","67096.181","66552.585","65978.708","65369.679","64721.089","64037.978","63315.467","62561.246","61780.238","60973.373","60125.485","59237.157","58286.205","57261.302","56146.703","54950.768","53662.449","52281.929","50816.594","49271.967","47655.159","45957.541","44160.942","42286.414","40308.08","38241.506","36100.456","33900.873","31635.997","29323.363","26979.158","24643.935","22298.113","19983.655","17708.863","15533.128","13440.195","11477.966","9642.741","7985.676","6509.904","5222.753","4114.406","3180.508","2403.583","1781.775","1290.72","912.638","627.729","423.478","278.779","178.933","111.791","67.966"
"10","Estimates","World",NA,"900",NA,NA,"1","World","0","1959","100000","88004.405","84362.617","82369.703","81086.699","80178.185","79517.294","79014.611","78616.569","78284.424","77989.911","77718.195","77465.504","77220.946","76973.168","76718.567","76461.78","76199.81","75931.29","75654.707","75368.616","75071.367","74762.266","74441.147","74109.916","73768.887","73420.583","73070.176","72719.874","72368.953","72015.452","71657.139","71293.869","70923.558","70547.201","70161.349","69766.189","69361.715","68945.966","68515.631","68066.035","67593.97","67101.617","66590.621","66077.317","65564.318","65043.359","64510.108","63955.404","63371.455","62751.789","62087.759","61392.436","60653.92","59882.021","59077.798","58249.203","57384.627","56474.059","55503.821","54468.552","53347.503","52149.348","50851.507","49471.527","48006.895","46458.974","44851.622","43167.124","41409.357","39558.28","37619.196","35621.053","33527.046","31399.96","29233.391","27029.285","24813.128","22604.177","20399.879","18228.043","16106.73","14091.21","12147.933","10332.677","8661.001","7148.604","5803.35","4639.956","3646.659","2809.301","2118.12","1565.618","1126.949","791.137","543.221","365.293","239.733","153.374","95.504","57.754"
