"Index","Variant","Region, subregion, country or area *","Notes","Location code","ISO3 Alpha-code","ISO2 Alpha-code","SDMX code**","Type","Parent code","Year","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100+"
"1","Estimates","World",NA,"900",NA,NA,"1","World","0","1950","100000","85454.117","81366.17","79102.211","77677.264","76699.711","76005.998","75497.582","75100.426","74765.419","74466.104","74190.414","73925.711","73663.044","73394.542","73111.786","72809.082","72483.235","72133.24","71753.791","71339.645","70891.275","70416.691","69924.784","69421.933","68911.694","68398.685","67884.154","67370.955","66859.477","66350.019","65834.526","65309.598","64773.218","64232.713","63690.586","63146.818","62598.021","62038.325","61461.477","60864.146","60242.48","59596.154","58923.085","58226.517","57504.747","56757.905","55985.683","55183.64","54346.937","53464.176","52529.994","51547.411","50504.59","49417.479","48286.059","47115.495","45900.836","44638.813","43323.13","41950.023","40492.877","38968.516","37373.972","35723.833","34041.363","32327.062","30600.307","28853.693","27089.513","25332.146","23568.572","21822.79","20068.602","18335.267","16626.031","14958.929","13341.043","11791.479","10315.888","8932.325","7630.82","6443.072","5352.367","4382.494","3525.798","2791.008","2166.635","1653.279","1237.992","908.613","651.96","456.594","309.967","205.413","132.768","84.024","51.432","30.443","17.483","9.808"
"2","Estimates","World",NA,"900",NA,NA,"1","World","0","1951","100000","85682.154","81789.878","79596.388","78223.943","77292.736","76625.842","76128.17","75741.607","75417.451","75126.377","74857.091","74599.969","74344.953","74083.331","73808.639","73516.393","73203.033","72866.263","72503.113","72109.342","71686.754","71240.369","70779.843","70311.97","69838.162","69362.4","68886.18","68409.016","67930.773","67451.843","66970.627","66480.971","65975.162","65457.813","64933.348","64404.234","63870.263","63328.206","62769.773","62190.524","61586.05","60954.771","60294.935","59612.169","58903.571","58168.404","57405.568","56609.245","55774.948","54896.188","53965.579","52986.565","51950.711","50863.698","49733.785","48562.803","47340.997","46068.457","44735.392","43343.385","41876.71","40331.484","38705.036","37028.262","35307.501","33556.949","31798.453","30010.183","28195.049","26369.555","24537.646","22721.121","20898.35","19107.395","17335.676","15602.088","13923.501","12310.508","10762.711","9314.578","7963.546","6722.835","5587.122","4569.166","3674.28","2904.721","2254.304","1715.039","1281.936","936.233","668.202","467.243","318.94","211.465","137.129","86.834","53.637","32.101","18.622","10.503"
"3","Estimates","World",NA,"900",NA,NA,"1","World","0","1952","100000","86043.423","82343.595","80282.568","78960.32","78067.922","77447.152","76986.21","76620.644","76311.66","76031.727","75771.918","75522.958","75277.151","75027.025","74765.866","74491.213","74199.881","73888.774","73553.801","73194.434","72810.632","72407.481","71989.877","71565.013","71136.267","70707.671","70278.95","69849.371","69416.996","68981.911","68542.919","68097.35","67637.414","67160.312","66668.193","66165.488","65654.926","65136.096","64603.146","64049.37","63469.667","62863.786","62228.007","61565.459","60876.11","60157.693","59410.462","58627.18","57801.794","56929.712","56003.451","55027.386","53998.811","52920.385","51792.493","50623.805","49400.988","48121.731","46773.971","45355.63","43860.699","42299.092","40647.462","38926.31","37164.559","35363.754","33554.372","31723.63","29860.005","27973.6","26068.014","24172.888","22271.202","20398.651","18558.487","16755.503","14996.215","13307.711","11678.385","10136.579","8694.659","7369.973","6146.795","5056.808","4086.728","3250.369","2536.734","1943.532","1462.134","1075.519","773.552","545.953","374.343","251.638","165.043","105.456","65.955","40.311","23.9","13.747"
"4","Estimates","World",NA,"900",NA,NA,"1","World","0","1953","100000","86315.228","82760.573","80767.569","79509.33","78636.562","78003.931","77528.746","77153.203","76840.691","76568.511","76316.62","76074.502","75834.905","75592.391","75340.054","75074.216","74792.582","74492.568","74169.918","73822.329","73450.915","73059.64","72654.513","72242.752","71828.088","71414.627","71002.029","70589.58","70174.225","69754.661","69330.001","68899.126","68457.935","68002.856","67529.192","67039.53","66536.813","66023.466","65496.755","64951.508","64382.289","63787.266","63163.061","62512.358","61834.164","61128.539","60392.16","59619.571","58804.058","57939.404","57017.221","56047.277","55022.238","53951.108","52834.933","51670.639","50456.79","49184.809","47840.585","46418.859","44909.357","43330.232","41674.264","39943.057","38158.866","36339.294","34498.194","32637.221","30751.679","28839.378","26894.927","24950.044","22996.146","21062.524","19161.688","17307.901","15499.786","13760.035","12090.5","10504.087","9005.645","7633.836","6372.385","5237.312","4237.722","3367.966","2625.213","2012.114","1511.66","1113.059","799.979","564.659","388.999","260.012","170.727","109.057","67.956","41.435","24.681","14.272"
"5","Estimates","World",NA,"900",NA,NA,"1","World","0","1954","100000","86574.842","83147.665","81224.419","80004.012","79173.903","78589.137","78155.007","77813.998","77522.462","77258.124","77014.617","76781.373","76549.816","76315.339","76073.606","75819.965","75550.922","75264.199","74957.132","74627.429","74273.527","73900.496","73513.044","73118.944","72721.786","72325.759","71931.297","71537.785","71141.587","70740.546","70333.041","69919.758","69496.225","69063.71","68615.092","68145.995","67657.962","67154.627","66635.907","66101.306","65544.122","64963.82","64354.458","63720.065","63057.525","62365.76","61644.341","60886.012","60085.157","59232.676","58320.098","57355.194","56337.259","55274.286","54167.068","53017.471","51809.658","50546.462","49211.58","47794.213","46285.239","44693.77","43022.922","41289.369","39493.61","37652.382","35790.316","33897.312","31980.905","30044.492","28068.048","26083.135","24073.398","22089.149","20129.838","18220.369","16368.176","14577.574","12847.468","11207.942","9652.754","8213.452","6887.148","5691.522","4623.712","3701.995","2908.521","2241.792","1694.412","1256.356","911.532","647.504","448.302","302.772","200.07","128.968","80.998","49.649","29.788","17.454"
"6","Estimates","World",NA,"900",NA,NA,"1","World","0","1955","100000","86883.369","83588.811","81733.999","80552.399","79744.529","79173.106","78749.401","78414.913","78132.341","77874.684","77633.265","77402.194","77173.261","76940.736","76700.901","76450.818","76186.187","75903.6","75600.341","75274.949","74927.376","74558.942","74175.523","73784.375","73390.868","72998.665","72608.794","72220.669","71831.426","71438.005","71037.289","70629.497","70211.718","69784.566","69346.154","68890.648","68412.735","67912.775","67391.722","66852.129","66292.238","65711.574","65105.101","64473.378","63814.514","63126.161","62404.987","61648.335","60848.64","59997.044","59086.936","58119.49","57095.175","56026.154","54914.858","53762.912","52558.055","51289.132","49950.576","48528.044","47005.379","45398.907","43703.127","41942.738","40135.487","38273.763","36383.938","34462.937","32512.025","30545.173","28550.07","26537.296","24493.083","22462.876","20463.069","18514.603","16618.171","14796.756","13039.305","11369.952","9795.359","8333.778","6982.316","5766.024","4682.119","3737.885","2932.81","2258.109","1705.486","1258.44","910.104","645.295","446.381","300.778","198.201","127.545","80.033","48.958","29.272","17.139"
"7","Estimates","World",NA,"900",NA,NA,"1","World","0","1956","100000","87192.239","84038.537","82249.795","81102.785","80314.225","79754.632","79339.213","79012.823","78736.406","78487.982","78253.938","78026.178","77801.168","77573.15","77336.689","77089.962","76829.333","76551.584","76253.274","75932.537","75590.088","75227.568","74848.363","74459.812","74068.179","73679.14","73293.405","72909.328","72524.552","72136.455","71742.212","71339.909","70926.052","70503.246","70069.688","69623.277","69157.419","68666.668","68149.032","67606.619","67042.429","66458.532","65851.239","65221.536","64565.634","63881.456","63165.495","62412.284","61616.671","60771.033","59864.726","58902.655","57879.263","56805.93","55690.837","54532.931","53325.292","52056.55","50707.532","49278.568","47754.459","46140.795","44429.951","42644.933","40811.906","38940.31","37030.954","35086.236","33110.491","31110.601","29081.878","27048.534","24978.589","22911.127","20862.984","18867.441","16923.198","15054.313","13257.479","11551.517","9936.964","8448.659","7068.573","5822.337","4719.606","3766.117","2941.367","2260.241","1701.946","1253.447","903.496","638.215","439.02","295.39","194.552","124.874","78.185","47.749","28.45","16.597"
"8","Estimates","World",NA,"900",NA,NA,"1","World","0","1957","100000","87399.395","84317.561","82583.037","81462.507","80685.575","80129.259","79714.025","79385.782","79108.947","78860.398","78631.234","78408.027","78182.944","77955.342","77720.376","77474.26","77214.187","76937.823","76641.431","76323.734","75984.697","75627.09","75253.438","74868.145","74478.041","74088.997","73703.833","73321.46","72939.143","72554.351","72163.256","71765.055","71355.227","70935.807","70504.819","70061.646","69604.097","69123.331","68612.946","68072.208","67503.762","66914.413","66301.834","65669.987","65015.573","64331.951","63619.211","62868.513","62074.346","61228.331","60322.67","59358.744","58334.162","57257.698","56133.363","54967.382","53753.116","52480.259","51133.884","49695.902","48163.292","46544.12","44823.703","43025.443","41163.374","39262.446","37337.914","35368.533","33367.443","31343.628","29281.526","27221.642","25145.505","23073.884","21020.986","19004.452","17057.144","15182.998","13376.87","11673.033","10061.544","8574.573","7198.52","5943.699","4829.865","3859.555","3033.299","2331.984","1765.203","1304.452","941.68","667.241","461.101","311.181","205.115","131.948","82.842","50.703","30.233","17.587"
"9","Estimates","World",NA,"900",NA,NA,"1","World","0","1958","100000","87644.68","84674.17","82993.311","81908.741","81151.686","80602.802","80187.557","79857.648","79578.298","79330.174","79103.156","78886.795","78668.42","78442.959","78210.718","77967.719","77710.395","77437.014","77143.384","76828.719","76492.802","76138.159","75768.859","75388.234","75000.837","74612.107","74227.103","73846.02","73465.663","73083.729","72696.433","72302.211","71898.059","71483.205","71056.401","70616.705","70162.937","69693.831","69196.516","68666.939","68103.218","67512.199","66896.433","66263.331","65610.602","64934.241","64228.72","63488.622","62704.02","61867.246","60970.428","60017.723","59002.905","57936.152","56821.276","55665.164","54458.149","53194.834","51860.133","50442.469","48923.097","47318.921","45617.686","43830.145","41974.76","40071.379","38142.206","36178.76","34177.636","32148.572","30086.198","28010.088","25918.958","23839.418","21768.929","19729.358","17737.248","15823.893","13976.192","12223.128","10561.532","9024.388","7590.611","6299.281","5135.516","4120.992","3251.454","2519.353","1911.378","1422.981","1035.149","738.419","511.451","346.239","229.204","148.359","93.705","57.771","34.706","20.289"
"10","Estimates","World",NA,"900",NA,NA,"1","World","0","1959","100000","86854.625","83354.904","81479.708","80270.586","79406.939","78770.324","78277.189","77879.88","77544.317","77244.17","76965.939","76706.314","76455.56","76203.456","75945.356","75682.233","75408.858","75120.553","74813.886","74487.285","74139.459","73772.359","73389.002","72995.444","72594.294","72189.333","71786.91","71388.402","70992.044","70593.778","70189.084","69779.051","69359.023","68928.426","68483.681","68024.991","67552.625","67062.152","66549.785","66007.634","65428.625","64817.428","64170.274","63503.528","62818.207","62110.845","61380.261","60617.275","59811.432","58955.876","58041.143","57075.711","56050.036","54973.582","53848.1","52679.261","51461.485","50192.091","48849.403","47435.77","45939.237","44354.624","42677.88","40925.089","39107.928","37241.383","35351.697","33436.709","31513.882","29556.694","27568.222","25587.421","23588.644","21620.148","19679.05","17777.842","15930.956","14162.257","12461.215","10851.683","9342.233","7956.076","6673.975","5515.599","4487.01","3592.838","2824.829","2181.412","1652.839","1225.303","889.959","632.707","439.634","298.526","197.979","128.505","81.497","50.471","30.492","17.92"
